SYMBOL,CLOCK,OPEN,HIGH,LOW,CLOSE,VOLUME,INTEREST,SETTLE,ADJ
R.CN.CFE.IF.0004,2010-04-19,3396.0,3398.0,3166.2,3197.4,109733.0,3954.0,3201.2,1.0
R.CN.CFE.IF.0004,2010-04-20,3209.2,3240.0,3168.8,3214.6,141862.0,4496.0,3216.6,1.0
R.CN.CFE.IF.0004,2010-04-21,3215.0,3281.2,3208.0,3267.2,114531.0,5062.0,3266.0,1.0
R.CN.CFE.IF.0004,2010-04-22,3260.2,3274.4,3211.0,3236.2,133247.0,5383.0,3240.0,1.0
R.CN.CFE.IF.0004,2010-04-23,3241.0,3266.0,3221.0,3221.2,116981.0,5808.0,3235.6,1.0
R.CN.CFE.IF.0004,2010-04-26,3243.0,3252.0,3211.8,3219.6,112229.0,7079.0,3224.8,1.0
R.CN.CFE.IF.0004,2010-04-27,3201.2,3205.0,3107.6,3138.8,139961.0,7386.0,3121.8,1.0
R.CN.CFE.IF.0004,2010-04-28,3101.6,3142.6,3094.2,3129.0,128530.0,7092.0,3132.8,1.0
R.CN.CFE.IF.0004,2010-04-29,3141.0,3157.6,3082.2,3083.8,116254.0,8705.0,3114.4,1.0
R.CN.CFE.IF.0004,2010-04-30,3103.0,3119.6,3043.0,3107.0,184157.0,8297.0,3089.8,1.0
R.CN.CFE.IF.0004,2010-05-04,3079.8,3094.4,3060.8,3076.4,150123.0,8261.0,3069.4,1.0
R.CN.CFE.IF.0004,2010-05-05,3046.4,3087.0,3031.0,3076.4,145542.0,9600.0,3078.6,1.0
R.CN.CFE.IF.0004,2010-05-06,3078.6,3083.4,2953.6,2967.4,170221.0,10150.0,2972.6,1.0
R.CN.CFE.IF.0004,2010-05-07,2928.0,2959.8,2862.2,2897.6,240106.0,8282.0,2896.0,1.0
R.CN.CFE.IF.0004,2010-05-10,2910.0,2931.0,2870.0,2918.0,201919.0,9873.0,2912.0,1.0
R.CN.CFE.IF.0004,2010-05-11,2949.0,2957.8,2797.2,2801.6,224626.0,8987.0,2816.4,1.0
R.CN.CFE.IF.0004,2010-05-12,2809.0,2855.0,2782.0,2836.2,273131.0,8144.0,2829.2,1.0
R.CN.CFE.IF.0004,2010-05-13,2847.8,2915.6,2823.0,2894.6,217422.0,8276.0,2902.8,1.0
R.CN.CFE.IF.0004,2010-05-14,2880.0,2894.8,2850.4,2862.6,185453.0,6237.0,2861.2,1.0
R.CN.CFE.IF.0004,2010-05-17,2840.0,2840.2,2708.0,2719.0,117625.0,4126.0,2727.6,1.0
R.CN.CFE.IF.0004,2010-05-18,2711.8,2848.0,2708.4,2810.4,261582.0,11428.0,2818.2,0.998751101968851
R.CN.CFE.IF.0004,2010-05-19,2779.2,2859.0,2734.2,2784.8,340531.0,12817.0,2798.0,0.998751101968851
R.CN.CFE.IF.0004,2010-05-20,2801.0,2844.8,2742.2,2763.2,293133.0,14774.0,2761.2,0.998751101968851
R.CN.CFE.IF.0004,2010-05-21,2702.0,2802.8,2677.0,2801.0,307325.0,13329.0,2789.0,0.998751101968851
R.CN.CFE.IF.0004,2010-05-24,2814.0,2933.4,2808.0,2902.0,300512.0,15770.0,2908.6,0.998751101968851
R.CN.CFE.IF.0004,2010-05-25,2880.0,2889.2,2811.0,2813.2,288927.0,15644.0,2833.6,0.998751101968851
R.CN.CFE.IF.0004,2010-05-26,2846.2,2878.8,2817.6,2839.6,326246.0,15219.0,2829.0,0.998751101968851
R.CN.CFE.IF.0004,2010-05-27,2825.0,2909.8,2790.0,2901.4,325500.0,16397.0,2896.4,0.998751101968851
R.CN.CFE.IF.0004,2010-05-28,2930.0,2942.0,2853.0,2865.2,306690.0,16764.0,2869.8,0.998751101968851
R.CN.CFE.IF.0004,2010-05-31,2850.0,2898.8,2786.2,2792.0,337678.0,18662.0,2811.8,0.998751101968851
R.CN.CFE.IF.0004,2010-06-01,2780.0,2820.6,2732.0,2762.0,420130.0,17746.0,2760.6,0.998751101968851
R.CN.CFE.IF.0004,2010-06-02,2758.0,2781.4,2718.2,2776.4,343923.0,18691.0,2762.0,0.998751101968851
R.CN.CFE.IF.0004,2010-06-03,2799.8,2807.0,2741.0,2748.0,342961.0,18712.0,2762.8,0.998751101968851
R.CN.CFE.IF.0004,2010-06-04,2740.0,2767.8,2722.2,2761.0,324387.0,16354.0,2755.6,0.998751101968851
R.CN.CFE.IF.0004,2010-06-07,2700.0,2718.0,2680.0,2706.2,289681.0,15673.0,2704.8,0.998751101968851
R.CN.CFE.IF.0004,2010-06-08,2709.8,2726.0,2683.0,2724.4,225087.0,16526.0,2699.4,0.998751101968851
R.CN.CFE.IF.0004,2010-06-09,2720.4,2808.0,2700.4,2788.8,314559.0,16740.0,2786.0,0.998751101968851
R.CN.CFE.IF.0004,2010-06-10,2776.0,2791.0,2763.0,2769.6,232630.0,14040.0,2772.0,0.998751101968851
R.CN.CFE.IF.0004,2010-06-11,2788.0,2796.8,2765.0,2765.8,169575.0,10034.0,2773.0,0.998751101968851
R.CN.CFE.IF.0004,2010-06-17,2815.0,2816.0,2760.0,2762.6,157022.0,16693.0,2776.4,0.989733356440505
R.CN.CFE.IF.0004,2010-06-18,2762.4,2779.0,2705.8,2718.2,249981.0,19752.0,2727.4,0.989733356440505
R.CN.CFE.IF.0004,2010-06-21,2749.2,2816.6,2718.0,2804.8,277989.0,21545.0,2809.2,0.989733356440505
R.CN.CFE.IF.0004,2010-06-22,2795.6,2815.0,2793.2,2797.6,220831.0,19828.0,2799.6,0.989733356440505
R.CN.CFE.IF.0004,2010-06-23,2785.0,2801.6,2743.0,2765.2,238316.0,19132.0,2761.6,0.989733356440505
R.CN.CFE.IF.0004,2010-06-24,2771.0,2810.0,2750.0,2771.0,297949.0,18877.0,2766.8,0.989733356440505
R.CN.CFE.IF.0004,2010-06-25,2759.0,2772.8,2736.0,2753.8,249654.0,18599.0,2752.0,0.989733356440505
R.CN.CFE.IF.0004,2010-06-28,2751.6,2763.8,2731.4,2741.6,210541.0,20726.0,2738.2,0.989733356440505
R.CN.CFE.IF.0004,2010-06-29,2741.6,2746.8,2598.4,2600.4,298585.0,24070.0,2610.4,0.989733356440505
R.CN.CFE.IF.0004,2010-06-30,2580.0,2593.0,2563.0,2579.0,247753.0,21872.0,2573.2,0.989733356440505
R.CN.CFE.IF.0004,2010-07-01,2577.8,2584.6,2535.6,2545.2,243922.0,23657.0,2546.0,0.989733356440505
R.CN.CFE.IF.0004,2010-07-02,2550.0,2565.0,2478.8,2546.0,367858.0,24119.0,2543.6,0.989733356440505
R.CN.CFE.IF.0004,2010-07-05,2535.0,2549.6,2479.6,2530.6,359351.0,22692.0,2531.4,0.989733356440505
R.CN.CFE.IF.0004,2010-07-06,2521.4,2585.0,2511.2,2564.6,365680.0,22426.0,2558.4,0.989733356440505
R.CN.CFE.IF.0004,2010-07-07,2558.0,2582.0,2546.2,2568.4,318135.0,21290.0,2564.8,0.989733356440505
R.CN.CFE.IF.0004,2010-07-08,2591.0,2599.4,2562.0,2569.0,254951.0,21332.0,2574.6,0.989733356440505
R.CN.CFE.IF.0004,2010-07-09,2573.2,2668.0,2563.0,2650.0,327713.0,20855.0,2652.0,0.989733356440505
R.CN.CFE.IF.0004,2010-07-12,2652.0,2693.0,2647.2,2660.6,289268.0,19620.0,2666.2,0.989733356440505
R.CN.CFE.IF.0004,2010-07-13,2651.0,2653.0,2618.6,2626.0,269627.0,14223.0,2632.0,0.989733356440505
R.CN.CFE.IF.0004,2010-07-14,2640.0,2679.2,2630.0,2647.0,209930.0,10544.0,2641.6,0.989733356440505
R.CN.CFE.IF.0004,2010-07-15,2650.0,2738.0,2608.0,2610.8,392898.0,20498.0,2627.4,0.9868997945069
R.CN.CFE.IF.0004,2010-07-16,2613.0,2629.8,2588.0,2620.6,360667.0,20799.0,2619.2,0.9868997945069
R.CN.CFE.IF.0004,2010-07-19,2600.2,2715.2,2593.6,2697.6,379966.0,23283.0,2691.4,0.9868997945069
R.CN.CFE.IF.0004,2010-07-20,2702.0,2761.0,2700.4,2746.0,390979.0,22339.0,2745.2,0.9868997945069
