SYMBOL,CLOCK,OPEN,HIGH,LOW,CLOSE,VOLUME,INTEREST,SETTLE,ADJ
R.CN.CFE.IH.0004,2015-04-17,3303.6,3341.6,3238.0,3254.0,271224.0,37853.0,3280.8,1.0
R.CN.CFE.IH.0004,2015-04-20,3258.0,3315.0,3143.6,3146.8,267213.0,37975.0,3176.8,1.0
R.CN.CFE.IH.0004,2015-04-21,3176.8,3242.2,3153.0,3234.0,239311.0,37771.0,3211.2,1.0
R.CN.CFE.IH.0004,2015-04-22,3250.0,3333.2,3229.8,3308.0,239676.0,42623.0,3309.6,1.0
R.CN.CFE.IH.0004,2015-04-23,3318.6,3348.2,3253.4,3267.8,246929.0,39573.0,3273.2,1.0
R.CN.CFE.IH.0004,2015-04-24,3248.8,3267.8,3170.0,3233.0,224297.0,36034.0,3236.6,1.0
R.CN.CFE.IH.0004,2015-04-27,3260.0,3358.0,3257.8,3357.6,259172.0,45698.0,3326.4,1.0
R.CN.CFE.IH.0004,2015-04-28,3339.0,3376.0,3265.0,3286.8,329692.0,36374.0,3287.0,1.0
R.CN.CFE.IH.0004,2015-04-29,3282.0,3325.6,3261.0,3295.2,242567.0,39968.0,3301.6,1.0
R.CN.CFE.IH.0004,2015-04-30,3315.2,3331.2,3247.2,3269.4,202408.0,41181.0,3275.4,1.0
R.CN.CFE.IH.0004,2015-05-04,3295.8,3301.8,3225.8,3273.2,189061.0,40335.0,3269.4,1.0
R.CN.CFE.IH.0004,2015-05-05,3279.6,3281.6,3141.2,3163.0,217674.0,38274.0,3165.8,1.0
R.CN.CFE.IH.0004,2015-05-06,3171.2,3257.4,3116.0,3153.0,261933.0,36206.0,3149.0,1.0
R.CN.CFE.IH.0004,2015-05-07,3159.6,3170.0,3103.0,3111.2,234619.0,40498.0,3128.4,1.0
R.CN.CFE.IH.0004,2015-05-08,3131.0,3149.0,3051.2,3099.8,215483.0,37887.0,3099.2,1.0
