SYMBOL,CLOCK,OPEN,HIGH,LOW,CLOSE,VOLUME,INTEREST,SETTLE,ADJ
R.CN.CZC.CF.0004,2010-01-04,16600.0,16845.0,16530.0,16610.0,498986.0,265668.0,16715.0,0.576321502223838
R.CN.CZC.CF.0004,2010-01-05,16650.0,16680.0,16485.0,16525.0,275464.0,237418.0,16575.0,0.576321502223838
R.CN.CZC.CF.0004,2010-01-06,16280.0,16480.0,16190.0,16320.0,300808.0,198944.0,16350.0,0.576321502223838
R.CN.CZC.CF.0004,2010-01-07,16395.0,16500.0,15710.0,16035.0,313640.0,161464.0,16190.0,0.576321502223838
R.CN.CZC.CF.0004,2010-01-08,16030.0,16065.0,15800.0,15960.0,190082.0,146278.0,15955.0,0.576321502223838
R.CN.CZC.CF.0004,2010-01-11,16060.0,16165.0,15985.0,16040.0,116288.0,139556.0,16075.0,0.576321502223838
R.CN.CZC.CF.0004,2010-01-12,16950.0,17045.0,16780.0,16875.0,284682.0,156324.0,16935.0,0.548942808531494
R.CN.CZC.CF.0004,2010-01-13,16590.0,16640.0,16385.0,16425.0,234868.0,139172.0,16535.0,0.548942808531494
R.CN.CZC.CF.0004,2010-01-14,16575.0,16625.0,16450.0,16465.0,163302.0,137380.0,16535.0,0.548942808531494
R.CN.CZC.CF.0004,2010-01-15,16400.0,16520.0,16300.0,16325.0,207254.0,134572.0,16400.0,0.548942808531494
R.CN.CZC.CF.0004,2010-01-18,16200.0,16385.0,16200.0,16350.0,117020.0,130578.0,16315.0,0.548942808531494
R.CN.CZC.CF.0004,2010-01-19,16400.0,16445.0,16315.0,16360.0,78302.0,130046.0,16375.0,0.548942808531494
R.CN.CZC.CF.0004,2010-01-20,16400.0,16400.0,16020.0,16035.0,196942.0,142062.0,16165.0,0.548942808531494
R.CN.CZC.CF.0004,2010-01-21,16030.0,16275.0,15925.0,16240.0,322974.0,143352.0,16135.0,0.548942808531494
R.CN.CZC.CF.0004,2010-01-22,16120.0,16365.0,16030.0,16305.0,361360.0,153460.0,16235.0,0.548942808531494
R.CN.CZC.CF.0004,2010-01-25,16280.0,16375.0,16200.0,16300.0,221070.0,155644.0,16300.0,0.548942808531494
R.CN.CZC.CF.0004,2010-01-26,16155.0,16185.0,15905.0,15910.0,270770.0,148970.0,16060.0,0.548942808531494
R.CN.CZC.CF.0004,2010-01-27,15975.0,16040.0,15895.0,15970.0,156246.0,140102.0,15970.0,0.548942808531494
R.CN.CZC.CF.0004,2010-01-28,15815.0,15950.0,15750.0,15905.0,177812.0,133956.0,15870.0,0.548942808531494
R.CN.CZC.CF.0004,2010-01-29,15900.0,15975.0,15790.0,15880.0,140756.0,128528.0,15900.0,0.548942808531494
R.CN.CZC.CF.0004,2010-02-01,15920.0,16045.0,15870.0,15995.0,213226.0,134420.0,15965.0,0.548942808531494
R.CN.CZC.CF.0004,2010-02-02,15930.0,15975.0,15705.0,15780.0,188676.0,136446.0,15825.0,0.548942808531494
R.CN.CZC.CF.0004,2010-02-03,15970.0,16100.0,15900.0,16065.0,185656.0,136544.0,16010.0,0.548942808531494
R.CN.CZC.CF.0004,2010-02-04,15980.0,16160.0,15950.0,16115.0,204924.0,143458.0,16080.0,0.548942808531494
R.CN.CZC.CF.0004,2010-02-05,15905.0,16060.0,15900.0,16045.0,133156.0,139094.0,15995.0,0.548942808531494
R.CN.CZC.CF.0004,2010-02-08,15860.0,15905.0,15760.0,15805.0,142512.0,128364.0,15825.0,0.548942808531494
R.CN.CZC.CF.0004,2010-02-09,16005.0,16040.0,15920.0,15940.0,88794.0,122876.0,15960.0,0.548942808531494
R.CN.CZC.CF.0004,2010-02-10,16155.0,16260.0,16105.0,16150.0,132508.0,116196.0,16190.0,0.548942808531494
R.CN.CZC.CF.0004,2010-02-11,16200.0,16250.0,16160.0,16190.0,51248.0,106692.0,16205.0,0.548942808531494
R.CN.CZC.CF.0004,2010-02-12,16230.0,16275.0,16165.0,16230.0,43230.0,101700.0,16220.0,0.548942808531494
R.CN.CZC.CF.0004,2010-02-22,17000.0,17000.0,16665.0,16765.0,133620.0,121230.0,16810.0,0.548942808531494
R.CN.CZC.CF.0004,2010-02-23,16810.0,16910.0,16810.0,16835.0,140400.0,144724.0,16855.0,0.548942808531494
R.CN.CZC.CF.0004,2010-02-24,16745.0,16810.0,16615.0,16615.0,124340.0,141978.0,16715.0,0.548942808531494
R.CN.CZC.CF.0004,2010-02-25,16655.0,16685.0,16430.0,16435.0,140000.0,139164.0,16545.0,0.548942808531494
R.CN.CZC.CF.0004,2010-02-26,16585.0,16820.0,16580.0,16780.0,313990.0,159560.0,16740.0,0.548942808531494
R.CN.CZC.CF.0004,2010-03-01,16925.0,16990.0,16750.0,16775.0,156062.0,148124.0,16840.0,0.548942808531494
R.CN.CZC.CF.0004,2010-03-02,16785.0,16800.0,16610.0,16630.0,112230.0,144518.0,16695.0,0.548942808531494
R.CN.CZC.CF.0004,2010-03-03,16625.0,16870.0,16560.0,16830.0,294112.0,164776.0,16770.0,0.548942808531494
R.CN.CZC.CF.0004,2010-03-04,16890.0,16945.0,16680.0,16685.0,222360.0,149872.0,16785.0,0.548942808531494
R.CN.CZC.CF.0004,2010-03-05,16660.0,16790.0,16660.0,16755.0,113990.0,147576.0,16740.0,0.548942808531494
R.CN.CZC.CF.0004,2010-03-08,16810.0,16960.0,16760.0,16845.0,213700.0,160846.0,16865.0,0.548942808531494
R.CN.CZC.CF.0004,2010-03-09,16855.0,17150.0,16830.0,17085.0,489530.0,217828.0,17040.0,0.548942808531494
R.CN.CZC.CF.0004,2010-03-10,16975.0,17020.0,16885.0,16910.0,269546.0,191374.0,16955.0,0.548942808531494
R.CN.CZC.CF.0004,2010-03-11,16900.0,16950.0,16710.0,16770.0,216730.0,179598.0,16810.0,0.548942808531494
R.CN.CZC.CF.0004,2010-03-12,16745.0,16875.0,16675.0,16850.0,177168.0,181382.0,16800.0,0.548942808531494
R.CN.CZC.CF.0004,2010-03-15,16950.0,16975.0,16865.0,16955.0,247682.0,199346.0,16930.0,0.548942808531494
R.CN.CZC.CF.0004,2010-03-16,16945.0,17070.0,16775.0,17020.0,340174.0,221140.0,16950.0,0.548942808531494
