SYMBOL,CLOCK,OPEN,HIGH,LOW,CLOSE,VOLUME,INTEREST,SETTLE,ADJ
R.CN.CZC.MA.0004,2014-06-18,2858.0,2902.0,2833.0,2896.0,2118.0,2176.0,2885.0,1.0
R.CN.CZC.MA.0004,2014-06-19,2901.0,2929.0,2890.0,2901.0,3532.0,2956.0,2910.0,1.0
R.CN.CZC.MA.0004,2014-06-20,2905.0,2919.0,2896.0,2908.0,1504.0,2978.0,2907.0,1.0
R.CN.CZC.MA.0004,2014-06-23,2910.0,2950.0,2896.0,2910.0,2480.0,2896.0,2919.0,1.0
R.CN.CZC.MA.0004,2014-06-24,2906.0,2948.0,2903.0,2939.0,1690.0,2962.0,2923.0,1.0
R.CN.CZC.MA.0004,2014-06-25,2941.0,2991.0,2933.0,2987.0,4348.0,4192.0,2965.0,1.0
R.CN.CZC.MA.0004,2014-06-26,2990.0,3020.0,2970.0,3004.0,5220.0,3986.0,3003.0,1.0
R.CN.CZC.MA.0004,2014-06-27,3004.0,3008.0,2978.0,2987.0,2840.0,3986.0,2991.0,1.0
R.CN.CZC.MA.0004,2014-06-30,2983.0,3005.0,2966.0,2991.0,3020.0,4008.0,2990.0,1.0
R.CN.CZC.MA.0004,2014-07-01,2994.0,3002.0,2963.0,2977.0,3648.0,4204.0,2980.0,1.0
R.CN.CZC.MA.0004,2014-07-02,2982.0,2992.0,2911.0,2965.0,3150.0,4358.0,2965.0,1.0
R.CN.CZC.MA.0004,2014-07-03,2958.0,2975.0,2946.0,2962.0,1926.0,4800.0,2964.0,1.0
R.CN.CZC.MA.0004,2014-07-04,2961.0,2972.0,2951.0,2960.0,1454.0,4750.0,2962.0,1.0
R.CN.CZC.MA.0004,2014-07-07,2956.0,3013.0,2954.0,3012.0,4722.0,5804.0,2986.0,1.0
R.CN.CZC.MA.0004,2014-07-08,3013.0,3038.0,2996.0,3001.0,6078.0,6912.0,3016.0,1.0
R.CN.CZC.MA.0004,2014-07-09,3000.0,3003.0,2958.0,2958.0,3916.0,6010.0,2978.0,1.0
