SYMBOL,CLOCK,OPEN,HIGH,LOW,CLOSE,VOLUME,INTEREST,SETTLE,ADJ
R.CN.CZC.RM.0004,2012-12-31,2399.0,2399.0,2336.0,2340.0,237194.0,39290.0,2365.0,1.0
R.CN.CZC.RM.0004,2013-01-04,2322.0,2380.0,2316.0,2370.0,193882.0,38458.0,2362.0,1.0
R.CN.CZC.RM.0004,2013-01-07,2365.0,2457.0,2360.0,2455.0,406060.0,64538.0,2438.0,1.0
R.CN.CZC.RM.0004,2013-01-08,2470.0,2500.0,2438.0,2480.0,899582.0,77626.0,2478.0,1.0
R.CN.CZC.RM.0004,2013-01-09,2488.0,2514.0,2472.0,2478.0,696804.0,94100.0,2498.0,1.0
R.CN.CZC.RM.0004,2013-01-10,2473.0,2490.0,2459.0,2462.0,591086.0,96660.0,2474.0,1.0
R.CN.CZC.RM.0004,2013-01-11,2465.0,2525.0,2463.0,2509.0,1621470.0,165614.0,2508.0,1.0
R.CN.CZC.RM.0004,2013-01-14,2527.0,2548.0,2505.0,2541.0,1299760.0,150852.0,2528.0,1.0
R.CN.CZC.RM.0004,2013-01-15,2549.0,2618.0,2542.0,2562.0,1674334.0,178192.0,2584.0,1.0
R.CN.CZC.RM.0004,2013-01-16,2565.0,2595.0,2542.0,2586.0,1070868.0,192280.0,2572.0,1.0
R.CN.CZC.RM.0004,2013-01-17,2602.0,2612.0,2565.0,2571.0,815406.0,162682.0,2584.0,1.0
R.CN.CZC.RM.0004,2013-01-18,2580.0,2612.0,2561.0,2573.0,947392.0,147836.0,2585.0,1.0
R.CN.CZC.RM.0004,2013-01-21,2575.0,2591.0,2562.0,2573.0,568840.0,137418.0,2576.0,1.0
R.CN.CZC.RM.0004,2013-01-22,2574.0,2595.0,2574.0,2591.0,543526.0,146734.0,2586.0,1.0
R.CN.CZC.RM.0004,2013-01-23,2591.0,2604.0,2573.0,2576.0,411626.0,132690.0,2590.0,1.0
R.CN.CZC.RM.0004,2013-01-24,2569.0,2569.0,2486.0,2493.0,771526.0,152044.0,2518.0,1.0
R.CN.CZC.RM.0004,2013-01-25,2500.0,2518.0,2493.0,2504.0,595570.0,135610.0,2508.0,1.0
R.CN.CZC.RM.0004,2013-01-28,2513.0,2524.0,2484.0,2521.0,554936.0,130358.0,2507.0,1.0
R.CN.CZC.RM.0004,2013-01-29,2521.0,2528.0,2506.0,2515.0,375244.0,125532.0,2516.0,1.0
R.CN.CZC.RM.0004,2013-01-30,2518.0,2538.0,2516.0,2531.0,301474.0,119080.0,2529.0,1.0
R.CN.CZC.RM.0004,2013-01-31,2542.0,2550.0,2533.0,2537.0,174358.0,112210.0,2539.0,1.0
