SYMBOL,CLOCK,OPEN,HIGH,LOW,CLOSE,VOLUME,INTEREST,SETTLE,ADJ
R.CN.CZC.SF.0004,2016-07-11,4000.0,4470.0,4000.0,4470.0,0.0,2002.0,4470.0,1.0
R.CN.CZC.SF.0004,2016-07-12,4000.0,4470.0,4000.0,4470.0,0.0,2002.0,4470.0,1.0
R.CN.CZC.SF.0004,2016-07-13,4000.0,4470.0,4000.0,4470.0,0.0,2002.0,4470.0,1.0
R.CN.CZC.SF.0004,2016-07-14,4000.0,4470.0,4000.0,4470.0,0.0,2002.0,4470.0,1.0
R.CN.CZC.SF.0004,2016-07-15,4000.0,4470.0,4000.0,4470.0,0.0,2002.0,4470.0,1.0
R.CN.CZC.SF.0004,2016-07-18,4000.0,4470.0,4000.0,4470.0,0.0,2002.0,4470.0,1.0
R.CN.CZC.SF.0004,2016-07-19,4000.0,4470.0,4000.0,4470.0,0.0,2002.0,4470.0,1.0
R.CN.CZC.SF.0004,2016-07-20,4000.0,4470.0,4000.0,4470.0,0.0,2002.0,4470.0,1.0
R.CN.CZC.SF.0004,2016-07-21,4000.0,4470.0,4000.0,4470.0,0.0,2002.0,4470.0,1.0
R.CN.CZC.SF.0004,2016-07-22,4000.0,4470.0,4000.0,4470.0,0.0,2002.0,4470.0,1.0
R.CN.CZC.SF.0004,2016-07-25,4450.0,4450.0,4450.0,4450.0,2.0,2002.0,4450.0,1.0
R.CN.CZC.SF.0004,2016-07-26,4622.0,4624.0,4408.0,4624.0,10.0,2008.0,4580.0,1.0
R.CN.CZC.SF.0004,2016-07-27,4558.0,4558.0,4558.0,4558.0,2.0,2006.0,4558.0,1.0
R.CN.CZC.SF.0004,2016-07-28,4466.0,4466.0,4464.0,4464.0,4.0,2008.0,4466.0,1.0
R.CN.CZC.SF.0004,2016-07-29,4320.0,4320.0,4318.0,4318.0,2400.0,4408.0,4320.0,1.0
R.CN.CZC.SF.0004,2016-08-01,4320.0,4320.0,4318.0,4318.0,0.0,4408.0,4320.0,1.0
R.CN.CZC.SF.0004,2016-08-02,4320.0,4320.0,4318.0,4318.0,0.0,4408.0,4320.0,1.0
R.CN.CZC.SF.0004,2016-08-03,4320.0,4320.0,4318.0,4318.0,0.0,4408.0,4320.0,1.0
R.CN.CZC.SF.0004,2016-08-04,4320.0,4320.0,4318.0,4318.0,0.0,4408.0,4320.0,1.0
R.CN.CZC.SF.0004,2016-08-05,4320.0,4320.0,4318.0,4318.0,0.0,4408.0,4320.0,1.0
R.CN.CZC.SF.0004,2016-08-08,4320.0,4320.0,4318.0,4318.0,0.0,4408.0,4320.0,1.0
R.CN.CZC.SF.0004,2016-08-09,4320.0,4320.0,4318.0,4318.0,0.0,4408.0,4320.0,1.0
R.CN.CZC.SF.0004,2016-08-10,4320.0,4320.0,4318.0,4318.0,0.0,4408.0,4320.0,1.0
R.CN.CZC.SF.0004,2016-08-11,4168.0,4440.0,4168.0,4440.0,10.0,4408.0,4386.0,1.0
R.CN.CZC.SF.0004,2016-08-12,4168.0,4440.0,4168.0,4440.0,0.0,4408.0,4386.0,1.0
R.CN.CZC.SF.0004,2016-08-15,4168.0,4440.0,4168.0,4440.0,0.0,4408.0,4386.0,1.0
R.CN.CZC.SF.0004,2016-08-16,4168.0,4440.0,4168.0,4440.0,0.0,4408.0,4386.0,1.0
R.CN.CZC.SF.0004,2016-08-17,4504.0,4696.0,4504.0,4506.0,8.0,4410.0,4558.0,1.0
R.CN.CZC.SF.0004,2016-08-18,4664.0,4740.0,4598.0,4612.0,36.0,4414.0,4668.0,1.0
R.CN.CZC.SF.0004,2016-08-19,4530.0,4530.0,4530.0,4530.0,4.0,4410.0,4530.0,1.0
R.CN.CZC.SF.0004,2016-08-22,4530.0,4530.0,4530.0,4530.0,0.0,4410.0,4530.0,1.0
R.CN.CZC.SF.0004,2016-08-23,4530.0,4530.0,4530.0,4530.0,0.0,4410.0,4530.0,1.0
R.CN.CZC.SF.0004,2016-08-24,4382.0,4500.0,4382.0,4500.0,6.0,4408.0,4432.0,1.0
R.CN.CZC.SF.0004,2016-08-25,4382.0,4500.0,4382.0,4500.0,0.0,4408.0,4432.0,1.0
R.CN.CZC.SF.0004,2016-08-26,4382.0,4500.0,4382.0,4500.0,0.0,4408.0,4432.0,1.0
R.CN.CZC.SF.0004,2016-08-29,4382.0,4500.0,4382.0,4500.0,0.0,4408.0,4432.0,1.0
R.CN.CZC.SF.0004,2016-08-30,4382.0,4500.0,4382.0,4500.0,0.0,4408.0,4432.0,1.0
R.CN.CZC.SF.0004,2016-08-31,4382.0,4500.0,4382.0,4500.0,0.0,4408.0,4432.0,1.0
R.CN.CZC.SF.0004,2016-09-01,4382.0,4500.0,4382.0,4500.0,0.0,4408.0,4432.0,1.0
R.CN.CZC.SF.0004,2016-09-02,4382.0,4500.0,4382.0,4500.0,0.0,4408.0,4432.0,1.0
R.CN.CZC.SF.0004,2016-09-05,4538.0,4744.0,4538.0,4734.0,14.0,4418.0,4670.0,1.0
R.CN.CZC.SF.0004,2016-09-06,4538.0,4744.0,4538.0,4734.0,0.0,4418.0,4670.0,1.0
R.CN.CZC.SF.0004,2016-09-07,4862.0,4862.0,4628.0,4628.0,14.0,4416.0,4728.0,1.0
R.CN.CZC.SF.0004,2016-09-08,4880.0,4880.0,4772.0,4780.0,6.0,4416.0,4812.0,1.0
R.CN.CZC.SF.0004,2016-09-09,4880.0,4880.0,4772.0,4780.0,0.0,4416.0,4812.0,1.0
R.CN.CZC.SF.0004,2016-09-12,4880.0,4880.0,4772.0,4780.0,0.0,4416.0,4812.0,1.0
R.CN.CZC.SF.0004,2016-09-13,4880.0,4880.0,4772.0,4780.0,0.0,4416.0,4812.0,1.0
R.CN.CZC.SF.0004,2016-09-14,4702.0,4702.0,4702.0,4702.0,2.0,4414.0,4702.0,1.0
R.CN.CZC.SF.0004,2016-09-19,4702.0,4702.0,4702.0,4702.0,0.0,4414.0,4702.0,1.0
R.CN.CZC.SF.0004,2016-09-20,5052.0,5052.0,4884.0,4884.0,4.0,4416.0,4968.0,1.0
R.CN.CZC.SF.0004,2016-09-21,5052.0,5052.0,4884.0,4884.0,0.0,4416.0,4968.0,1.0
R.CN.CZC.SF.0004,2016-09-22,5078.0,5108.0,4982.0,4982.0,8.0,4418.0,5068.0,1.0
R.CN.CZC.SF.0004,2016-09-23,4920.0,5000.0,4914.0,4998.0,10.0,4418.0,4964.0,1.0
R.CN.CZC.SF.0004,2016-09-26,5158.0,5158.0,5100.0,5148.0,406.0,4018.0,5102.0,1.0
R.CN.CZC.SF.0004,2016-09-27,5000.0,5120.0,5000.0,5120.0,4000.0,18.0,5060.0,1.0
R.CN.CZC.SF.0004,2016-09-28,5000.0,5120.0,5000.0,5120.0,0.0,18.0,5060.0,1.0
R.CN.CZC.SF.0004,2016-09-29,5000.0,5120.0,5000.0,5120.0,0.0,18.0,5060.0,1.0
R.CN.CZC.SF.0004,2016-09-30,4998.0,5132.0,4998.0,5132.0,4.0,22.0,5066.0,1.0
R.CN.CZC.SF.0004,2016-10-10,5168.0,5168.0,5060.0,5100.0,8.0,20.0,5116.0,1.0
R.CN.CZC.SF.0004,2016-10-11,5180.0,5280.0,5180.0,5280.0,8.0,22.0,5238.0,1.0
R.CN.CZC.SF.0004,2016-10-12,5302.0,5448.0,5302.0,5448.0,34.0,40.0,5436.0,1.0
R.CN.CZC.SF.0004,2016-10-13,5460.0,5642.0,5438.0,5642.0,114.0,90.0,5582.0,1.0
R.CN.CZC.SF.0004,2016-10-14,5604.0,5690.0,5604.0,5690.0,88.0,114.0,5656.0,1.0
R.CN.CZC.SF.0004,2016-10-17,5724.0,5724.0,5636.0,5710.0,54.0,116.0,5684.0,1.0
R.CN.CZC.SF.0004,2016-10-18,5568.0,5610.0,5512.0,5606.0,58.0,114.0,5566.0,1.0
R.CN.CZC.SF.0004,2016-10-19,5556.0,5556.0,5386.0,5498.0,34.0,130.0,5488.0,1.0
R.CN.CZC.SF.0004,2016-10-20,5482.0,5486.0,5334.0,5334.0,44.0,140.0,5402.0,1.0
R.CN.CZC.SF.0004,2016-10-21,5242.0,5388.0,5242.0,5360.0,52.0,128.0,5338.0,1.0
R.CN.CZC.SF.0004,2016-10-24,5350.0,5420.0,5338.0,5382.0,62.0,138.0,5378.0,1.0
R.CN.CZC.SF.0004,2016-10-25,5468.0,5508.0,5412.0,5418.0,76.0,178.0,5456.0,1.0
R.CN.CZC.SF.0004,2016-10-26,5452.0,5484.0,5420.0,5420.0,46.0,178.0,5450.0,1.0
R.CN.CZC.SF.0004,2016-10-27,5520.0,5564.0,5320.0,5320.0,176.0,200.0,5484.0,1.0
R.CN.CZC.SF.0004,2016-10-28,5320.0,5442.0,5320.0,5442.0,124.0,234.0,5398.0,1.0
R.CN.CZC.SF.0004,2016-10-31,5438.0,5440.0,5392.0,5392.0,34.0,230.0,5410.0,1.0
R.CN.CZC.SF.0004,2016-11-01,5434.0,5462.0,5382.0,5382.0,102.0,306.0,5434.0,1.0
R.CN.CZC.SF.0004,2016-11-02,5416.0,5442.0,5360.0,5404.0,36.0,312.0,5398.0,1.0
R.CN.CZC.SF.0004,2016-11-03,5468.0,5614.0,5402.0,5430.0,164.0,350.0,5518.0,1.0
R.CN.CZC.SF.0004,2016-11-04,5574.0,5574.0,5464.0,5476.0,54.0,336.0,5516.0,1.0
R.CN.CZC.SF.0004,2016-11-07,5492.0,5600.0,5468.0,5482.0,502.0,614.0,5534.0,1.0
R.CN.CZC.SF.0004,2016-11-08,5528.0,5554.0,5420.0,5468.0,304.0,644.0,5512.0,1.0
R.CN.CZC.SF.0004,2016-11-09,5510.0,5530.0,5412.0,5412.0,310.0,764.0,5462.0,1.0
R.CN.CZC.SF.0004,2016-11-10,5402.0,5510.0,5402.0,5450.0,426.0,974.0,5456.0,1.0
R.CN.CZC.SF.0004,2016-11-11,5472.0,5564.0,5464.0,5474.0,528.0,1162.0,5496.0,1.0
R.CN.CZC.SF.0004,2016-11-14,5272.0,5440.0,5272.0,5362.0,402.0,1076.0,5366.0,1.0
R.CN.CZC.SF.0004,2016-11-15,5390.0,5450.0,5202.0,5222.0,322.0,1048.0,5340.0,1.0
R.CN.CZC.SF.0004,2016-11-16,5280.0,5360.0,5278.0,5336.0,120.0,1048.0,5326.0,1.0
R.CN.CZC.SF.0004,2016-11-17,5304.0,5342.0,5304.0,5330.0,62.0,1048.0,5326.0,1.0
R.CN.CZC.SF.0004,2016-11-18,5330.0,5390.0,5284.0,5344.0,138.0,1052.0,5346.0,1.0
R.CN.CZC.SF.0004,2016-11-21,5302.0,5452.0,5282.0,5448.0,384.0,1086.0,5368.0,1.0
R.CN.CZC.SF.0004,2016-11-22,5502.0,5516.0,5470.0,5474.0,220.0,1202.0,5496.0,1.0
R.CN.CZC.SF.0004,2016-11-23,5536.0,5592.0,5454.0,5510.0,370.0,1304.0,5512.0,1.0
R.CN.CZC.SF.0004,2016-11-24,5516.0,5552.0,5480.0,5516.0,1086.0,1554.0,5514.0,1.0
R.CN.CZC.SF.0004,2016-11-25,5548.0,5576.0,5454.0,5506.0,1348.0,1756.0,5504.0,1.0
R.CN.CZC.SF.0004,2016-11-28,5544.0,5628.0,5500.0,5628.0,2304.0,2964.0,5568.0,1.0
R.CN.CZC.SF.0004,2016-11-29,5600.0,5694.0,5288.0,5546.0,1838.0,3038.0,5556.0,1.0
R.CN.CZC.SF.0004,2016-11-30,5470.0,5516.0,5434.0,5488.0,1346.0,2838.0,5478.0,1.0
R.CN.CZC.SF.0004,2016-12-01,5546.0,5550.0,5480.0,5534.0,490.0,2918.0,5530.0,1.0
R.CN.CZC.SF.0004,2016-12-02,5500.0,5542.0,5462.0,5498.0,780.0,2832.0,5498.0,1.0
R.CN.CZC.SF.0004,2016-12-05,5476.0,5502.0,5410.0,5490.0,774.0,2610.0,5478.0,1.0
R.CN.CZC.SF.0004,2016-12-06,5508.0,5536.0,5460.0,5508.0,812.0,2846.0,5504.0,1.0
R.CN.CZC.SF.0004,2016-12-07,5524.0,5530.0,5470.0,5470.0,1084.0,2654.0,5506.0,1.0
R.CN.CZC.SF.0004,2016-12-08,5434.0,5506.0,5380.0,5498.0,1350.0,2732.0,5450.0,1.0
R.CN.CZC.SF.0004,2016-12-09,5402.0,5568.0,5340.0,5478.0,1188.0,2948.0,5492.0,1.0
R.CN.CZC.SF.0004,2016-12-12,5558.0,5558.0,5410.0,5478.0,1160.0,3110.0,5488.0,1.0
R.CN.CZC.SF.0004,2016-12-13,5454.0,5494.0,5446.0,5462.0,396.0,3216.0,5474.0,1.0
R.CN.CZC.SF.0004,2016-12-14,5364.0,5482.0,5364.0,5468.0,430.0,3176.0,5458.0,1.0
R.CN.CZC.SF.0004,2016-12-15,5412.0,5484.0,5404.0,5450.0,510.0,3062.0,5450.0,1.0
R.CN.CZC.SF.0004,2016-12-16,5432.0,5466.0,5414.0,5426.0,250.0,3046.0,5436.0,1.0
R.CN.CZC.SF.0004,2016-12-19,5392.0,5526.0,5384.0,5400.0,542.0,2910.0,5426.0,1.0
R.CN.CZC.SF.0004,2016-12-20,5468.0,5468.0,5344.0,5352.0,390.0,3018.0,5390.0,1.0
R.CN.CZC.SF.0004,2016-12-21,5304.0,5396.0,5222.0,5266.0,2174.0,3042.0,5280.0,1.0
R.CN.CZC.SF.0004,2016-12-22,5212.0,5284.0,5212.0,5234.0,530.0,3018.0,5246.0,1.0
R.CN.CZC.SF.0004,2016-12-23,5272.0,5342.0,5166.0,5268.0,1296.0,2862.0,5266.0,1.0
R.CN.CZC.SF.0004,2016-12-26,5184.0,5266.0,5110.0,5132.0,858.0,2762.0,5172.0,1.0
R.CN.CZC.SF.0004,2016-12-27,5116.0,5150.0,5028.0,5104.0,670.0,2802.0,5100.0,1.0
R.CN.CZC.SF.0004,2016-12-28,5152.0,5288.0,5114.0,5162.0,912.0,2750.0,5182.0,1.0
R.CN.CZC.SF.0004,2016-12-29,5118.0,5152.0,5082.0,5120.0,414.0,2754.0,5126.0,1.0
R.CN.CZC.SF.0004,2016-12-30,5042.0,5212.0,5040.0,5196.0,892.0,2578.0,5168.0,1.0
R.CN.CZC.SF.0004,2017-01-03,5146.0,5228.0,5132.0,5160.0,1266.0,2614.0,5174.0,1.0
R.CN.CZC.SF.0004,2017-01-04,5160.0,5200.0,5080.0,5190.0,1408.0,2550.0,5166.0,1.0
R.CN.CZC.SF.0004,2017-01-05,5240.0,5240.0,5152.0,5164.0,886.0,2604.0,5190.0,1.0
R.CN.CZC.SF.0004,2017-01-06,5120.0,5194.0,4986.0,5028.0,2444.0,2802.0,5114.0,1.0
R.CN.CZC.SF.0004,2017-01-09,5008.0,5028.0,4858.0,4858.0,2602.0,3838.0,4922.0,1.0
R.CN.CZC.SF.0004,2017-01-10,4830.0,5042.0,4820.0,5010.0,7830.0,3392.0,4952.0,1.0
R.CN.CZC.SF.0004,2017-01-11,5038.0,5090.0,4968.0,5012.0,2946.0,3164.0,5026.0,1.0
