SYMBOL,CLOCK,OPEN,HIGH,LOW,CLOSE,VOLUME,INTEREST,SETTLE,ADJ
R.CN.CZC.SM.0004,2016-01-29,3420.0,3768.0,3420.0,3768.0,0.0,0.0,3768.0,1.67090254657928
R.CN.CZC.SM.0004,2016-02-01,3420.0,3768.0,3420.0,3768.0,0.0,0.0,3768.0,1.67090254657928
R.CN.CZC.SM.0004,2016-02-02,3420.0,3768.0,3420.0,3768.0,0.0,0.0,3768.0,1.67090254657928
R.CN.CZC.SM.0004,2016-02-03,3420.0,3768.0,3420.0,3768.0,0.0,0.0,3768.0,1.67090254657928
R.CN.CZC.SM.0004,2016-02-04,3420.0,3768.0,3420.0,3768.0,0.0,0.0,3768.0,1.67090254657928
R.CN.CZC.SM.0004,2016-02-05,3420.0,3768.0,3420.0,3768.0,0.0,0.0,3768.0,1.67090254657928
R.CN.CZC.SM.0004,2016-02-15,3420.0,3768.0,3420.0,3768.0,0.0,0.0,3768.0,1.67090254657928
R.CN.CZC.SM.0004,2016-02-16,3420.0,3768.0,3420.0,3768.0,0.0,0.0,3768.0,1.67090254657928
R.CN.CZC.SM.0004,2016-02-17,3420.0,3768.0,3420.0,3768.0,0.0,0.0,3768.0,1.67090254657928
R.CN.CZC.SM.0004,2016-02-18,3420.0,3768.0,3420.0,3768.0,0.0,0.0,3768.0,1.67090254657928
R.CN.CZC.SM.0004,2016-02-19,3420.0,3768.0,3420.0,3768.0,0.0,0.0,3768.0,1.67090254657928
R.CN.CZC.SM.0004,2016-02-22,3420.0,3768.0,3420.0,3768.0,0.0,0.0,3768.0,1.67090254657928
R.CN.CZC.SM.0004,2016-02-23,3420.0,3768.0,3420.0,3768.0,0.0,0.0,3768.0,1.67090254657928
R.CN.CZC.SM.0004,2016-02-24,3420.0,3768.0,3420.0,3768.0,0.0,0.0,3768.0,1.67090254657928
R.CN.CZC.SM.0004,2016-02-25,3420.0,3768.0,3420.0,3768.0,0.0,0.0,3768.0,1.67090254657928
R.CN.CZC.SM.0004,2016-02-26,3420.0,3768.0,3420.0,3768.0,0.0,0.0,3768.0,1.67090254657928
