SYMBOL,CLOCK,OPEN,HIGH,LOW,CLOSE,VOLUME,INTEREST,SETTLE,ADJ
R.CN.CZC.SR.0004,2010-01-04,5803.0,5901.0,5800.0,5901.0,1145488.0,883190.0,5854.0,0.626125241378805
R.CN.CZC.SR.0004,2010-01-05,5950.0,5993.0,5901.0,5925.0,2152544.0,821560.0,5947.0,0.626125241378805
R.CN.CZC.SR.0004,2010-01-06,5913.0,5990.0,5888.0,5923.0,2337148.0,764236.0,5941.0,0.626125241378805
R.CN.CZC.SR.0004,2010-01-07,5969.0,5985.0,5703.0,5794.0,2158418.0,655066.0,5830.0,0.626125241378805
R.CN.CZC.SR.0004,2010-01-08,5795.0,5800.0,5596.0,5597.0,1696348.0,543520.0,5668.0,0.626125241378805
R.CN.CZC.SR.0004,2010-01-11,5599.0,5665.0,5551.0,5613.0,2460750.0,607864.0,5619.0,0.626125241378805
R.CN.CZC.SR.0004,2010-01-12,5573.0,5601.0,5527.0,5545.0,1555102.0,601602.0,5572.0,0.626125241378805
R.CN.CZC.SR.0004,2010-01-13,5515.0,5608.0,5354.0,5377.0,2568264.0,593118.0,5487.0,0.626125241378805
R.CN.CZC.SR.0004,2010-01-14,5450.0,5479.0,5322.0,5455.0,3022878.0,635342.0,5427.0,0.626125241378805
R.CN.CZC.SR.0004,2010-01-15,5443.0,5488.0,5388.0,5391.0,2611636.0,602286.0,5438.0,0.626125241378805
R.CN.CZC.SR.0004,2010-01-18,5380.0,5473.0,5367.0,5430.0,2381104.0,654202.0,5430.0,0.626125241378805
R.CN.CZC.SR.0004,2010-01-19,5451.0,5483.0,5424.0,5451.0,1837926.0,644956.0,5452.0,0.626125241378805
R.CN.CZC.SR.0004,2010-01-20,5519.0,5549.0,5470.0,5489.0,1788642.0,609776.0,5503.0,0.626125241378805
R.CN.CZC.SR.0004,2010-01-21,5494.0,5701.0,5485.0,5680.0,3414108.0,701836.0,5591.0,0.626125241378805
R.CN.CZC.SR.0004,2010-01-22,5650.0,5682.0,5533.0,5584.0,2615296.0,630464.0,5605.0,0.626125241378805
R.CN.CZC.SR.0004,2010-01-25,5583.0,5625.0,5570.0,5605.0,1632596.0,665968.0,5604.0,0.626125241378805
R.CN.CZC.SR.0004,2010-01-26,5657.0,5688.0,5633.0,5652.0,1961196.0,679762.0,5665.0,0.626125241378805
R.CN.CZC.SR.0004,2010-01-27,5645.0,5665.0,5578.0,5584.0,1709924.0,691406.0,5608.0,0.626125241378805
R.CN.CZC.SR.0004,2010-01-28,5500.0,5505.0,5383.0,5383.0,1442992.0,609526.0,5422.0,0.626125241378805
R.CN.CZC.SR.0004,2010-01-29,5421.0,5441.0,5352.0,5378.0,1645452.0,562542.0,5395.0,0.626125241378805
R.CN.CZC.SR.0004,2010-02-01,5420.0,5486.0,5345.0,5430.0,2245886.0,594528.0,5416.0,0.626125241378805
R.CN.CZC.SR.0004,2010-02-02,5452.0,5529.0,5424.0,5497.0,2683812.0,644972.0,5487.0,0.626125241378805
R.CN.CZC.SR.0004,2010-02-03,5580.0,5660.0,5549.0,5657.0,2583420.0,689228.0,5596.0,0.626125241378805
R.CN.CZC.SR.0004,2010-02-04,5590.0,5618.0,5536.0,5573.0,2232436.0,662014.0,5579.0,0.626125241378805
R.CN.CZC.SR.0004,2010-02-05,5495.0,5523.0,5463.0,5497.0,1720022.0,652616.0,5494.0,0.626125241378805
R.CN.CZC.SR.0004,2010-02-08,5448.0,5552.0,5445.0,5539.0,2102440.0,732388.0,5519.0,0.626125241378805
R.CN.CZC.SR.0004,2010-02-09,5536.0,5563.0,5514.0,5558.0,1182540.0,645702.0,5534.0,0.626125241378805
R.CN.CZC.SR.0004,2010-02-10,5582.0,5756.0,5576.0,5756.0,1956908.0,708430.0,5691.0,0.626125241378805
R.CN.CZC.SR.0004,2010-02-11,5761.0,5843.0,5735.0,5785.0,1781088.0,624288.0,5780.0,0.626125241378805
R.CN.CZC.SR.0004,2010-02-12,5830.0,5868.0,5816.0,5840.0,990698.0,580312.0,5845.0,0.626125241378805
R.CN.CZC.SR.0004,2010-02-22,5947.0,5976.0,5650.0,5733.0,1788322.0,601410.0,5798.0,0.626125241378805
R.CN.CZC.SR.0004,2010-02-23,5613.0,5771.0,5613.0,5764.0,2203862.0,698476.0,5711.0,0.626125241378805
R.CN.CZC.SR.0004,2010-02-24,5745.0,5809.0,5720.0,5780.0,2191008.0,704890.0,5768.0,0.626125241378805
R.CN.CZC.SR.0004,2010-02-25,5790.0,5876.0,5720.0,5741.0,2144800.0,657298.0,5784.0,0.626125241378805
R.CN.CZC.SR.0004,2010-02-26,5740.0,5780.0,5731.0,5765.0,992612.0,651828.0,5759.0,0.626125241378805
R.CN.CZC.SR.0004,2010-03-01,5810.0,5820.0,5713.0,5754.0,855028.0,651106.0,5752.0,0.626125241378805
R.CN.CZC.SR.0004,2010-03-02,5721.0,5729.0,5584.0,5670.0,1669322.0,678216.0,5662.0,0.626125241378805
R.CN.CZC.SR.0004,2010-03-03,5690.0,5719.0,5646.0,5682.0,977416.0,664636.0,5683.0,0.626125241378805
R.CN.CZC.SR.0004,2010-03-04,5660.0,5680.0,5611.0,5635.0,1024838.0,646088.0,5638.0,0.626125241378805
R.CN.CZC.SR.0004,2010-03-05,5630.0,5705.0,5601.0,5697.0,792194.0,637746.0,5658.0,0.626125241378805
R.CN.CZC.SR.0004,2010-03-08,5736.0,5748.0,5694.0,5747.0,553176.0,626860.0,5724.0,0.626125241378805
R.CN.CZC.SR.0004,2010-03-09,5724.0,5732.0,5678.0,5713.0,619774.0,599984.0,5708.0,0.626125241378805
R.CN.CZC.SR.0004,2010-03-10,5636.0,5645.0,5538.0,5557.0,1351938.0,609148.0,5583.0,0.626125241378805
R.CN.CZC.SR.0004,2010-03-11,5532.0,5535.0,5359.0,5359.0,1222028.0,571094.0,5430.0,0.626125241378805
R.CN.CZC.SR.0004,2010-03-12,5315.0,5352.0,5232.0,5343.0,1368108.0,505396.0,5312.0,0.626125241378805
R.CN.CZC.SR.0004,2010-03-15,5369.0,5372.0,5190.0,5252.0,1705504.0,511478.0,5290.0,0.626125241378805
R.CN.CZC.SR.0004,2010-03-16,4951.0,5036.0,4911.0,5020.0,2469746.0,497032.0,4998.0,0.660455868190698
R.CN.CZC.SR.0004,2010-03-17,4960.0,5076.0,4905.0,5057.0,3573902.0,537968.0,5011.0,0.660455868190698
R.CN.CZC.SR.0004,2010-03-18,5083.0,5144.0,5066.0,5134.0,3158552.0,546014.0,5110.0,0.660455868190698
R.CN.CZC.SR.0004,2010-03-19,5161.0,5181.0,5135.0,5145.0,2173492.0,523436.0,5155.0,0.660455868190698
R.CN.CZC.SR.0004,2010-03-22,5131.0,5202.0,5131.0,5179.0,1976420.0,537728.0,5177.0,0.660455868190698
R.CN.CZC.SR.0004,2010-03-23,5136.0,5147.0,5028.0,5031.0,2867298.0,606868.0,5069.0,0.660455868190698
R.CN.CZC.SR.0004,2010-03-24,4945.0,4995.0,4911.0,4992.0,3082462.0,624858.0,4962.0,0.660455868190698
R.CN.CZC.SR.0004,2010-03-25,5065.0,5081.0,5021.0,5051.0,2312798.0,597994.0,5050.0,0.660455868190698
R.CN.CZC.SR.0004,2010-03-26,5018.0,5126.0,5006.0,5111.0,2907790.0,599172.0,5082.0,0.660455868190698
R.CN.CZC.SR.0004,2010-03-29,5118.0,5150.0,5060.0,5117.0,2880164.0,598790.0,5117.0,0.660455868190698
R.CN.CZC.SR.0004,2010-03-30,5128.0,5144.0,5066.0,5082.0,2640960.0,553354.0,5103.0,0.660455868190698
R.CN.CZC.SR.0004,2010-03-31,5092.0,5125.0,5070.0,5077.0,2071486.0,559336.0,5097.0,0.660455868190698
R.CN.CZC.SR.0004,2010-04-01,5001.0,5031.0,4982.0,5001.0,2313582.0,597316.0,5008.0,0.660455868190698
R.CN.CZC.SR.0004,2010-04-02,5038.0,5102.0,5034.0,5100.0,2422356.0,537458.0,5069.0,0.660455868190698
R.CN.CZC.SR.0004,2010-04-06,5087.0,5119.0,5066.0,5082.0,2413048.0,564512.0,5097.0,0.660455868190698
R.CN.CZC.SR.0004,2010-04-07,5060.0,5099.0,5045.0,5096.0,2043686.0,610032.0,5071.0,0.660455868190698
R.CN.CZC.SR.0004,2010-04-08,5091.0,5125.0,5069.0,5078.0,2844088.0,622960.0,5100.0,0.660455868190698
R.CN.CZC.SR.0004,2010-04-09,5088.0,5145.0,5075.0,5136.0,3484504.0,643430.0,5112.0,0.660455868190698
R.CN.CZC.SR.0004,2010-04-12,5170.0,5218.0,5156.0,5194.0,3946366.0,628010.0,5189.0,0.660455868190698
R.CN.CZC.SR.0004,2010-04-13,5185.0,5208.0,5164.0,5193.0,3175700.0,626694.0,5190.0,0.660455868190698
R.CN.CZC.SR.0004,2010-04-14,5220.0,5233.0,5202.0,5204.0,2497846.0,638572.0,5220.0,0.660455868190698
R.CN.CZC.SR.0004,2010-04-15,5222.0,5227.0,5157.0,5162.0,2691956.0,681518.0,5190.0,0.660455868190698
R.CN.CZC.SR.0004,2010-04-16,5162.0,5191.0,5151.0,5186.0,2113588.0,640942.0,5175.0,0.660455868190698
R.CN.CZC.SR.0004,2010-04-19,5130.0,5141.0,5050.0,5069.0,3034968.0,645092.0,5094.0,0.660455868190698
R.CN.CZC.SR.0004,2010-04-20,5126.0,5136.0,5113.0,5128.0,1681800.0,612872.0,5123.0,0.660455868190698
R.CN.CZC.SR.0004,2010-04-21,5106.0,5116.0,5070.0,5099.0,2295294.0,672244.0,5095.0,0.660455868190698
R.CN.CZC.SR.0004,2010-04-22,5090.0,5124.0,5080.0,5122.0,2233068.0,703204.0,5097.0,0.660455868190698
R.CN.CZC.SR.0004,2010-04-23,5103.0,5118.0,5085.0,5091.0,1885708.0,658640.0,5101.0,0.660455868190698
R.CN.CZC.SR.0004,2010-04-26,5089.0,5091.0,4984.0,5013.0,4105350.0,881166.0,5025.0,0.660455868190698
R.CN.CZC.SR.0004,2010-04-27,5004.0,5007.0,4940.0,4986.0,3110402.0,795274.0,4971.0,0.660455868190698
R.CN.CZC.SR.0004,2010-04-28,4920.0,5006.0,4909.0,4977.0,2966836.0,793720.0,4970.0,0.660455868190698
R.CN.CZC.SR.0004,2010-04-29,4949.0,4972.0,4880.0,4926.0,3254414.0,830492.0,4926.0,0.660455868190698
R.CN.CZC.SR.0004,2010-04-30,4955.0,4967.0,4914.0,4938.0,2259096.0,767808.0,4938.0,0.660455868190698
R.CN.CZC.SR.0004,2010-05-04,4910.0,4917.0,4816.0,4819.0,2799604.0,870202.0,4846.0,0.660455868190698
R.CN.CZC.SR.0004,2010-05-05,4780.0,4817.0,4760.0,4809.0,2128582.0,791362.0,4796.0,0.660455868190698
R.CN.CZC.SR.0004,2010-05-06,4812.0,4838.0,4775.0,4794.0,2566196.0,800976.0,4803.0,0.660455868190698
R.CN.CZC.SR.0004,2010-05-07,4710.0,4743.0,4686.0,4697.0,2219988.0,728740.0,4717.0,0.660455868190698
R.CN.CZC.SR.0004,2010-05-10,4746.0,4800.0,4733.0,4800.0,2399422.0,727704.0,4759.0,0.660455868190698
R.CN.CZC.SR.0004,2010-05-11,4800.0,4825.0,4767.0,4779.0,2566282.0,662306.0,4798.0,0.660455868190698
R.CN.CZC.SR.0004,2010-05-12,4763.0,4850.0,4761.0,4832.0,3157282.0,698238.0,4820.0,0.660455868190698
R.CN.CZC.SR.0004,2010-05-13,4876.0,4883.0,4834.0,4854.0,1996472.0,690032.0,4856.0,0.660455868190698
R.CN.CZC.SR.0004,2010-05-14,4843.0,4858.0,4774.0,4778.0,2702254.0,738016.0,4813.0,0.660455868190698
R.CN.CZC.SR.0004,2010-05-17,4748.0,4750.0,4620.0,4620.0,2390062.0,602628.0,4660.0,0.660455868190698
R.CN.CZC.SR.0004,2010-05-18,4621.0,4709.0,4586.0,4695.0,2723792.0,563770.0,4657.0,0.660455868190698
R.CN.CZC.SR.0004,2010-05-19,4683.0,4742.0,4675.0,4701.0,3059674.0,624946.0,4708.0,0.660455868190698
R.CN.CZC.SR.0004,2010-05-20,4739.0,4770.0,4716.0,4731.0,2352824.0,614764.0,4744.0,0.660455868190698
R.CN.CZC.SR.0004,2010-05-21,4707.0,4735.0,4661.0,4730.0,2206100.0,602496.0,4701.0,0.660455868190698
R.CN.CZC.SR.0004,2010-05-24,4777.0,4818.0,4765.0,4817.0,2099338.0,635296.0,4791.0,0.660455868190698
R.CN.CZC.SR.0004,2010-05-25,4780.0,4793.0,4731.0,4731.0,2148384.0,605118.0,4771.0,0.660455868190698
R.CN.CZC.SR.0004,2010-05-26,4781.0,4806.0,4765.0,4798.0,2155250.0,640778.0,4783.0,0.660455868190698
R.CN.CZC.SR.0004,2010-05-27,4798.0,4810.0,4767.0,4799.0,2190138.0,597628.0,4790.0,0.660455868190698
R.CN.CZC.SR.0004,2010-05-28,4780.0,4796.0,4696.0,4718.0,3520448.0,711238.0,4738.0,0.660455868190698
R.CN.CZC.SR.0004,2010-05-31,4671.0,4698.0,4646.0,4675.0,2205222.0,642468.0,4678.0,0.660455868190698
R.CN.CZC.SR.0004,2010-06-01,4679.0,4693.0,4663.0,4675.0,1676284.0,641290.0,4681.0,0.660455868190698
R.CN.CZC.SR.0004,2010-06-02,4686.0,4750.0,4667.0,4747.0,2675890.0,702744.0,4708.0,0.660455868190698
R.CN.CZC.SR.0004,2010-06-03,4732.0,4741.0,4677.0,4719.0,2885294.0,646110.0,4711.0,0.660455868190698
R.CN.CZC.SR.0004,2010-06-04,4708.0,4745.0,4705.0,4729.0,2058214.0,618486.0,4725.0,0.660455868190698
R.CN.CZC.SR.0004,2010-06-07,4701.0,4712.0,4627.0,4676.0,3689776.0,647520.0,4665.0,0.660455868190698
R.CN.CZC.SR.0004,2010-06-08,4691.0,4720.0,4675.0,4715.0,1587212.0,604428.0,4690.0,0.660455868190698
R.CN.CZC.SR.0004,2010-06-09,4738.0,4781.0,4728.0,4775.0,1876904.0,621716.0,4753.0,0.660455868190698
R.CN.CZC.SR.0004,2010-06-10,4760.0,4769.0,4730.0,4737.0,1241380.0,565960.0,4748.0,0.660455868190698
R.CN.CZC.SR.0004,2010-06-11,4762.0,4813.0,4750.0,4786.0,1380294.0,510164.0,4783.0,0.660455868190698
R.CN.CZC.SR.0004,2010-06-17,4812.0,4835.0,4782.0,4789.0,1121960.0,530952.0,4811.0,0.660455868190698
R.CN.CZC.SR.0004,2010-06-18,4777.0,4793.0,4751.0,4756.0,1956496.0,590982.0,4770.0,0.660455868190698
R.CN.CZC.SR.0004,2010-06-21,4768.0,4861.0,4762.0,4846.0,2006316.0,664804.0,4811.0,0.660455868190698
R.CN.CZC.SR.0004,2010-06-22,4832.0,4854.0,4822.0,4832.0,1715788.0,646938.0,4839.0,0.660455868190698
R.CN.CZC.SR.0004,2010-06-23,4825.0,4860.0,4816.0,4831.0,1628078.0,651714.0,4836.0,0.660455868190698
R.CN.CZC.SR.0004,2010-06-24,4820.0,4858.0,4805.0,4849.0,1929298.0,678074.0,4834.0,0.660455868190698
R.CN.CZC.SR.0004,2010-06-25,4880.0,4889.0,4855.0,4863.0,1363448.0,651146.0,4871.0,0.660455868190698
R.CN.CZC.SR.0004,2010-06-28,4878.0,4900.0,4871.0,4876.0,1287932.0,648946.0,4886.0,0.660455868190698
R.CN.CZC.SR.0004,2010-06-29,4843.0,4852.0,4794.0,4802.0,1269578.0,613220.0,4824.0,0.660455868190698
R.CN.CZC.SR.0004,2010-06-30,4781.0,4827.0,4775.0,4825.0,1061148.0,608252.0,4806.0,0.660455868190698
R.CN.CZC.SR.0004,2010-07-01,4843.0,4859.0,4830.0,4834.0,1180318.0,611606.0,4842.0,0.660455868190698
R.CN.CZC.SR.0004,2010-07-02,4851.0,4884.0,4848.0,4883.0,1207948.0,642102.0,4865.0,0.660455868190698
R.CN.CZC.SR.0004,2010-07-05,4900.0,4996.0,4892.0,4980.0,2303272.0,731426.0,4947.0,0.660455868190698
R.CN.CZC.SR.0004,2010-07-06,4970.0,4993.0,4945.0,4965.0,2043976.0,660762.0,4970.0,0.660455868190698
R.CN.CZC.SR.0004,2010-07-07,4962.0,4981.0,4944.0,4952.0,1461268.0,673034.0,4964.0,0.660455868190698
R.CN.CZC.SR.0004,2010-07-08,4997.0,5020.0,4965.0,4967.0,1654372.0,678914.0,4993.0,0.660455868190698
R.CN.CZC.SR.0004,2010-07-09,4969.0,4981.0,4948.0,4972.0,1262984.0,651554.0,4964.0,0.660455868190698
R.CN.CZC.SR.0004,2010-07-12,4956.0,4998.0,4952.0,4953.0,1154764.0,643234.0,4980.0,0.660455868190698
R.CN.CZC.SR.0004,2010-07-13,4978.0,4992.0,4946.0,4956.0,1668700.0,651008.0,4974.0,0.660455868190698
R.CN.CZC.SR.0004,2010-07-14,4966.0,4980.0,4914.0,4934.0,2065752.0,652084.0,4941.0,0.660455868190698
R.CN.CZC.SR.0004,2010-07-15,4927.0,4958.0,4912.0,4939.0,1308910.0,628256.0,4937.0,0.660455868190698
R.CN.CZC.SR.0004,2010-07-16,4976.0,4988.0,4961.0,4983.0,1155958.0,593420.0,4974.0,0.660455868190698
R.CN.CZC.SR.0004,2010-07-19,4962.0,4994.0,4960.0,4984.0,949292.0,596702.0,4976.0,0.660455868190698
R.CN.CZC.SR.0004,2010-07-20,5001.0,5051.0,5001.0,5040.0,1423726.0,596080.0,5030.0,0.660455868190698
R.CN.CZC.SR.0004,2010-07-21,5027.0,5035.0,5010.0,5018.0,831496.0,557296.0,5022.0,0.660455868190698
R.CN.CZC.SR.0004,2010-07-22,5029.0,5033.0,5010.0,5023.0,736670.0,551672.0,5022.0,0.660455868190698
R.CN.CZC.SR.0004,2010-07-23,5066.0,5073.0,5042.0,5046.0,772846.0,535784.0,5057.0,0.660455868190698
R.CN.CZC.SR.0004,2010-07-26,5046.0,5098.0,5041.0,5090.0,1170520.0,570868.0,5080.0,0.660455868190698
R.CN.CZC.SR.0004,2010-07-27,5101.0,5125.0,5060.0,5067.0,1421902.0,581238.0,5090.0,0.660455868190698
R.CN.CZC.SR.0004,2010-07-28,5075.0,5121.0,5071.0,5120.0,1091224.0,610764.0,5101.0,0.660455868190698
R.CN.CZC.SR.0004,2010-07-29,5140.0,5174.0,5111.0,5152.0,1327888.0,633376.0,5143.0,0.660455868190698
R.CN.CZC.SR.0004,2010-07-30,5175.0,5195.0,5152.0,5194.0,1270222.0,635546.0,5175.0,0.660455868190698
R.CN.CZC.SR.0004,2010-08-02,5203.0,5313.0,5203.0,5281.0,1630786.0,680714.0,5267.0,0.660455868190698
R.CN.CZC.SR.0004,2010-08-03,5280.0,5289.0,5245.0,5264.0,1313378.0,670476.0,5265.0,0.660455868190698
R.CN.CZC.SR.0004,2010-08-04,5221.0,5235.0,5166.0,5219.0,2174738.0,713670.0,5205.0,0.660455868190698
R.CN.CZC.SR.0004,2010-08-05,5241.0,5272.0,5226.0,5234.0,1176540.0,661162.0,5247.0,0.660455868190698
R.CN.CZC.SR.0004,2010-08-06,5196.0,5266.0,5189.0,5262.0,1211416.0,611948.0,5228.0,0.660455868190698
R.CN.CZC.SR.0004,2010-08-09,5261.0,5325.0,5260.0,5322.0,1119806.0,606656.0,5295.0,0.660455868190698
R.CN.CZC.SR.0004,2010-08-10,5285.0,5303.0,5254.0,5272.0,1063532.0,603984.0,5279.0,0.660455868190698
R.CN.CZC.SR.0004,2010-08-11,5320.0,5335.0,5282.0,5289.0,963596.0,575164.0,5312.0,0.660455868190698
R.CN.CZC.SR.0004,2010-08-12,5275.0,5333.0,5251.0,5257.0,1066656.0,567554.0,5302.0,0.660455868190698
R.CN.CZC.SR.0004,2010-08-13,5289.0,5303.0,5257.0,5293.0,891110.0,502402.0,5282.0,0.660455868190698
R.CN.CZC.SR.0004,2010-08-16,5320.0,5331.0,5286.0,5304.0,573024.0,512020.0,5312.0,0.660455868190698
R.CN.CZC.SR.0004,2010-08-17,5282.0,5302.0,5265.0,5292.0,478548.0,501060.0,5281.0,0.660455868190698
R.CN.CZC.SR.0004,2010-08-18,5399.0,5418.0,5325.0,5330.0,1777374.0,591620.0,5380.0,0.650862654462788
R.CN.CZC.SR.0004,2010-08-19,5340.0,5359.0,5295.0,5347.0,1867956.0,574494.0,5334.0,0.650862654462788
R.CN.CZC.SR.0004,2010-08-20,5331.0,5361.0,5263.0,5273.0,1942804.0,606408.0,5319.0,0.650862654462788
R.CN.CZC.SR.0004,2010-08-23,5298.0,5298.0,5256.0,5258.0,1530808.0,614912.0,5282.0,0.650862654462788
R.CN.CZC.SR.0004,2010-08-24,5265.0,5305.0,5246.0,5253.0,1641792.0,572518.0,5282.0,0.650862654462788
R.CN.CZC.SR.0004,2010-08-25,5275.0,5293.0,5254.0,5274.0,1781996.0,551008.0,5275.0,0.650862654462788
R.CN.CZC.SR.0004,2010-08-26,5281.0,5329.0,5256.0,5325.0,1794434.0,618716.0,5288.0,0.650862654462788
R.CN.CZC.SR.0004,2010-08-27,5306.0,5368.0,5291.0,5351.0,2052030.0,672596.0,5327.0,0.650862654462788
R.CN.CZC.SR.0004,2010-08-30,5395.0,5535.0,5387.0,5515.0,2689588.0,732756.0,5480.0,0.650862654462788
R.CN.CZC.SR.0004,2010-08-31,5500.0,5518.0,5466.0,5492.0,2115402.0,725288.0,5494.0,0.650862654462788
R.CN.CZC.SR.0004,2010-09-01,5496.0,5555.0,5490.0,5543.0,2108718.0,769020.0,5520.0,0.650862654462788
R.CN.CZC.SR.0004,2010-09-02,5607.0,5607.0,5541.0,5550.0,1666662.0,716978.0,5570.0,0.650862654462788
R.CN.CZC.SR.0004,2010-09-03,5555.0,5576.0,5528.0,5539.0,1552126.0,690940.0,5552.0,0.650862654462788
R.CN.CZC.SR.0004,2010-09-06,5552.0,5604.0,5537.0,5588.0,1560640.0,685674.0,5575.0,0.650862654462788
R.CN.CZC.SR.0004,2010-09-07,5580.0,5632.0,5575.0,5609.0,1877348.0,721174.0,5608.0,0.650862654462788
R.CN.CZC.SR.0004,2010-09-08,5649.0,5670.0,5595.0,5610.0,1734030.0,690168.0,5637.0,0.650862654462788
R.CN.CZC.SR.0004,2010-09-09,5610.0,5618.0,5497.0,5555.0,1899076.0,688538.0,5564.0,0.650862654462788
R.CN.CZC.SR.0004,2010-09-10,5601.0,5658.0,5600.0,5649.0,1741982.0,717776.0,5628.0,0.650862654462788
R.CN.CZC.SR.0004,2010-09-13,5680.0,5686.0,5633.0,5658.0,1664068.0,697166.0,5656.0,0.650862654462788
R.CN.CZC.SR.0004,2010-09-14,5700.0,5705.0,5613.0,5632.0,2188760.0,705766.0,5650.0,0.650862654462788
R.CN.CZC.SR.0004,2010-09-15,5678.0,5678.0,5580.0,5610.0,1922972.0,712666.0,5617.0,0.650862654462788
R.CN.CZC.SR.0004,2010-09-16,5605.0,5629.0,5572.0,5618.0,1845996.0,712892.0,5601.0,0.650862654462788
R.CN.CZC.SR.0004,2010-09-17,5630.0,5703.0,5625.0,5658.0,2120428.0,671766.0,5665.0,0.650862654462788
R.CN.CZC.SR.0004,2010-09-20,5673.0,5728.0,5638.0,5707.0,2068354.0,616976.0,5693.0,0.650862654462788
R.CN.CZC.SR.0004,2010-09-21,5672.0,5679.0,5582.0,5587.0,1452154.0,536568.0,5620.0,0.650862654462788
R.CN.CZC.SR.0004,2010-09-27,5641.0,5659.0,5590.0,5618.0,1143572.0,544438.0,5620.0,0.650862654462788
R.CN.CZC.SR.0004,2010-09-28,5636.0,5749.0,5623.0,5745.0,2263488.0,660930.0,5710.0,0.650862654462788
R.CN.CZC.SR.0004,2010-09-29,5746.0,5749.0,5625.0,5652.0,1791202.0,538350.0,5674.0,0.650862654462788
R.CN.CZC.SR.0004,2010-09-30,5660.0,5679.0,5605.0,5676.0,819330.0,486986.0,5645.0,0.650862654462788
R.CN.CZC.SR.0004,2010-10-08,5671.0,5803.0,5671.0,5774.0,1148108.0,556506.0,5763.0,0.650862654462788
R.CN.CZC.SR.0004,2010-10-11,5990.0,5994.0,5910.0,5973.0,1651794.0,640436.0,5963.0,0.650862654462788
R.CN.CZC.SR.0004,2010-10-12,5930.0,5968.0,5886.0,5901.0,1668822.0,612404.0,5927.0,0.650862654462788
R.CN.CZC.SR.0004,2010-10-13,5960.0,5990.0,5932.0,5969.0,1862196.0,638420.0,5967.0,0.650862654462788
R.CN.CZC.SR.0004,2010-10-14,5972.0,6179.0,5963.0,6112.0,2808024.0,681636.0,6078.0,0.650862654462788
R.CN.CZC.SR.0004,2010-10-15,6112.0,6248.0,6081.0,6247.0,2831164.0,680564.0,6182.0,0.650862654462788
R.CN.CZC.SR.0004,2010-10-18,6165.0,6252.0,6145.0,6195.0,3062606.0,689236.0,6190.0,0.650862654462788
R.CN.CZC.SR.0004,2010-10-19,6246.0,6438.0,6233.0,6383.0,4042162.0,744370.0,6366.0,0.650862654462788
R.CN.CZC.SR.0004,2010-10-20,6337.0,6476.0,6319.0,6450.0,3388100.0,752048.0,6411.0,0.650862654462788
R.CN.CZC.SR.0004,2010-10-21,6501.0,6592.0,6403.0,6441.0,3439916.0,700790.0,6487.0,0.650862654462788
R.CN.CZC.SR.0004,2010-10-22,6420.0,6578.0,6382.0,6533.0,2913238.0,704810.0,6499.0,0.650862654462788
R.CN.CZC.SR.0004,2010-10-25,6620.0,6759.0,6620.0,6759.0,1197604.0,723232.0,6688.0,0.650862654462788
R.CN.CZC.SR.0004,2010-10-26,6830.0,6900.0,6713.0,6780.0,2071166.0,623260.0,6816.0,0.650862654462788
R.CN.CZC.SR.0004,2010-10-27,6798.0,6798.0,6632.0,6634.0,2415138.0,679756.0,6714.0,0.650862654462788
R.CN.CZC.SR.0004,2010-10-28,6701.0,6904.0,6700.0,6859.0,2523690.0,634878.0,6824.0,0.650862654462788
R.CN.CZC.SR.0004,2010-10-29,6801.0,6840.0,6482.0,6490.0,2031362.0,557862.0,6580.0,0.650862654462788
R.CN.CZC.SR.0004,2010-11-01,6587.0,6699.0,6514.0,6629.0,1954228.0,597236.0,6623.0,0.648066681108238
R.CN.CZC.SR.0004,2010-11-02,6654.0,6697.0,6610.0,6654.0,1653442.0,594778.0,6660.0,0.648066681108238
R.CN.CZC.SR.0004,2010-11-03,6762.0,6945.0,6762.0,6889.0,1667588.0,617774.0,6877.0,0.648066681108238
R.CN.CZC.SR.0004,2010-11-04,6928.0,6932.0,6835.0,6920.0,1839376.0,651206.0,6884.0,0.648066681108238
R.CN.CZC.SR.0004,2010-11-05,7180.0,7222.0,7135.0,7216.0,1313336.0,564156.0,7193.0,0.648066681108238
R.CN.CZC.SR.0004,2010-11-08,7101.0,7284.0,7022.0,7239.0,2246280.0,534428.0,7182.0,0.648066681108238
R.CN.CZC.SR.0004,2010-11-09,7226.0,7521.0,7185.0,7386.0,2285666.0,539044.0,7340.0,0.648066681108238
R.CN.CZC.SR.0004,2010-11-10,7460.0,7499.0,7098.0,7295.0,2487172.0,529434.0,7364.0,0.648066681108238
R.CN.CZC.SR.0004,2010-11-11,7328.0,7339.0,7152.0,7221.0,2449834.0,540544.0,7258.0,0.648066681108238
R.CN.CZC.SR.0004,2010-11-12,6895.0,6895.0,6895.0,6895.0,28892.0,518052.0,6895.0,0.648066681108238
