SYMBOL,CLOCK,OPEN,HIGH,LOW,CLOSE,VOLUME,INTEREST,SETTLE,ADJ
R.CN.CZC.WH.0004,2012-07-25,2580.0,2599.0,2580.0,2595.0,0.0,68.0,2595.0,1.0
R.CN.CZC.WH.0004,2012-07-26,2580.0,2599.0,2580.0,2595.0,0.0,68.0,2595.0,1.0
R.CN.CZC.WH.0004,2012-07-27,2595.0,2602.0,2595.0,2600.0,8.0,74.0,2600.0,1.0
R.CN.CZC.WH.0004,2012-07-30,2630.0,2666.0,2606.0,2612.0,28.0,94.0,2620.0,1.0
R.CN.CZC.WH.0004,2012-07-31,2630.0,2666.0,2606.0,2612.0,0.0,94.0,2620.0,1.0
R.CN.CZC.WH.0004,2012-08-01,2630.0,2666.0,2606.0,2612.0,0.0,94.0,2620.0,1.0
R.CN.CZC.WH.0004,2012-08-02,2630.0,2666.0,2606.0,2612.0,0.0,94.0,2620.0,1.0
R.CN.CZC.WH.0004,2012-08-03,2630.0,2666.0,2606.0,2612.0,0.0,94.0,2620.0,1.0
R.CN.CZC.WH.0004,2012-08-06,2630.0,2666.0,2606.0,2612.0,0.0,94.0,2620.0,1.0
R.CN.CZC.WH.0004,2012-08-07,2630.0,2666.0,2606.0,2612.0,0.0,94.0,2620.0,1.0
R.CN.CZC.WH.0004,2012-08-08,2630.0,2666.0,2606.0,2612.0,0.0,94.0,2620.0,1.0
R.CN.CZC.WH.0004,2012-08-09,2630.0,2666.0,2606.0,2612.0,0.0,94.0,2620.0,1.0
R.CN.CZC.WH.0004,2012-08-10,2630.0,2666.0,2606.0,2612.0,0.0,94.0,2620.0,1.0
R.CN.CZC.WH.0004,2012-08-13,2600.0,2600.0,2595.0,2595.0,24.0,116.0,2600.0,1.0
R.CN.CZC.WH.0004,2012-08-14,2590.0,2590.0,2580.0,2580.0,24.0,104.0,2587.0,1.0
R.CN.CZC.WH.0004,2012-08-15,2590.0,2590.0,2580.0,2580.0,0.0,104.0,2587.0,1.0
R.CN.CZC.WH.0004,2012-08-16,2590.0,2590.0,2580.0,2580.0,0.0,104.0,2587.0,1.0
R.CN.CZC.WH.0004,2012-08-17,2590.0,2590.0,2580.0,2580.0,0.0,104.0,2587.0,1.0
R.CN.CZC.WH.0004,2012-08-20,2620.0,2640.0,2610.0,2617.0,16.0,112.0,2619.0,1.0
R.CN.CZC.WH.0004,2012-08-21,2620.0,2620.0,2616.0,2616.0,30.0,142.0,2619.0,1.0
