SYMBOL,CLOCK,OPEN,HIGH,LOW,CLOSE,VOLUME,INTEREST,SETTLE,ADJ
R.CN.CZC.ZC.0004,2015-05-19,436.0,437.6,436.0,437.0,12.0,84.0,436.8,1.0
R.CN.CZC.ZC.0004,2015-05-20,436.8,437.0,434.8,435.8,16.0,84.0,436.0,1.0
R.CN.CZC.ZC.0004,2015-05-21,438.0,446.8,437.8,443.2,74.0,122.0,441.0,1.0
R.CN.CZC.ZC.0004,2015-05-22,439.2,443.8,439.2,441.4,68.0,154.0,442.0,1.0
R.CN.CZC.ZC.0004,2015-05-25,439.2,441.8,439.2,440.2,12.0,154.0,440.4,1.0
R.CN.CZC.ZC.0004,2015-05-26,441.0,447.8,439.2,441.4,336.0,338.0,442.8,1.0
R.CN.CZC.ZC.0004,2015-05-27,440.0,444.2,438.8,440.8,176.0,456.0,440.4,1.0
R.CN.CZC.ZC.0004,2015-05-28,440.8,441.0,439.6,439.8,86.0,524.0,439.8,1.0
R.CN.CZC.ZC.0004,2015-05-29,441.4,442.6,439.8,442.6,26.0,544.0,441.8,1.0
R.CN.CZC.ZC.0004,2015-06-01,443.0,443.0,440.2,440.8,34.0,552.0,440.6,1.0
R.CN.CZC.ZC.0004,2015-06-02,440.6,442.6,440.2,440.2,24.0,566.0,440.6,1.0
R.CN.CZC.ZC.0004,2015-06-03,442.2,442.2,440.0,440.0,16.0,572.0,441.2,1.0
R.CN.CZC.ZC.0004,2015-06-04,440.8,441.0,438.6,440.0,20.0,588.0,440.0,1.0
R.CN.CZC.ZC.0004,2015-06-05,440.8,440.8,438.0,438.4,28.0,592.0,438.6,1.0
R.CN.CZC.ZC.0004,2015-06-08,438.0,438.4,437.4,438.0,222.0,612.0,438.0,1.0
R.CN.CZC.ZC.0004,2015-06-09,438.0,438.0,438.0,438.0,2.0,614.0,438.0,1.0
R.CN.CZC.ZC.0004,2015-06-10,439.0,439.0,437.0,439.0,32.0,620.0,438.4,1.0
R.CN.CZC.ZC.0004,2015-06-11,440.0,440.0,437.2,437.4,8.0,626.0,438.4,1.0
R.CN.CZC.ZC.0004,2015-06-12,437.0,437.0,428.0,428.0,164.0,694.0,432.4,1.0
R.CN.CZC.ZC.0004,2015-06-15,430.0,430.6,428.8,428.8,54.0,692.0,429.8,1.0
R.CN.CZC.ZC.0004,2015-06-16,425.0,428.0,425.0,426.8,178.0,716.0,426.8,1.0
R.CN.CZC.ZC.0004,2015-06-17,425.0,426.0,421.6,422.6,70.0,746.0,424.2,1.0
R.CN.CZC.ZC.0004,2015-06-18,422.0,422.4,420.4,421.8,30.0,746.0,422.0,1.0
R.CN.CZC.ZC.0004,2015-06-19,418.0,422.6,414.4,420.8,62.0,762.0,420.6,1.0
R.CN.CZC.ZC.0004,2015-06-23,418.0,422.6,414.4,420.8,0.0,762.0,420.6,1.0
R.CN.CZC.ZC.0004,2015-06-24,428.0,428.0,421.2,421.2,42.0,786.0,422.6,1.0
R.CN.CZC.ZC.0004,2015-06-25,423.0,423.0,419.2,420.0,62.0,804.0,420.4,1.0
R.CN.CZC.ZC.0004,2015-06-26,419.6,420.4,419.0,420.0,194.0,718.0,419.8,1.0
R.CN.CZC.ZC.0004,2015-06-29,419.4,420.0,411.8,420.0,50.0,698.0,418.0,1.0
R.CN.CZC.ZC.0004,2015-06-30,416.2,418.2,413.2,416.6,130.0,700.0,415.6,1.0
R.CN.CZC.ZC.0004,2015-07-01,414.0,417.4,414.0,415.0,60.0,726.0,415.2,1.0
R.CN.CZC.ZC.0004,2015-07-02,414.0,415.2,412.2,415.2,66.0,720.0,414.0,1.0
R.CN.CZC.ZC.0004,2015-07-03,415.0,417.2,413.6,414.2,86.0,732.0,415.4,1.0
R.CN.CZC.ZC.0004,2015-07-06,413.2,413.4,404.2,409.2,432.0,702.0,410.8,1.0
R.CN.CZC.ZC.0004,2015-07-07,409.2,409.2,400.0,406.8,316.0,606.0,407.0,1.0
R.CN.CZC.ZC.0004,2015-07-08,402.6,402.6,390.6,390.6,174.0,524.0,395.4,1.0
R.CN.CZC.ZC.0004,2015-07-09,370.2,401.0,370.2,395.0,136.0,488.0,386.8,1.0
R.CN.CZC.ZC.0004,2015-07-10,396.4,397.0,392.6,393.4,76.0,506.0,395.0,1.0
R.CN.CZC.ZC.0004,2015-07-13,395.0,396.8,381.8,390.0,62.0,514.0,393.0,1.0
R.CN.CZC.ZC.0004,2015-07-14,392.6,392.6,390.8,391.2,18.0,520.0,391.4,1.0
R.CN.CZC.ZC.0004,2015-07-15,393.6,393.6,389.8,390.2,32.0,530.0,391.6,1.0
R.CN.CZC.ZC.0004,2015-07-16,390.2,392.2,390.0,390.8,40.0,538.0,391.0,1.0
R.CN.CZC.ZC.0004,2015-07-17,390.0,392.8,390.0,392.4,50.0,570.0,392.4,1.0
R.CN.CZC.ZC.0004,2015-07-20,389.2,392.6,389.2,391.2,142.0,576.0,391.0,1.0
R.CN.CZC.ZC.0004,2015-07-21,392.8,392.8,389.0,391.0,90.0,608.0,391.4,1.0
R.CN.CZC.ZC.0004,2015-07-22,390.0,390.6,382.2,382.6,152.0,656.0,385.0,1.0
R.CN.CZC.ZC.0004,2015-07-23,379.2,384.6,379.0,380.6,84.0,694.0,382.0,1.0
R.CN.CZC.ZC.0004,2015-07-24,382.0,382.4,380.0,381.0,252.0,690.0,381.4,1.0
R.CN.CZC.ZC.0004,2015-07-27,382.2,383.0,379.8,381.4,184.0,716.0,382.0,1.0
R.CN.CZC.ZC.0004,2015-07-28,381.2,382.4,375.8,377.8,158.0,722.0,380.2,1.0
R.CN.CZC.ZC.0004,2015-07-29,379.8,380.8,376.0,377.4,326.0,912.0,377.6,1.0
R.CN.CZC.ZC.0004,2015-07-30,377.6,379.6,375.2,375.2,256.0,1068.0,377.8,1.0
R.CN.CZC.ZC.0004,2015-07-31,376.0,378.2,375.4,377.0,70.0,1084.0,376.8,1.0
R.CN.CZC.ZC.0004,2015-08-03,378.4,378.6,373.8,376.2,140.0,1114.0,376.0,1.0
R.CN.CZC.ZC.0004,2015-08-04,375.4,377.6,375.2,376.2,80.0,1130.0,376.0,1.0
R.CN.CZC.ZC.0004,2015-08-05,376.6,377.2,376.2,376.6,414.0,1076.0,376.6,1.0
