SYMBOL,CLOCK,OPEN,HIGH,LOW,CLOSE,VOLUME,INTEREST,SETTLE,ADJ
R.CN.DCE.a.0004,2010-01-04,4080.0,4090.0,4049.0,4057.0,321838.0,284296.0,4069.0,1.06199601921538
R.CN.DCE.a.0004,2010-01-05,4067.0,4082.0,4060.0,4066.0,253640.0,283384.0,4070.0,1.06199601921538
R.CN.DCE.a.0004,2010-01-06,4066.0,4194.0,4057.0,4154.0,860812.0,352830.0,4140.0,1.06199601921538
R.CN.DCE.a.0004,2010-01-07,4165.0,4188.0,3975.0,4044.0,705704.0,297236.0,4090.0,1.06199601921538
R.CN.DCE.a.0004,2010-01-08,4040.0,4050.0,3947.0,3981.0,526594.0,270074.0,4000.0,1.06199601921538
R.CN.DCE.a.0004,2010-01-11,4012.0,4050.0,4012.0,4031.0,316116.0,270738.0,4035.0,1.06199601921538
R.CN.DCE.a.0004,2010-01-12,4000.0,4029.0,3981.0,4004.0,447848.0,271068.0,4004.0,1.06199601921538
R.CN.DCE.a.0004,2010-01-13,3905.0,3938.0,3896.0,3909.0,300960.0,260966.0,3917.0,1.06199601921538
R.CN.DCE.a.0004,2010-01-14,3943.0,3943.0,3918.0,3919.0,190364.0,259500.0,3931.0,1.06199601921538
R.CN.DCE.a.0004,2010-01-15,3905.0,3949.0,3902.0,3915.0,313576.0,265124.0,3928.0,1.06199601921538
R.CN.DCE.a.0004,2010-01-18,3908.0,3925.0,3890.0,3909.0,249986.0,269332.0,3908.0,1.06199601921538
R.CN.DCE.a.0004,2010-01-19,3935.0,3935.0,3910.0,3919.0,167968.0,274202.0,3921.0,1.06199601921538
R.CN.DCE.a.0004,2010-01-20,3910.0,3929.0,3858.0,3861.0,335400.0,290088.0,3881.0,1.06199601921538
R.CN.DCE.a.0004,2010-01-21,3860.0,3903.0,3852.0,3901.0,271388.0,280512.0,3878.0,1.06199601921538
R.CN.DCE.a.0004,2010-01-22,3887.0,3893.0,3837.0,3889.0,280556.0,270304.0,3872.0,1.06199601921538
R.CN.DCE.a.0004,2010-01-25,3878.0,3926.0,3875.0,3911.0,337600.0,277594.0,3907.0,1.06199601921538
R.CN.DCE.a.0004,2010-01-26,3910.0,3930.0,3883.0,3885.0,470020.0,278582.0,3904.0,1.06199601921538
R.CN.DCE.a.0004,2010-01-27,3905.0,3938.0,3900.0,3922.0,618382.0,296746.0,3920.0,1.06199601921538
R.CN.DCE.a.0004,2010-01-28,3900.0,3900.0,3842.0,3863.0,401078.0,277646.0,3865.0,1.06199601921538
R.CN.DCE.a.0004,2010-01-29,3870.0,3884.0,3850.0,3853.0,260046.0,264630.0,3868.0,1.06199601921538
R.CN.DCE.a.0004,2010-02-01,3839.0,3849.0,3760.0,3768.0,404240.0,282970.0,3795.0,1.06199601921538
R.CN.DCE.a.0004,2010-02-02,3785.0,3798.0,3728.0,3735.0,374218.0,279460.0,3755.0,1.06199601921538
R.CN.DCE.a.0004,2010-02-03,3771.0,3785.0,3744.0,3782.0,291838.0,271958.0,3767.0,1.06199601921538
R.CN.DCE.a.0004,2010-02-04,3740.0,3760.0,3720.0,3755.0,250890.0,274098.0,3742.0,1.06199601921538
R.CN.DCE.a.0004,2010-02-05,3740.0,3793.0,3728.0,3785.0,539114.0,280652.0,3777.0,1.06199601921538
