SYMBOL,CLOCK,OPEN,HIGH,LOW,CLOSE,VOLUME,INTEREST,SETTLE,ADJ
R.CN.DCE.c.0004,2010-01-04,1878.0,1900.0,1875.0,1892.0,176352.0,217210.0,1890.0,0.548168738845138
R.CN.DCE.c.0004,2010-01-05,1893.0,1904.0,1889.0,1891.0,103552.0,226796.0,1895.0,0.548168738845138
R.CN.DCE.c.0004,2010-01-06,1895.0,1918.0,1890.0,1908.0,160396.0,241304.0,1905.0,0.548168738845138
R.CN.DCE.c.0004,2010-01-07,1910.0,1921.0,1881.0,1898.0,162554.0,228008.0,1903.0,0.548168738845138
R.CN.DCE.c.0004,2010-01-08,1898.0,1927.0,1895.0,1925.0,605112.0,298488.0,1915.0,0.548168738845138
R.CN.DCE.c.0004,2010-01-11,1932.0,1936.0,1918.0,1921.0,242470.0,305364.0,1925.0,0.548168738845138
R.CN.DCE.c.0004,2010-01-12,1915.0,1922.0,1905.0,1908.0,195492.0,288226.0,1913.0,0.548168738845138
R.CN.DCE.c.0004,2010-01-13,1885.0,1896.0,1879.0,1887.0,217122.0,230980.0,1889.0,0.548168738845138
R.CN.DCE.c.0004,2010-01-14,1898.0,1903.0,1892.0,1896.0,108336.0,225416.0,1897.0,0.548168738845138
R.CN.DCE.c.0004,2010-01-15,1894.0,1897.0,1890.0,1891.0,78334.0,223028.0,1893.0,0.548168738845138
R.CN.DCE.c.0004,2010-01-18,1888.0,1897.0,1888.0,1896.0,65240.0,227506.0,1894.0,0.548168738845138
R.CN.DCE.c.0004,2010-01-19,1898.0,1903.0,1894.0,1896.0,56094.0,231082.0,1898.0,0.548168738845138
R.CN.DCE.c.0004,2010-01-20,1896.0,1898.0,1888.0,1890.0,52456.0,224912.0,1892.0,0.548168738845138
R.CN.DCE.c.0004,2010-01-21,1891.0,1896.0,1888.0,1895.0,77808.0,234780.0,1892.0,0.548168738845138
R.CN.DCE.c.0004,2010-01-22,1893.0,1894.0,1868.0,1877.0,170874.0,201914.0,1879.0,0.548168738845138
R.CN.DCE.c.0004,2010-01-25,1880.0,1880.0,1866.0,1867.0,89270.0,216812.0,1871.0,0.548168738845138
R.CN.DCE.c.0004,2010-01-26,1867.0,1869.0,1859.0,1859.0,73696.0,209614.0,1863.0,0.548168738845138
R.CN.DCE.c.0004,2010-01-27,1860.0,1865.0,1855.0,1861.0,76426.0,210744.0,1860.0,0.548168738845138
R.CN.DCE.c.0004,2010-01-28,1852.0,1857.0,1843.0,1844.0,95098.0,215290.0,1849.0,0.548168738845138
R.CN.DCE.c.0004,2010-01-29,1847.0,1855.0,1843.0,1854.0,76920.0,200514.0,1850.0,0.548168738845138
R.CN.DCE.c.0004,2010-02-01,1851.0,1854.0,1845.0,1847.0,72182.0,177486.0,1847.0,0.548168738845138
R.CN.DCE.c.0004,2010-02-02,1850.0,1853.0,1841.0,1846.0,70578.0,171738.0,1847.0,0.548168738845138
R.CN.DCE.c.0004,2010-02-03,1920.0,1920.0,1851.0,1862.0,111026.0,195460.0,1859.0,0.548168738845138
R.CN.DCE.c.0004,2010-02-04,1853.0,1853.0,1846.0,1848.0,62294.0,178300.0,1849.0,0.548168738845138
R.CN.DCE.c.0004,2010-02-05,1846.0,1851.0,1843.0,1850.0,38272.0,174544.0,1847.0,0.548168738845138
R.CN.DCE.c.0004,2010-02-08,1850.0,1854.0,1849.0,1850.0,30136.0,167882.0,1850.0,0.548168738845138
R.CN.DCE.c.0004,2010-02-09,1851.0,1852.0,1845.0,1849.0,38996.0,164726.0,1847.0,0.548168738845138
R.CN.DCE.c.0004,2010-02-10,1850.0,1860.0,1846.0,1858.0,54188.0,158292.0,1852.0,0.548168738845138
R.CN.DCE.c.0004,2010-02-11,1860.0,1861.0,1854.0,1855.0,28806.0,160042.0,1857.0,0.548168738845138
R.CN.DCE.c.0004,2010-02-12,1859.0,1859.0,1855.0,1858.0,18804.0,153590.0,1857.0,0.548168738845138
R.CN.DCE.c.0004,2010-02-22,1866.0,1868.0,1860.0,1865.0,32018.0,156628.0,1864.0,0.548168738845138
R.CN.DCE.c.0004,2010-02-23,1865.0,1878.0,1864.0,1877.0,82660.0,178464.0,1872.0,0.548168738845138
R.CN.DCE.c.0004,2010-02-24,1872.0,1877.0,1872.0,1874.0,35126.0,181860.0,1873.0,0.548168738845138
R.CN.DCE.c.0004,2010-02-25,1876.0,1878.0,1870.0,1871.0,35520.0,177818.0,1873.0,0.548168738845138
R.CN.DCE.c.0004,2010-02-26,1873.0,1875.0,1866.0,1866.0,48962.0,165506.0,1870.0,0.548168738845138
R.CN.DCE.c.0004,2010-03-01,1871.0,1883.0,1870.0,1878.0,60686.0,173926.0,1877.0,0.548168738845138
R.CN.DCE.c.0004,2010-03-02,1875.0,1878.0,1870.0,1872.0,38314.0,169072.0,1872.0,0.548168738845138
R.CN.DCE.c.0004,2010-03-03,1873.0,1876.0,1870.0,1871.0,26438.0,168620.0,1872.0,0.548168738845138
R.CN.DCE.c.0004,2010-03-04,1872.0,1873.0,1863.0,1863.0,46220.0,157052.0,1866.0,0.548168738845138
R.CN.DCE.c.0004,2010-03-05,1860.0,1863.0,1856.0,1862.0,33828.0,157642.0,1858.0,0.548168738845138
R.CN.DCE.c.0004,2010-03-08,1862.0,1870.0,1861.0,1869.0,28326.0,152058.0,1865.0,0.548168738845138
R.CN.DCE.c.0004,2010-03-09,1868.0,1873.0,1866.0,1870.0,28340.0,151334.0,1869.0,0.548168738845138
R.CN.DCE.c.0004,2010-03-10,1869.0,1874.0,1866.0,1872.0,33464.0,159046.0,1871.0,0.548168738845138
R.CN.DCE.c.0004,2010-03-11,1872.0,1875.0,1869.0,1873.0,35710.0,163326.0,1872.0,0.548168738845138
R.CN.DCE.c.0004,2010-03-12,1872.0,1879.0,1871.0,1879.0,45376.0,171280.0,1876.0,0.548168738845138
R.CN.DCE.c.0004,2010-03-15,1880.0,1895.0,1878.0,1893.0,91162.0,188652.0,1890.0,0.548168738845138
R.CN.DCE.c.0004,2010-03-16,1894.0,1899.0,1889.0,1897.0,55364.0,194358.0,1893.0,0.548168738845138
R.CN.DCE.c.0004,2010-03-17,1902.0,1903.0,1895.0,1899.0,44064.0,199488.0,1898.0,0.548168738845138
R.CN.DCE.c.0004,2010-03-18,1900.0,1901.0,1891.0,1894.0,34180.0,193000.0,1894.0,0.548168738845138
R.CN.DCE.c.0004,2010-03-19,1895.0,1909.0,1894.0,1907.0,57882.0,203088.0,1903.0,0.548168738845138
R.CN.DCE.c.0004,2010-03-22,1908.0,1916.0,1905.0,1912.0,49638.0,208344.0,1911.0,0.548168738845138
R.CN.DCE.c.0004,2010-03-23,1914.0,1918.0,1908.0,1909.0,52330.0,203950.0,1911.0,0.548168738845138
R.CN.DCE.c.0004,2010-03-24,1908.0,1910.0,1903.0,1904.0,38300.0,199832.0,1906.0,0.548168738845138
R.CN.DCE.c.0004,2010-03-25,1907.0,1916.0,1905.0,1912.0,37068.0,202224.0,1910.0,0.548168738845138
R.CN.DCE.c.0004,2010-03-26,1910.0,1919.0,1907.0,1917.0,56784.0,207424.0,1915.0,0.548168738845138
R.CN.DCE.c.0004,2010-03-29,1919.0,1941.0,1919.0,1939.0,104476.0,218556.0,1930.0,0.548168738845138
R.CN.DCE.c.0004,2010-03-30,1939.0,1941.0,1931.0,1931.0,102398.0,224348.0,1935.0,0.548168738845138
