SYMBOL,CLOCK,OPEN,HIGH,LOW,CLOSE,VOLUME,INTEREST,SETTLE,ADJ
R.CN.DCE.i.0004,2013-10-21,976.0,977.0,960.0,969.0,95432.0,68130.0,967.0,1.0
R.CN.DCE.i.0004,2013-10-22,963.0,966.0,948.0,948.0,91296.0,76004.0,956.0,1.0
R.CN.DCE.i.0004,2013-10-23,949.0,953.0,936.0,939.0,116490.0,81162.0,944.0,1.0
R.CN.DCE.i.0004,2013-10-24,938.0,939.0,916.0,926.0,169028.0,87872.0,928.0,1.0
R.CN.DCE.i.0004,2013-10-25,928.0,936.0,917.0,918.0,104060.0,86472.0,927.0,1.0
R.CN.DCE.i.0004,2013-10-28,920.0,928.0,917.0,923.0,83790.0,93480.0,922.0,1.0
R.CN.DCE.i.0004,2013-10-29,924.0,925.0,913.0,921.0,105876.0,99058.0,917.0,1.0
R.CN.DCE.i.0004,2013-10-30,919.0,930.0,916.0,924.0,118272.0,91262.0,922.0,1.0
R.CN.DCE.i.0004,2013-10-31,925.0,927.0,920.0,922.0,74672.0,84820.0,923.0,1.0
R.CN.DCE.i.0004,2013-11-01,921.0,954.0,921.0,942.0,321242.0,107582.0,942.0,1.0
R.CN.DCE.i.0004,2013-11-04,943.0,957.0,942.0,950.0,175080.0,122298.0,949.0,1.0
R.CN.DCE.i.0004,2013-11-05,948.0,954.0,943.0,946.0,108384.0,121942.0,947.0,1.0
R.CN.DCE.i.0004,2013-11-06,949.0,951.0,942.0,944.0,69362.0,123650.0,945.0,1.0
R.CN.DCE.i.0004,2013-11-07,945.0,947.0,939.0,945.0,91676.0,124958.0,944.0,1.0
R.CN.DCE.i.0004,2013-11-08,947.0,948.0,936.0,939.0,66340.0,120532.0,940.0,1.0
R.CN.DCE.i.0004,2013-11-11,940.0,944.0,934.0,942.0,57564.0,112342.0,938.0,1.0
R.CN.DCE.i.0004,2013-11-12,940.0,944.0,936.0,943.0,45594.0,107938.0,939.0,1.0
R.CN.DCE.i.0004,2013-11-13,941.0,952.0,940.0,943.0,96484.0,110812.0,946.0,1.0
R.CN.DCE.i.0004,2013-11-14,940.0,944.0,937.0,937.0,55752.0,103446.0,940.0,1.0
R.CN.DCE.i.0004,2013-11-15,939.0,942.0,930.0,931.0,76014.0,102752.0,935.0,1.0
R.CN.DCE.i.0004,2013-11-18,931.0,935.0,925.0,932.0,52704.0,99378.0,930.0,1.0
R.CN.DCE.i.0004,2013-11-19,931.0,943.0,930.0,942.0,60164.0,106904.0,936.0,1.0
R.CN.DCE.i.0004,2013-11-20,943.0,946.0,940.0,942.0,43452.0,104228.0,942.0,1.0
R.CN.DCE.i.0004,2013-11-21,942.0,943.0,932.0,932.0,41322.0,105090.0,935.0,1.0
R.CN.DCE.i.0004,2013-11-22,934.0,935.0,929.0,931.0,52592.0,106092.0,932.0,1.0
R.CN.DCE.i.0004,2013-11-25,933.0,936.0,928.0,933.0,38196.0,104188.0,932.0,1.0
R.CN.DCE.i.0004,2013-11-26,934.0,943.0,934.0,941.0,72650.0,108162.0,939.0,1.0
R.CN.DCE.i.0004,2013-11-27,940.0,942.0,933.0,936.0,30614.0,106536.0,936.0,1.0
R.CN.DCE.i.0004,2013-11-28,933.0,940.0,933.0,939.0,27220.0,105728.0,937.0,1.0
R.CN.DCE.i.0004,2013-11-29,939.0,945.0,939.0,939.0,33364.0,106418.0,941.0,1.0
R.CN.DCE.i.0004,2013-12-02,940.0,941.0,934.0,936.0,41520.0,108744.0,936.0,1.0
R.CN.DCE.i.0004,2013-12-03,938.0,941.0,936.0,939.0,35426.0,105336.0,938.0,1.0
R.CN.DCE.i.0004,2013-12-04,942.0,955.0,941.0,952.0,94420.0,114382.0,949.0,1.0
R.CN.DCE.i.0004,2013-12-05,953.0,956.0,944.0,945.0,52990.0,114538.0,948.0,1.0
