SYMBOL,CLOCK,OPEN,HIGH,LOW,CLOSE,VOLUME,INTEREST,SETTLE,ADJ
R.CN.DCE.j.0004,2011-04-18,2233.0,2388.0,2233.0,2381.0,132702.0,19488.0,2344.0,1.0
R.CN.DCE.j.0004,2011-04-19,2375.0,2384.0,2320.0,2336.0,204462.0,23270.0,2344.0,1.0
R.CN.DCE.j.0004,2011-04-20,2350.0,2395.0,2328.0,2343.0,175506.0,23484.0,2352.0,1.0
R.CN.DCE.j.0004,2011-04-21,2353.0,2363.0,2323.0,2335.0,97576.0,22246.0,2346.0,1.0
R.CN.DCE.j.0004,2011-04-22,2336.0,2351.0,2297.0,2330.0,128218.0,18880.0,2319.0,1.0
R.CN.DCE.j.0004,2011-04-25,2340.0,2359.0,2317.0,2329.0,64954.0,18038.0,2334.0,1.0
R.CN.DCE.j.0004,2011-04-26,2315.0,2329.0,2303.0,2322.0,44336.0,17852.0,2316.0,1.0
R.CN.DCE.j.0004,2011-04-27,2332.0,2339.0,2315.0,2320.0,32038.0,16356.0,2327.0,1.0
R.CN.DCE.j.0004,2011-04-28,2330.0,2347.0,2326.0,2337.0,26286.0,14190.0,2335.0,1.0
R.CN.DCE.j.0004,2011-04-29,2337.0,2343.0,2323.0,2329.0,17654.0,11762.0,2332.0,1.0
R.CN.DCE.j.0004,2011-05-03,2330.0,2354.0,2326.0,2344.0,26594.0,12876.0,2342.0,1.0
R.CN.DCE.j.0004,2011-05-04,2341.0,2346.0,2320.0,2329.0,14518.0,10782.0,2331.0,1.0
R.CN.DCE.j.0004,2011-05-05,2309.0,2319.0,2293.0,2308.0,13896.0,10736.0,2308.0,1.0
R.CN.DCE.j.0004,2011-05-06,2255.0,2289.0,2255.0,2271.0,14736.0,10206.0,2274.0,1.0
R.CN.DCE.j.0004,2011-05-09,2280.0,2284.0,2273.0,2280.0,7240.0,9292.0,2278.0,1.0
R.CN.DCE.j.0004,2011-05-10,2285.0,2288.0,2275.0,2287.0,7890.0,8290.0,2281.0,1.0
R.CN.DCE.j.0004,2011-05-11,2293.0,2338.0,2286.0,2314.0,30078.0,9430.0,2321.0,1.0
R.CN.DCE.j.0004,2011-05-12,2290.0,2352.0,2288.0,2344.0,61826.0,17712.0,2333.0,1.0
R.CN.DCE.j.0004,2011-05-13,2360.0,2444.0,2353.0,2419.0,134808.0,26414.0,2411.0,1.0
R.CN.DCE.j.0004,2011-05-16,2415.0,2423.0,2396.0,2407.0,57056.0,25800.0,2410.0,1.0
R.CN.DCE.j.0004,2011-05-17,2414.0,2417.0,2371.0,2391.0,57660.0,21764.0,2392.0,1.0
R.CN.DCE.j.0004,2011-05-18,2400.0,2423.0,2370.0,2372.0,70386.0,21830.0,2396.0,1.0
R.CN.DCE.j.0004,2011-05-19,2394.0,2394.0,2363.0,2367.0,47602.0,18316.0,2374.0,1.0
R.CN.DCE.j.0004,2011-05-20,2364.0,2392.0,2362.0,2376.0,37048.0,18196.0,2377.0,1.0
R.CN.DCE.j.0004,2011-05-23,2388.0,2389.0,2350.0,2357.0,18982.0,17736.0,2363.0,1.0
R.CN.DCE.j.0004,2011-05-24,2356.0,2380.0,2345.0,2380.0,30504.0,20964.0,2371.0,1.0
R.CN.DCE.j.0004,2011-05-25,2382.0,2385.0,2366.0,2375.0,18206.0,18796.0,2373.0,1.0
R.CN.DCE.j.0004,2011-05-26,2385.0,2398.0,2377.0,2378.0,19554.0,19388.0,2387.0,1.0
R.CN.DCE.j.0004,2011-05-27,2379.0,2380.0,2351.0,2371.0,21708.0,18558.0,2362.0,1.0
R.CN.DCE.j.0004,2011-05-30,2370.0,2382.0,2360.0,2365.0,16418.0,17792.0,2371.0,1.0
R.CN.DCE.j.0004,2011-05-31,2370.0,2378.0,2361.0,2364.0,15208.0,15882.0,2371.0,1.0
R.CN.DCE.j.0004,2011-06-01,2370.0,2375.0,2357.0,2359.0,13608.0,15718.0,2364.0,1.0
R.CN.DCE.j.0004,2011-06-02,2351.0,2363.0,2337.0,2339.0,18632.0,15418.0,2348.0,1.0
R.CN.DCE.j.0004,2011-06-03,2340.0,2344.0,2320.0,2326.0,16864.0,15508.0,2330.0,1.0
R.CN.DCE.j.0004,2011-06-07,2321.0,2341.0,2312.0,2331.0,15600.0,14872.0,2331.0,1.0
R.CN.DCE.j.0004,2011-06-08,2338.0,2338.0,2320.0,2326.0,7924.0,14088.0,2327.0,1.0
R.CN.DCE.j.0004,2011-06-09,2330.0,2333.0,2318.0,2318.0,8022.0,14184.0,2326.0,1.0
R.CN.DCE.j.0004,2011-06-10,2324.0,2324.0,2306.0,2311.0,12900.0,15946.0,2314.0,1.0
R.CN.DCE.j.0004,2011-06-13,2306.0,2321.0,2295.0,2320.0,9360.0,17520.0,2311.0,1.0
R.CN.DCE.j.0004,2011-06-14,2313.0,2353.0,2313.0,2334.0,42350.0,15432.0,2334.0,1.0
R.CN.DCE.j.0004,2011-06-15,2339.0,2342.0,2321.0,2323.0,9736.0,14966.0,2330.0,1.0
R.CN.DCE.j.0004,2011-06-16,2315.0,2321.0,2299.0,2307.0,9420.0,14454.0,2310.0,1.0
R.CN.DCE.j.0004,2011-06-17,2310.0,2320.0,2304.0,2307.0,6440.0,14474.0,2310.0,1.0
R.CN.DCE.j.0004,2011-06-20,2306.0,2310.0,2280.0,2281.0,8336.0,15056.0,2293.0,1.0
R.CN.DCE.j.0004,2011-06-21,2288.0,2300.0,2270.0,2295.0,10346.0,14996.0,2282.0,1.0
R.CN.DCE.j.0004,2011-06-22,2290.0,2296.0,2283.0,2288.0,6136.0,14434.0,2289.0,1.0
R.CN.DCE.j.0004,2011-06-23,2287.0,2322.0,2280.0,2318.0,23256.0,15954.0,2309.0,1.0
R.CN.DCE.j.0004,2011-06-24,2318.0,2323.0,2300.0,2302.0,13368.0,14442.0,2308.0,1.0
R.CN.DCE.j.0004,2011-06-27,2296.0,2318.0,2291.0,2308.0,12430.0,14432.0,2306.0,1.0
R.CN.DCE.j.0004,2011-06-28,2316.0,2338.0,2302.0,2303.0,18786.0,15274.0,2319.0,1.0
R.CN.DCE.j.0004,2011-06-29,2310.0,2313.0,2288.0,2296.0,10906.0,15078.0,2298.0,1.0
R.CN.DCE.j.0004,2011-06-30,2299.0,2312.0,2296.0,2309.0,11084.0,14546.0,2306.0,1.0
R.CN.DCE.j.0004,2011-07-01,2308.0,2317.0,2295.0,2296.0,7398.0,14530.0,2306.0,1.0
R.CN.DCE.j.0004,2011-07-04,2299.0,2325.0,2293.0,2316.0,15622.0,15352.0,2312.0,1.0
R.CN.DCE.j.0004,2011-07-05,2317.0,2322.0,2306.0,2315.0,9450.0,15922.0,2313.0,1.0
R.CN.DCE.j.0004,2011-07-06,2321.0,2345.0,2316.0,2342.0,22492.0,18846.0,2334.0,1.0
R.CN.DCE.j.0004,2011-07-07,2340.0,2348.0,2307.0,2311.0,19208.0,15390.0,2325.0,1.0
R.CN.DCE.j.0004,2011-07-08,2316.0,2322.0,2302.0,2307.0,12320.0,14696.0,2312.0,1.0
R.CN.DCE.j.0004,2011-07-11,2303.0,2316.0,2302.0,2304.0,6404.0,13954.0,2308.0,1.0
R.CN.DCE.j.0004,2011-07-12,2306.0,2315.0,2290.0,2297.0,7230.0,13448.0,2299.0,1.0
R.CN.DCE.j.0004,2011-07-13,2304.0,2313.0,2300.0,2310.0,5688.0,12648.0,2308.0,1.0
R.CN.DCE.j.0004,2011-07-14,2316.0,2316.0,2297.0,2305.0,6374.0,12444.0,2305.0,1.0
R.CN.DCE.j.0004,2011-07-15,2303.0,2309.0,2298.0,2303.0,3296.0,11752.0,2304.0,1.0
R.CN.DCE.j.0004,2011-07-18,2307.0,2314.0,2303.0,2305.0,5970.0,11822.0,2308.0,1.0
R.CN.DCE.j.0004,2011-07-19,2306.0,2310.0,2302.0,2305.0,2810.0,11162.0,2304.0,1.0
R.CN.DCE.j.0004,2011-07-20,2308.0,2314.0,2296.0,2298.0,6294.0,11772.0,2304.0,1.0
R.CN.DCE.j.0004,2011-07-21,2300.0,2300.0,2283.0,2286.0,6128.0,12006.0,2289.0,1.0
R.CN.DCE.j.0004,2011-07-22,2279.0,2293.0,2276.0,2286.0,3014.0,11562.0,2287.0,1.0
R.CN.DCE.j.0004,2011-07-25,2285.0,2298.0,2282.0,2286.0,4536.0,10992.0,2288.0,1.0
R.CN.DCE.j.0004,2011-07-26,2290.0,2293.0,2280.0,2289.0,2430.0,10314.0,2286.0,1.0
R.CN.DCE.j.0004,2011-07-27,2293.0,2293.0,2283.0,2284.0,2342.0,10060.0,2286.0,1.0
R.CN.DCE.j.0004,2011-07-28,2283.0,2294.0,2280.0,2285.0,4140.0,9164.0,2287.0,1.0
R.CN.DCE.j.0004,2011-07-29,2288.0,2291.0,2284.0,2285.0,2262.0,8752.0,2286.0,1.0
R.CN.DCE.j.0004,2011-08-01,2287.0,2288.0,2282.0,2285.0,1748.0,8350.0,2285.0,1.0
R.CN.DCE.j.0004,2011-08-02,2285.0,2287.0,2282.0,2285.0,1478.0,7802.0,2284.0,1.0
R.CN.DCE.j.0004,2011-08-03,2286.0,2288.0,2283.0,2285.0,1316.0,7226.0,2284.0,1.0
R.CN.DCE.j.0004,2011-08-04,2285.0,2305.0,2282.0,2303.0,2604.0,6926.0,2291.0,1.0
R.CN.DCE.j.0004,2011-08-05,2295.0,2312.0,2285.0,2297.0,8058.0,6166.0,2295.0,1.0
R.CN.DCE.j.0004,2011-08-08,2290.0,2290.0,2266.0,2270.0,3502.0,4490.0,2275.0,1.0
R.CN.DCE.j.0004,2011-08-09,2260.0,2260.0,2180.0,2229.0,2930.0,3224.0,2216.0,1.0
R.CN.DCE.j.0004,2011-08-10,2240.0,2250.0,2231.0,2234.0,742.0,3220.0,2239.0,1.0
R.CN.DCE.j.0004,2011-08-11,2214.0,2236.0,2214.0,2229.0,668.0,3078.0,2226.0,1.0
R.CN.DCE.j.0004,2011-08-12,2244.0,2244.0,2220.0,2225.0,610.0,2948.0,2231.0,1.0
R.CN.DCE.j.0004,2011-08-15,2226.0,2229.0,2193.0,2197.0,1410.0,3010.0,2208.0,1.0
R.CN.DCE.j.0004,2011-08-16,2197.0,2197.0,2162.0,2167.0,1472.0,3030.0,2178.0,1.0
R.CN.DCE.j.0004,2011-08-17,2159.0,2175.0,2149.0,2156.0,1804.0,2890.0,2162.0,1.0
R.CN.DCE.j.0004,2011-08-18,2156.0,2162.0,2131.0,2139.0,1410.0,2774.0,2146.0,1.0
R.CN.DCE.j.0004,2011-08-19,2131.0,2131.0,2106.0,2108.0,912.0,2534.0,2115.0,1.0
R.CN.DCE.j.0004,2011-08-22,2252.0,2279.0,2235.0,2242.0,6394.0,4158.0,2257.0,0.935226264418811
R.CN.DCE.j.0004,2011-08-23,2245.0,2250.0,2142.0,2155.0,24152.0,11378.0,2189.0,0.935226264418811
R.CN.DCE.j.0004,2011-08-24,2165.0,2191.0,2149.0,2187.0,30332.0,10750.0,2170.0,0.935226264418811
R.CN.DCE.j.0004,2011-08-25,2187.0,2217.0,2178.0,2215.0,21664.0,9314.0,2200.0,0.935226264418811
R.CN.DCE.j.0004,2011-08-26,2210.0,2226.0,2206.0,2213.0,12904.0,8954.0,2215.0,0.935226264418811
R.CN.DCE.j.0004,2011-08-29,2219.0,2220.0,2199.0,2209.0,7416.0,8862.0,2209.0,0.935226264418811
R.CN.DCE.j.0004,2011-08-30,2213.0,2221.0,2206.0,2213.0,6076.0,8814.0,2214.0,0.935226264418811
R.CN.DCE.j.0004,2011-08-31,2220.0,2252.0,2217.0,2242.0,12854.0,7968.0,2239.0,0.935226264418811
R.CN.DCE.j.0004,2011-09-01,2245.0,2249.0,2235.0,2238.0,4984.0,7498.0,2239.0,0.935226264418811
R.CN.DCE.j.0004,2011-09-02,2238.0,2239.0,2205.0,2215.0,6756.0,7796.0,2218.0,0.935226264418811
R.CN.DCE.j.0004,2011-09-05,2210.0,2233.0,2206.0,2218.0,5772.0,7462.0,2221.0,0.935226264418811
R.CN.DCE.j.0004,2011-09-06,2212.0,2248.0,2212.0,2243.0,11200.0,7220.0,2235.0,0.935226264418811
R.CN.DCE.j.0004,2011-09-07,2243.0,2255.0,2238.0,2249.0,6096.0,6980.0,2245.0,0.935226264418811
R.CN.DCE.j.0004,2011-09-08,2250.0,2256.0,2237.0,2238.0,3884.0,6780.0,2242.0,0.935226264418811
R.CN.DCE.j.0004,2011-09-09,2238.0,2244.0,2233.0,2243.0,2756.0,6382.0,2238.0,0.935226264418811
R.CN.DCE.j.0004,2011-09-13,2250.0,2251.0,2230.0,2232.0,2136.0,6538.0,2234.0,0.935226264418811
R.CN.DCE.j.0004,2011-09-14,2236.0,2237.0,2213.0,2222.0,3678.0,6292.0,2221.0,0.935226264418811
R.CN.DCE.j.0004,2011-09-15,2225.0,2238.0,2224.0,2230.0,3602.0,6656.0,2231.0,0.935226264418811
R.CN.DCE.j.0004,2011-09-16,2237.0,2245.0,2226.0,2243.0,5176.0,7224.0,2236.0,0.935226264418811
R.CN.DCE.j.0004,2011-09-19,2240.0,2245.0,2217.0,2220.0,6476.0,7608.0,2227.0,0.935226264418811
R.CN.DCE.j.0004,2011-09-20,2211.0,2219.0,2195.0,2213.0,7818.0,8112.0,2206.0,0.935226264418811
R.CN.DCE.j.0004,2011-09-21,2211.0,2245.0,2211.0,2233.0,17342.0,10056.0,2230.0,0.935226264418811
R.CN.DCE.j.0004,2011-09-22,2221.0,2221.0,2165.0,2190.0,12174.0,9596.0,2198.0,0.935226264418811
R.CN.DCE.j.0004,2011-09-23,2150.0,2187.0,2130.0,2141.0,17094.0,8700.0,2158.0,0.935226264418811
R.CN.DCE.j.0004,2011-09-26,2145.0,2150.0,2072.0,2073.0,10074.0,8004.0,2110.0,0.935226264418811
R.CN.DCE.j.0004,2011-09-27,2088.0,2116.0,2088.0,2106.0,9742.0,7792.0,2106.0,0.935226264418811
R.CN.DCE.j.0004,2011-09-28,2110.0,2113.0,2074.0,2087.0,6284.0,7898.0,2092.0,0.935226264418811
R.CN.DCE.j.0004,2011-09-29,2050.0,2050.0,2002.0,2022.0,8830.0,6392.0,2029.0,0.935226264418811
R.CN.DCE.j.0004,2011-09-30,2030.0,2041.0,2026.0,2038.0,6232.0,5850.0,2033.0,0.935226264418811
R.CN.DCE.j.0004,2011-10-10,2056.0,2087.0,2040.0,2046.0,3746.0,5858.0,2051.0,0.935226264418811
R.CN.DCE.j.0004,2011-10-11,2059.0,2075.0,2052.0,2054.0,6444.0,6324.0,2064.0,0.935226264418811
