SYMBOL,CLOCK,OPEN,HIGH,LOW,CLOSE,VOLUME,INTEREST,SETTLE,ADJ
R.CN.DCE.jd.0004,2013-11-11,3982.0,3983.0,3932.0,3941.0,148860.0,44132.0,3949.0,1.0
R.CN.DCE.jd.0004,2013-11-12,3940.0,3970.0,3932.0,3951.0,93396.0,38812.0,3957.0,1.0
R.CN.DCE.jd.0004,2013-11-13,3946.0,3970.0,3935.0,3952.0,62148.0,36600.0,3958.0,1.0
R.CN.DCE.jd.0004,2013-11-14,3958.0,3963.0,3939.0,3957.0,37318.0,32232.0,3952.0,1.0
R.CN.DCE.jd.0004,2013-11-15,3955.0,4015.0,3954.0,4013.0,133512.0,43098.0,3994.0,1.0
R.CN.DCE.jd.0004,2013-11-18,4015.0,4039.0,4003.0,4029.0,108186.0,50176.0,4025.0,1.0
R.CN.DCE.jd.0004,2013-11-19,4025.0,4036.0,4012.0,4023.0,62266.0,43000.0,4023.0,1.0
R.CN.DCE.jd.0004,2013-11-20,4025.0,4048.0,4016.0,4036.0,59612.0,43524.0,4036.0,1.0
R.CN.DCE.jd.0004,2013-11-21,4039.0,4039.0,4005.0,4010.0,40740.0,35924.0,4021.0,1.0
R.CN.DCE.jd.0004,2013-11-22,4012.0,4040.0,4006.0,4018.0,40808.0,35390.0,4024.0,1.0
R.CN.DCE.jd.0004,2013-11-25,4021.0,4178.0,4021.0,4168.0,275042.0,70756.0,4138.0,1.0
R.CN.DCE.jd.0004,2013-11-26,4170.0,4180.0,4145.0,4162.0,150308.0,63964.0,4161.0,1.0
R.CN.DCE.jd.0004,2013-11-27,4166.0,4174.0,4123.0,4138.0,119328.0,59036.0,4145.0,1.0
R.CN.DCE.jd.0004,2013-11-28,4138.0,4193.0,4138.0,4174.0,188778.0,68226.0,4168.0,1.0
R.CN.DCE.jd.0004,2013-11-29,4179.0,4185.0,4156.0,4172.0,90070.0,66538.0,4170.0,1.0
R.CN.DCE.jd.0004,2013-12-02,4173.0,4190.0,4151.0,4162.0,58520.0,66024.0,4168.0,1.0
R.CN.DCE.jd.0004,2013-12-03,4160.0,4196.0,4140.0,4163.0,162642.0,68806.0,4169.0,1.0
R.CN.DCE.jd.0004,2013-12-04,4166.0,4176.0,4150.0,4153.0,66138.0,68428.0,4160.0,1.0
R.CN.DCE.jd.0004,2013-12-05,4155.0,4181.0,4149.0,4159.0,86416.0,66256.0,4165.0,1.0
R.CN.DCE.jd.0004,2013-12-06,4160.0,4180.0,4109.0,4131.0,93086.0,60776.0,4143.0,1.0
R.CN.DCE.jd.0004,2013-12-09,4138.0,4150.0,4130.0,4134.0,43026.0,60958.0,4139.0,1.0
R.CN.DCE.jd.0004,2013-12-10,4143.0,4190.0,4134.0,4155.0,141624.0,64268.0,4163.0,1.0
R.CN.DCE.jd.0004,2013-12-11,4161.0,4175.0,4149.0,4155.0,68642.0,63620.0,4162.0,1.0
R.CN.DCE.jd.0004,2013-12-12,4159.0,4172.0,4144.0,4153.0,56068.0,62124.0,4160.0,1.0
R.CN.DCE.jd.0004,2013-12-13,4147.0,4157.0,4090.0,4101.0,78890.0,59600.0,4121.0,1.0
R.CN.DCE.jd.0004,2013-12-16,4111.0,4119.0,4082.0,4088.0,53850.0,60532.0,4099.0,1.0
R.CN.DCE.jd.0004,2013-12-17,4091.0,4125.0,4091.0,4107.0,56850.0,58862.0,4109.0,1.0
R.CN.DCE.jd.0004,2013-12-18,4101.0,4122.0,4094.0,4098.0,40438.0,59594.0,4106.0,1.0
R.CN.DCE.jd.0004,2013-12-19,4093.0,4093.0,3962.0,3989.0,221438.0,66598.0,4000.0,1.0
R.CN.DCE.jd.0004,2013-12-20,3971.0,4000.0,3967.0,3982.0,82202.0,56724.0,3982.0,1.0
R.CN.DCE.jd.0004,2013-12-23,3957.0,3973.0,3933.0,3969.0,69360.0,57290.0,3957.0,1.0
R.CN.DCE.jd.0004,2013-12-24,3963.0,3994.0,3961.0,3982.0,57416.0,56144.0,3982.0,1.0
R.CN.DCE.jd.0004,2013-12-25,3985.0,4023.0,3980.0,3995.0,62000.0,56212.0,4003.0,1.0
R.CN.DCE.jd.0004,2013-12-26,4000.0,4017.0,3958.0,3973.0,67728.0,55866.0,3973.0,1.0
R.CN.DCE.jd.0004,2013-12-27,3972.0,3993.0,3965.0,3968.0,37100.0,54554.0,3979.0,1.0
R.CN.DCE.jd.0004,2013-12-30,3970.0,4006.0,3967.0,3984.0,47234.0,52060.0,3988.0,1.0
R.CN.DCE.jd.0004,2013-12-31,3981.0,4000.0,3939.0,3951.0,60322.0,54984.0,3964.0,1.0
R.CN.DCE.jd.0004,2014-01-02,3951.0,3978.0,3941.0,3975.0,31536.0,53426.0,3966.0,1.0
R.CN.DCE.jd.0004,2014-01-03,3998.0,4036.0,3980.0,4015.0,102594.0,55466.0,4014.0,1.0
R.CN.DCE.jd.0004,2014-01-06,4005.0,4024.0,3940.0,3943.0,76746.0,56884.0,3990.0,1.0
R.CN.DCE.jd.0004,2014-01-07,3832.0,3919.0,3832.0,3865.0,102798.0,52084.0,3869.0,1.0
R.CN.DCE.jd.0004,2014-01-08,3869.0,3884.0,3843.0,3857.0,46162.0,51118.0,3857.0,1.0
R.CN.DCE.jd.0004,2014-01-09,3850.0,3880.0,3808.0,3826.0,65388.0,54234.0,3840.0,1.0
R.CN.DCE.jd.0004,2014-01-10,3822.0,3847.0,3815.0,3832.0,38390.0,53484.0,3831.0,1.0
R.CN.DCE.jd.0004,2014-01-13,3830.0,3860.0,3816.0,3826.0,41632.0,53012.0,3834.0,1.0
R.CN.DCE.jd.0004,2014-01-14,3834.0,3875.0,3827.0,3865.0,40826.0,50164.0,3849.0,1.0
R.CN.DCE.jd.0004,2014-01-15,3866.0,3866.0,3820.0,3828.0,52378.0,54522.0,3835.0,1.0
R.CN.DCE.jd.0004,2014-01-16,3835.0,3837.0,3766.0,3770.0,89098.0,64710.0,3785.0,1.0
R.CN.DCE.jd.0004,2014-01-17,3770.0,3785.0,3751.0,3778.0,56748.0,62420.0,3773.0,1.0
R.CN.DCE.jd.0004,2014-01-20,3772.0,3808.0,3772.0,3781.0,49338.0,59752.0,3791.0,1.0
R.CN.DCE.jd.0004,2014-01-21,3771.0,3772.0,3725.0,3734.0,52218.0,60536.0,3740.0,1.0
R.CN.DCE.jd.0004,2014-01-22,3730.0,3731.0,3666.0,3696.0,113068.0,63354.0,3696.0,1.0
R.CN.DCE.jd.0004,2014-01-23,3688.0,3721.0,3686.0,3706.0,39234.0,62654.0,3706.0,1.0
R.CN.DCE.jd.0004,2014-01-24,3700.0,3718.0,3676.0,3703.0,44774.0,65132.0,3702.0,1.0
R.CN.DCE.jd.0004,2014-01-27,3688.0,3735.0,3685.0,3726.0,69218.0,63276.0,3714.0,1.0
R.CN.DCE.jd.0004,2014-01-28,3710.0,3762.0,3710.0,3729.0,92514.0,59500.0,3742.0,1.0
R.CN.DCE.jd.0004,2014-01-29,3732.0,3759.0,3714.0,3728.0,37580.0,57036.0,3729.0,1.0
R.CN.DCE.jd.0004,2014-01-30,3727.0,3752.0,3724.0,3741.0,23578.0,55398.0,3740.0,1.0
R.CN.DCE.jd.0004,2014-02-07,3741.0,3780.0,3693.0,3697.0,44146.0,62834.0,3733.0,1.0
R.CN.DCE.jd.0004,2014-02-10,3687.0,3750.0,3676.0,3739.0,65214.0,67318.0,3714.0,1.0
R.CN.DCE.jd.0004,2014-02-11,3740.0,3767.0,3718.0,3720.0,78840.0,75432.0,3742.0,1.0
R.CN.DCE.jd.0004,2014-02-12,3719.0,3732.0,3701.0,3719.0,36230.0,74618.0,3715.0,1.0
R.CN.DCE.jd.0004,2014-02-13,3730.0,3749.0,3720.0,3730.0,32468.0,74504.0,3730.0,1.0
R.CN.DCE.jd.0004,2014-02-14,3735.0,3834.0,3708.0,3831.0,176542.0,83726.0,3789.0,1.0
R.CN.DCE.jd.0004,2014-02-17,3840.0,3859.0,3816.0,3840.0,97176.0,77244.0,3835.0,1.0
R.CN.DCE.jd.0004,2014-02-18,3842.0,3866.0,3822.0,3851.0,83344.0,77322.0,3843.0,1.0
R.CN.DCE.jd.0004,2014-02-19,3868.0,3876.0,3838.0,3850.0,58342.0,76518.0,3857.0,1.0
R.CN.DCE.jd.0004,2014-02-20,3845.0,3850.0,3777.0,3785.0,74460.0,74342.0,3805.0,1.0
R.CN.DCE.jd.0004,2014-02-21,3780.0,3798.0,3755.0,3781.0,50938.0,75984.0,3776.0,1.0
R.CN.DCE.jd.0004,2014-02-24,3785.0,3817.0,3756.0,3795.0,76830.0,75752.0,3797.0,1.0
R.CN.DCE.jd.0004,2014-02-25,3790.0,3802.0,3680.0,3687.0,82562.0,75122.0,3743.0,1.0
R.CN.DCE.jd.0004,2014-02-26,3680.0,3710.0,3630.0,3697.0,77210.0,71350.0,3682.0,1.0
R.CN.DCE.jd.0004,2014-02-27,3708.0,3726.0,3682.0,3693.0,54504.0,71370.0,3702.0,1.0
R.CN.DCE.jd.0004,2014-02-28,3700.0,3720.0,3680.0,3720.0,46804.0,68576.0,3702.0,1.0
R.CN.DCE.jd.0004,2014-03-03,3731.0,3794.0,3731.0,3789.0,92236.0,63156.0,3772.0,1.0
R.CN.DCE.jd.0004,2014-03-04,3789.0,3849.0,3780.0,3847.0,82222.0,62146.0,3814.0,1.0
R.CN.DCE.jd.0004,2014-03-05,3868.0,3880.0,3833.0,3870.0,67206.0,60542.0,3852.0,1.0
R.CN.DCE.jd.0004,2014-03-06,3875.0,3879.0,3835.0,3855.0,55252.0,58712.0,3854.0,1.0
R.CN.DCE.jd.0004,2014-03-07,3862.0,4008.0,3837.0,4008.0,146124.0,64392.0,3924.0,1.0
R.CN.DCE.jd.0004,2014-03-10,4016.0,4090.0,3999.0,4080.0,254154.0,63938.0,4050.0,1.0
R.CN.DCE.jd.0004,2014-03-11,4080.0,4138.0,4066.0,4117.0,190926.0,59712.0,4102.0,1.0
R.CN.DCE.jd.0004,2014-03-12,4102.0,4126.0,4073.0,4115.0,89754.0,59024.0,4103.0,1.0
R.CN.DCE.jd.0004,2014-03-13,4115.0,4262.0,4106.0,4236.0,221984.0,73340.0,4214.0,1.0
R.CN.DCE.jd.0004,2014-03-14,4236.0,4266.0,4180.0,4218.0,225102.0,68484.0,4216.0,1.0
R.CN.DCE.jd.0004,2014-03-17,4236.0,4240.0,4048.0,4048.0,200160.0,50636.0,4115.0,1.0
R.CN.DCE.jd.0004,2014-03-18,4422.0,4505.0,4406.0,4495.0,113938.0,76662.0,4463.0,0.91500904159132
R.CN.DCE.jd.0004,2014-03-19,4508.0,4527.0,4478.0,4500.0,84944.0,79588.0,4502.0,0.91500904159132
R.CN.DCE.jd.0004,2014-03-20,4508.0,4520.0,4468.0,4519.0,79900.0,79686.0,4497.0,0.91500904159132
R.CN.DCE.jd.0004,2014-03-21,4531.0,4608.0,4503.0,4584.0,149906.0,87390.0,4565.0,0.91500904159132
