SYMBOL,CLOCK,OPEN,HIGH,LOW,CLOSE,VOLUME,INTEREST,SETTLE,ADJ
R.CN.DCE.l.0004,2010-01-04,12600.0,12695.0,12550.0,12635.0,190792.0,90050.0,12635.0,1.04408215410992
R.CN.DCE.l.0004,2010-01-05,12720.0,12745.0,12620.0,12660.0,158990.0,84230.0,12670.0,1.04408215410992
R.CN.DCE.l.0004,2010-01-06,12650.0,12700.0,12560.0,12605.0,257520.0,84866.0,12630.0,1.04408215410992
R.CN.DCE.l.0004,2010-01-07,12705.0,12840.0,12000.0,12235.0,326148.0,66252.0,12460.0,1.04408215410992
R.CN.DCE.l.0004,2010-01-08,12300.0,12365.0,12040.0,12175.0,251674.0,57566.0,12205.0,1.04408215410992
R.CN.DCE.l.0004,2010-01-11,12310.0,12495.0,12310.0,12490.0,194252.0,63628.0,12425.0,1.04408215410992
R.CN.DCE.l.0004,2010-01-12,12415.0,12445.0,12230.0,12255.0,179180.0,58786.0,12305.0,1.04408215410992
R.CN.DCE.l.0004,2010-01-13,11995.0,11995.0,11740.0,11765.0,158518.0,52806.0,11840.0,1.04408215410992
R.CN.DCE.l.0004,2010-01-14,11900.0,12150.0,11850.0,12065.0,334574.0,64460.0,12025.0,1.04408215410992
R.CN.DCE.l.0004,2010-01-15,12035.0,12055.0,11770.0,11840.0,212622.0,57490.0,11900.0,1.04408215410992
R.CN.DCE.l.0004,2010-01-18,11685.0,12040.0,11680.0,11985.0,378828.0,73890.0,11950.0,1.04408215410992
R.CN.DCE.l.0004,2010-01-19,12030.0,12075.0,11920.0,12000.0,268256.0,74398.0,11990.0,1.04408215410992
R.CN.DCE.l.0004,2010-01-20,12100.0,12205.0,12000.0,12100.0,353290.0,73472.0,12110.0,1.04408215410992
R.CN.DCE.l.0004,2010-01-21,12100.0,12335.0,12065.0,12335.0,366340.0,81580.0,12230.0,1.04408215410992
R.CN.DCE.l.0004,2010-01-22,12135.0,12315.0,11920.0,12070.0,429676.0,65192.0,12120.0,1.04408215410992
R.CN.DCE.l.0004,2010-01-25,12030.0,12070.0,11880.0,11945.0,319172.0,67690.0,11960.0,1.04408215410992
R.CN.DCE.l.0004,2010-01-26,12000.0,12050.0,11775.0,11775.0,279996.0,65778.0,11915.0,1.04408215410992
R.CN.DCE.l.0004,2010-01-27,11835.0,11845.0,11535.0,11575.0,392762.0,79610.0,11625.0,1.04408215410992
R.CN.DCE.l.0004,2010-01-28,11445.0,11520.0,11330.0,11450.0,346678.0,77622.0,11425.0,1.04408215410992
R.CN.DCE.l.0004,2010-01-29,11425.0,11500.0,11360.0,11450.0,233502.0,70530.0,11430.0,1.04408215410992
R.CN.DCE.l.0004,2010-02-01,11415.0,11495.0,11245.0,11375.0,279494.0,71662.0,11365.0,1.04408215410992
