SYMBOL,CLOCK,OPEN,HIGH,LOW,CLOSE,VOLUME,INTEREST,SETTLE,ADJ
R.CN.DCE.p.0004,2010-01-04,7300.0,7368.0,7244.0,7302.0,641592.0,302644.0,7310.0,0.91485093420433
R.CN.DCE.p.0004,2010-01-05,7320.0,7388.0,7288.0,7344.0,726722.0,329262.0,7348.0,0.91485093420433
R.CN.DCE.p.0004,2010-01-06,7314.0,7466.0,7304.0,7376.0,758566.0,345622.0,7400.0,0.91485093420433
R.CN.DCE.p.0004,2010-01-07,7420.0,7464.0,7030.0,7134.0,971910.0,284252.0,7222.0,0.91485093420433
R.CN.DCE.p.0004,2010-01-08,7130.0,7150.0,6914.0,7036.0,857686.0,264762.0,7046.0,0.91485093420433
R.CN.DCE.p.0004,2010-01-11,7124.0,7204.0,7120.0,7124.0,697064.0,279150.0,7156.0,0.91485093420433
R.CN.DCE.p.0004,2010-01-12,7022.0,7100.0,7008.0,7034.0,495840.0,286586.0,7046.0,0.91485093420433
R.CN.DCE.p.0004,2010-01-13,6800.0,6880.0,6736.0,6794.0,544822.0,263236.0,6820.0,0.91485093420433
R.CN.DCE.p.0004,2010-01-14,6880.0,6918.0,6844.0,6888.0,472570.0,248218.0,6882.0,0.91485093420433
R.CN.DCE.p.0004,2010-01-15,6860.0,6944.0,6786.0,6842.0,586250.0,255726.0,6868.0,0.91485093420433
R.CN.DCE.p.0004,2010-01-18,6790.0,6862.0,6750.0,6820.0,581646.0,308022.0,6808.0,0.91485093420433
R.CN.DCE.p.0004,2010-01-19,6850.0,6892.0,6810.0,6846.0,434246.0,297188.0,6848.0,0.91485093420433
R.CN.DCE.p.0004,2010-01-20,6888.0,6894.0,6698.0,6702.0,622982.0,292092.0,6782.0,0.91485093420433
R.CN.DCE.p.0004,2010-01-21,6688.0,6830.0,6662.0,6818.0,694602.0,280430.0,6732.0,0.91485093420433
R.CN.DCE.p.0004,2010-01-22,6752.0,6826.0,6658.0,6808.0,786590.0,278932.0,6752.0,0.91485093420433
R.CN.DCE.p.0004,2010-01-25,6790.0,6868.0,6774.0,6818.0,800640.0,313968.0,6830.0,0.91485093420433
R.CN.DCE.p.0004,2010-01-26,6826.0,6846.0,6706.0,6706.0,765770.0,306826.0,6774.0,0.91485093420433
R.CN.DCE.p.0004,2010-01-27,6750.0,6774.0,6690.0,6750.0,665180.0,289686.0,6740.0,0.91485093420433
R.CN.DCE.p.0004,2010-01-28,6682.0,6720.0,6618.0,6704.0,631430.0,276574.0,6684.0,0.91485093420433
R.CN.DCE.p.0004,2010-01-29,6700.0,6772.0,6640.0,6646.0,720468.0,304518.0,6714.0,0.91485093420433
R.CN.DCE.p.0004,2010-02-01,6662.0,6682.0,6554.0,6556.0,575700.0,286032.0,6600.0,0.91485093420433
R.CN.DCE.p.0004,2010-02-02,6644.0,6644.0,6534.0,6558.0,459570.0,282612.0,6582.0,0.91485093420433
R.CN.DCE.p.0004,2010-02-03,6686.0,6724.0,6636.0,6720.0,470116.0,285022.0,6674.0,0.91485093420433
R.CN.DCE.p.0004,2010-02-04,6662.0,6694.0,6608.0,6648.0,447720.0,289572.0,6648.0,0.91485093420433
