SYMBOL,CLOCK,OPEN,HIGH,LOW,CLOSE,VOLUME,INTEREST,SETTLE,ADJ
R.CN.DCE.pp.0004,2014-03-03,10696.0,10790.0,10602.0,10632.0,44726.0,18328.0,10652.0,1.0
R.CN.DCE.pp.0004,2014-03-04,10310.0,10330.0,10256.0,10306.0,39938.0,25034.0,10292.0,1.03243348222956
R.CN.DCE.pp.0004,2014-03-05,10359.0,10360.0,10262.0,10299.0,17656.0,23234.0,10303.0,1.03243348222956
R.CN.DCE.pp.0004,2014-03-06,10270.0,10290.0,10071.0,10166.0,71074.0,32288.0,10154.0,1.03243348222956
R.CN.DCE.pp.0004,2014-03-07,10200.0,10200.0,10129.0,10175.0,45330.0,37846.0,10164.0,1.03243348222956
R.CN.DCE.pp.0004,2014-03-10,10025.0,10150.0,10000.0,10077.0,79360.0,46536.0,10067.0,1.03243348222956
R.CN.DCE.pp.0004,2014-03-11,10096.0,10350.0,10050.0,10180.0,69412.0,39284.0,10167.0,1.03243348222956
R.CN.DCE.pp.0004,2014-03-12,10090.0,10193.0,10061.0,10191.0,46214.0,49316.0,10138.0,1.03243348222956
R.CN.DCE.pp.0004,2014-03-13,10200.0,10236.0,10165.0,10209.0,25802.0,49944.0,10198.0,1.03243348222956
R.CN.DCE.pp.0004,2014-03-14,10200.0,10210.0,10120.0,10171.0,45528.0,52024.0,10163.0,1.03243348222956
R.CN.DCE.pp.0004,2014-03-17,10165.0,10290.0,10140.0,10171.0,26120.0,52644.0,10182.0,1.03243348222956
R.CN.DCE.pp.0004,2014-03-18,10125.0,10290.0,10125.0,10284.0,56886.0,51812.0,10237.0,1.03243348222956
R.CN.DCE.pp.0004,2014-03-19,10300.0,10348.0,10214.0,10214.0,36210.0,48670.0,10278.0,1.03243348222956
R.CN.DCE.pp.0004,2014-03-20,10220.0,10260.0,10195.0,10240.0,25118.0,43802.0,10230.0,1.03243348222956
R.CN.DCE.pp.0004,2014-03-21,10206.0,10295.0,10202.0,10285.0,23768.0,44088.0,10247.0,1.03243348222956
R.CN.DCE.pp.0004,2014-03-24,10280.0,10324.0,10241.0,10310.0,24834.0,47484.0,10290.0,1.03243348222956
R.CN.DCE.pp.0004,2014-03-25,10315.0,10436.0,10290.0,10406.0,52928.0,45170.0,10371.0,1.03243348222956
R.CN.DCE.pp.0004,2014-03-26,10389.0,10560.0,10385.0,10527.0,118820.0,52690.0,10499.0,1.03243348222956
R.CN.DCE.pp.0004,2014-03-27,10530.0,10530.0,10474.0,10492.0,46228.0,51682.0,10500.0,1.03243348222956
