SYMBOL,CLOCK,OPEN,HIGH,LOW,CLOSE,VOLUME,INTEREST,SETTLE,ADJ
R.CN.DCE.v.0004,2010-01-04,7720.0,7730.0,7630.0,7635.0,147506.0,109464.0,7680.0,0.906141285850891
R.CN.DCE.v.0004,2010-01-05,7685.0,7815.0,7655.0,7700.0,227562.0,105996.0,7730.0,0.906141285850891
R.CN.DCE.v.0004,2010-01-06,7690.0,7750.0,7645.0,7655.0,102842.0,102902.0,7705.0,0.906141285850891
R.CN.DCE.v.0004,2010-01-07,7695.0,7725.0,7340.0,7560.0,121086.0,86578.0,7615.0,0.906141285850891
R.CN.DCE.v.0004,2010-01-08,7600.0,7600.0,7415.0,7470.0,59946.0,69534.0,7490.0,0.906141285850891
R.CN.DCE.v.0004,2010-01-11,7520.0,7580.0,7500.0,7525.0,30624.0,65984.0,7525.0,0.906141285850891
R.CN.DCE.v.0004,2010-01-12,7510.0,7510.0,7445.0,7450.0,18846.0,61642.0,7460.0,0.906141285850891
R.CN.DCE.v.0004,2010-01-13,7350.0,7355.0,7270.0,7325.0,26374.0,48344.0,7325.0,0.906141285850891
R.CN.DCE.v.0004,2010-01-14,7345.0,7395.0,7340.0,7390.0,10198.0,45270.0,7365.0,0.906141285850891
R.CN.DCE.v.0004,2010-01-15,7360.0,7430.0,7355.0,7370.0,6664.0,42188.0,7380.0,0.906141285850891
R.CN.DCE.v.0004,2010-01-18,7690.0,7810.0,7680.0,7795.0,49064.0,52104.0,7755.0,0.859493085807087
R.CN.DCE.v.0004,2010-01-19,7800.0,7845.0,7750.0,7775.0,54326.0,50460.0,7780.0,0.859493085807087
R.CN.DCE.v.0004,2010-01-20,7820.0,7835.0,7725.0,7740.0,58454.0,48568.0,7775.0,0.859493085807087
R.CN.DCE.v.0004,2010-01-21,7700.0,7770.0,7690.0,7770.0,43328.0,45436.0,7730.0,0.859493085807087
R.CN.DCE.v.0004,2010-01-22,7680.0,7815.0,7660.0,7750.0,113656.0,48822.0,7740.0,0.859493085807087
R.CN.DCE.v.0004,2010-01-25,7730.0,7770.0,7705.0,7715.0,48942.0,54482.0,7725.0,0.859493085807087
R.CN.DCE.v.0004,2010-01-26,7735.0,7740.0,7600.0,7605.0,56266.0,56576.0,7660.0,0.859493085807087
R.CN.DCE.v.0004,2010-01-27,7630.0,7645.0,7530.0,7560.0,49618.0,56500.0,7580.0,0.859493085807087
R.CN.DCE.v.0004,2010-01-28,7540.0,7545.0,7400.0,7420.0,58568.0,49922.0,7440.0,0.859493085807087
R.CN.DCE.v.0004,2010-01-29,7380.0,7410.0,7320.0,7350.0,52396.0,49402.0,7365.0,0.859493085807087
R.CN.DCE.v.0004,2010-02-01,7350.0,7385.0,7275.0,7290.0,31670.0,47578.0,7305.0,0.859493085807087
R.CN.DCE.v.0004,2010-02-02,7350.0,7385.0,7255.0,7310.0,34876.0,46218.0,7315.0,0.859493085807087
R.CN.DCE.v.0004,2010-02-03,7360.0,7495.0,7315.0,7470.0,61714.0,49450.0,7405.0,0.859493085807087
R.CN.DCE.v.0004,2010-02-04,7400.0,7470.0,7385.0,7445.0,56098.0,45698.0,7435.0,0.859493085807087
R.CN.DCE.v.0004,2010-02-05,7320.0,7390.0,7310.0,7380.0,39624.0,46040.0,7350.0,0.859493085807087
R.CN.DCE.v.0004,2010-02-08,7345.0,7470.0,7340.0,7440.0,45848.0,49088.0,7420.0,0.859493085807087
R.CN.DCE.v.0004,2010-02-09,7440.0,7490.0,7400.0,7465.0,33772.0,48698.0,7445.0,0.859493085807087
R.CN.DCE.v.0004,2010-02-10,7485.0,7525.0,7455.0,7495.0,34464.0,46346.0,7490.0,0.859493085807087
R.CN.DCE.v.0004,2010-02-11,7505.0,7560.0,7490.0,7535.0,26682.0,44028.0,7525.0,0.859493085807087
R.CN.DCE.v.0004,2010-02-12,7550.0,7615.0,7530.0,7610.0,19096.0,43030.0,7560.0,0.859493085807087
R.CN.DCE.v.0004,2010-02-22,7800.0,7800.0,7655.0,7710.0,36694.0,43028.0,7690.0,0.859493085807087
R.CN.DCE.v.0004,2010-02-23,7660.0,7715.0,7660.0,7700.0,28258.0,46526.0,7690.0,0.859493085807087
R.CN.DCE.v.0004,2010-02-24,7670.0,7690.0,7660.0,7680.0,24284.0,46152.0,7680.0,0.859493085807087
R.CN.DCE.v.0004,2010-02-25,7750.0,7750.0,7600.0,7615.0,28074.0,46554.0,7650.0,0.859493085807087
R.CN.DCE.v.0004,2010-02-26,7605.0,7630.0,7550.0,7580.0,20262.0,46816.0,7585.0,0.859493085807087
R.CN.DCE.v.0004,2010-03-01,7610.0,7665.0,7535.0,7580.0,27448.0,49934.0,7585.0,0.859493085807087
R.CN.DCE.v.0004,2010-03-02,7555.0,7610.0,7525.0,7530.0,33588.0,52702.0,7560.0,0.859493085807087
R.CN.DCE.v.0004,2010-03-03,7575.0,7580.0,7510.0,7560.0,28846.0,56698.0,7545.0,0.859493085807087
R.CN.DCE.v.0004,2010-03-04,7575.0,7600.0,7450.0,7470.0,35904.0,55862.0,7520.0,0.859493085807087
R.CN.DCE.v.0004,2010-03-05,7480.0,7490.0,7410.0,7445.0,26134.0,57344.0,7435.0,0.859493085807087
R.CN.DCE.v.0004,2010-03-08,7455.0,7540.0,7440.0,7525.0,51846.0,57748.0,7495.0,0.859493085807087
R.CN.DCE.v.0004,2010-03-09,7500.0,7535.0,7490.0,7515.0,25456.0,57256.0,7515.0,0.859493085807087
R.CN.DCE.v.0004,2010-03-10,7500.0,7580.0,7475.0,7500.0,37128.0,57920.0,7530.0,0.859493085807087
R.CN.DCE.v.0004,2010-03-11,7510.0,7570.0,7430.0,7455.0,59106.0,58854.0,7490.0,0.859493085807087
R.CN.DCE.v.0004,2010-03-12,7460.0,7495.0,7440.0,7480.0,25188.0,56572.0,7465.0,0.859493085807087
R.CN.DCE.v.0004,2010-03-15,7455.0,7490.0,7355.0,7380.0,45812.0,57746.0,7410.0,0.859493085807087
R.CN.DCE.v.0004,2010-03-16,7350.0,7405.0,7330.0,7395.0,30708.0,56754.0,7370.0,0.859493085807087
R.CN.DCE.v.0004,2010-03-17,7440.0,7510.0,7405.0,7495.0,41986.0,52868.0,7455.0,0.859493085807087
R.CN.DCE.v.0004,2010-03-18,7495.0,7530.0,7465.0,7490.0,26220.0,51134.0,7490.0,0.859493085807087
R.CN.DCE.v.0004,2010-03-19,7485.0,7595.0,7480.0,7590.0,50060.0,53302.0,7540.0,0.859493085807087
R.CN.DCE.v.0004,2010-03-22,7560.0,7585.0,7540.0,7585.0,34244.0,46666.0,7560.0,0.859493085807087
R.CN.DCE.v.0004,2010-03-23,7600.0,7620.0,7560.0,7570.0,26778.0,45406.0,7580.0,0.859493085807087
R.CN.DCE.v.0004,2010-03-24,7570.0,7585.0,7530.0,7545.0,17916.0,43828.0,7545.0,0.859493085807087
R.CN.DCE.v.0004,2010-03-25,7520.0,7550.0,7510.0,7525.0,10960.0,41570.0,7530.0,0.859493085807087
R.CN.DCE.v.0004,2010-03-26,7515.0,7580.0,7515.0,7570.0,16484.0,35034.0,7555.0,0.859493085807087
R.CN.DCE.v.0004,2010-03-29,7590.0,7590.0,7545.0,7555.0,10972.0,31276.0,7560.0,0.859493085807087
R.CN.DCE.v.0004,2010-03-30,7580.0,7580.0,7470.0,7475.0,11682.0,27310.0,7520.0,0.859493085807087
R.CN.DCE.v.0004,2010-03-31,7880.0,7890.0,7790.0,7790.0,32172.0,31436.0,7815.0,0.816354614537227
R.CN.DCE.v.0004,2010-04-01,7810.0,7840.0,7790.0,7800.0,15112.0,33808.0,7815.0,0.816354614537227
R.CN.DCE.v.0004,2010-04-02,7840.0,7850.0,7760.0,7780.0,30228.0,37812.0,7790.0,0.816354614537227
R.CN.DCE.v.0004,2010-04-06,7830.0,7870.0,7800.0,7835.0,46056.0,45612.0,7835.0,0.816354614537227
R.CN.DCE.v.0004,2010-04-07,7850.0,7935.0,7835.0,7905.0,79974.0,60782.0,7890.0,0.816354614537227
R.CN.DCE.v.0004,2010-04-08,7900.0,7945.0,7860.0,7880.0,45648.0,61776.0,7895.0,0.816354614537227
R.CN.DCE.v.0004,2010-04-09,7900.0,7960.0,7900.0,7955.0,71104.0,76516.0,7935.0,0.816354614537227
R.CN.DCE.v.0004,2010-04-12,7990.0,8025.0,7940.0,7965.0,70412.0,78724.0,7985.0,0.816354614537227
R.CN.DCE.v.0004,2010-04-13,7970.0,7995.0,7915.0,7930.0,48752.0,79836.0,7950.0,0.816354614537227
R.CN.DCE.v.0004,2010-04-14,7950.0,7995.0,7920.0,7965.0,63816.0,87250.0,7960.0,0.816354614537227
R.CN.DCE.v.0004,2010-04-15,7990.0,8090.0,7965.0,8065.0,177738.0,111876.0,8045.0,0.816354614537227
R.CN.DCE.v.0004,2010-04-16,8080.0,8085.0,7995.0,8005.0,92202.0,106068.0,8025.0,0.816354614537227
R.CN.DCE.v.0004,2010-04-19,7920.0,7975.0,7905.0,7935.0,81360.0,105556.0,7940.0,0.816354614537227
R.CN.DCE.v.0004,2010-04-20,7970.0,7990.0,7950.0,7970.0,50828.0,104814.0,7965.0,0.816354614537227
R.CN.DCE.v.0004,2010-04-21,7990.0,7990.0,7900.0,7915.0,59624.0,101272.0,7930.0,0.816354614537227
R.CN.DCE.v.0004,2010-04-22,7900.0,7900.0,7840.0,7855.0,50066.0,94346.0,7860.0,0.816354614537227
R.CN.DCE.v.0004,2010-04-23,7865.0,7905.0,7855.0,7885.0,34030.0,94896.0,7875.0,0.816354614537227
R.CN.DCE.v.0004,2010-04-26,7910.0,7930.0,7875.0,7890.0,29838.0,95848.0,7895.0,0.816354614537227
R.CN.DCE.v.0004,2010-04-27,7860.0,7870.0,7750.0,7770.0,62302.0,88040.0,7785.0,0.816354614537227
R.CN.DCE.v.0004,2010-04-28,7700.0,7740.0,7660.0,7730.0,35632.0,85406.0,7710.0,0.816354614537227
R.CN.DCE.v.0004,2010-04-29,7740.0,7770.0,7710.0,7715.0,31208.0,86316.0,7735.0,0.816354614537227
R.CN.DCE.v.0004,2010-04-30,7765.0,7770.0,7715.0,7745.0,17748.0,83300.0,7740.0,0.816354614537227
R.CN.DCE.v.0004,2010-05-04,7745.0,7745.0,7690.0,7730.0,20728.0,86404.0,7720.0,0.816354614537227
R.CN.DCE.v.0004,2010-05-05,7650.0,7715.0,7630.0,7715.0,29756.0,86940.0,7680.0,0.816354614537227
R.CN.DCE.v.0004,2010-05-06,7695.0,7720.0,7675.0,7680.0,20938.0,84930.0,7695.0,0.816354614537227
R.CN.DCE.v.0004,2010-05-07,7650.0,7775.0,7605.0,7720.0,139966.0,89928.0,7710.0,0.816354614537227
R.CN.DCE.v.0004,2010-05-10,7775.0,7785.0,7650.0,7725.0,74418.0,84928.0,7710.0,0.816354614537227
R.CN.DCE.v.0004,2010-05-11,7720.0,7750.0,7640.0,7640.0,69376.0,84322.0,7685.0,0.816354614537227
R.CN.DCE.v.0004,2010-05-12,7630.0,7680.0,7535.0,7540.0,103552.0,86008.0,7605.0,0.816354614537227
R.CN.DCE.v.0004,2010-05-13,7560.0,7565.0,7510.0,7555.0,74668.0,81300.0,7540.0,0.816354614537227
R.CN.DCE.v.0004,2010-05-14,7510.0,7565.0,7460.0,7470.0,64032.0,85806.0,7510.0,0.816354614537227
R.CN.DCE.v.0004,2010-05-17,7405.0,7420.0,7135.0,7175.0,96652.0,80576.0,7240.0,0.816354614537227
R.CN.DCE.v.0004,2010-05-18,7190.0,7305.0,7100.0,7285.0,81974.0,67954.0,7215.0,0.816354614537227
R.CN.DCE.v.0004,2010-05-19,7200.0,7355.0,7155.0,7295.0,68410.0,68630.0,7255.0,0.816354614537227
R.CN.DCE.v.0004,2010-05-20,7340.0,7395.0,7315.0,7375.0,52546.0,67614.0,7360.0,0.816354614537227
R.CN.DCE.v.0004,2010-05-21,7310.0,7415.0,7255.0,7355.0,84074.0,64422.0,7345.0,0.816354614537227
R.CN.DCE.v.0004,2010-05-24,7385.0,7490.0,7365.0,7485.0,67834.0,65656.0,7440.0,0.816354614537227
R.CN.DCE.v.0004,2010-05-25,7450.0,7505.0,7395.0,7415.0,102062.0,76768.0,7455.0,0.816354614537227
R.CN.DCE.v.0004,2010-05-26,7460.0,7475.0,7380.0,7440.0,69776.0,75344.0,7425.0,0.816354614537227
R.CN.DCE.v.0004,2010-05-27,7465.0,7520.0,7420.0,7520.0,55806.0,70782.0,7470.0,0.816354614537227
R.CN.DCE.v.0004,2010-05-28,7560.0,7590.0,7500.0,7520.0,51394.0,66832.0,7545.0,0.816354614537227
R.CN.DCE.v.0004,2010-05-31,7510.0,7510.0,7455.0,7465.0,34362.0,68528.0,7475.0,0.816354614537227
R.CN.DCE.v.0004,2010-06-01,7460.0,7465.0,7270.0,7275.0,81312.0,72214.0,7340.0,0.816354614537227
R.CN.DCE.v.0004,2010-06-02,7300.0,7320.0,7155.0,7240.0,84124.0,68362.0,7245.0,0.816354614537227
R.CN.DCE.v.0004,2010-06-03,7300.0,7315.0,7255.0,7290.0,49112.0,65602.0,7285.0,0.816354614537227
R.CN.DCE.v.0004,2010-06-04,7290.0,7295.0,7220.0,7280.0,41540.0,67310.0,7255.0,0.816354614537227
R.CN.DCE.v.0004,2010-06-07,7120.0,7120.0,6900.0,6935.0,148920.0,79118.0,6960.0,0.816354614537227
R.CN.DCE.v.0004,2010-06-08,6970.0,7135.0,6970.0,7115.0,104268.0,67310.0,7040.0,0.816354614537227
R.CN.DCE.v.0004,2010-06-09,7135.0,7175.0,7065.0,7165.0,87868.0,66876.0,7120.0,0.816354614537227
R.CN.DCE.v.0004,2010-06-10,7175.0,7215.0,7105.0,7155.0,64910.0,61016.0,7160.0,0.816354614537227
R.CN.DCE.v.0004,2010-06-11,7200.0,7225.0,7145.0,7160.0,36116.0,58700.0,7180.0,0.816354614537227
R.CN.DCE.v.0004,2010-06-17,7240.0,7255.0,7155.0,7180.0,34572.0,58116.0,7205.0,0.816354614537227
R.CN.DCE.v.0004,2010-06-18,7190.0,7205.0,7105.0,7110.0,57868.0,61340.0,7150.0,0.816354614537227
R.CN.DCE.v.0004,2010-06-21,7180.0,7395.0,7150.0,7305.0,84634.0,53250.0,7245.0,0.816354614537227
R.CN.DCE.v.0004,2010-06-22,7260.0,7265.0,7210.0,7235.0,46550.0,51990.0,7235.0,0.816354614537227
R.CN.DCE.v.0004,2010-06-23,7200.0,7240.0,7150.0,7190.0,44028.0,48674.0,7195.0,0.816354614537227
R.CN.DCE.v.0004,2010-06-24,7170.0,7270.0,7170.0,7205.0,53862.0,48106.0,7220.0,0.816354614537227
R.CN.DCE.v.0004,2010-06-25,7210.0,7220.0,7150.0,7165.0,32540.0,48104.0,7180.0,0.816354614537227
R.CN.DCE.v.0004,2010-06-28,7210.0,7220.0,7140.0,7145.0,46806.0,47790.0,7185.0,0.816354614537227
R.CN.DCE.v.0004,2010-06-29,7110.0,7150.0,7015.0,7065.0,43290.0,51530.0,7075.0,0.816354614537227
R.CN.DCE.v.0004,2010-06-30,7000.0,7065.0,7000.0,7050.0,34938.0,51218.0,7030.0,0.816354614537227
R.CN.DCE.v.0004,2010-07-01,7040.0,7060.0,6980.0,6980.0,31428.0,52630.0,7010.0,0.816354614537227
R.CN.DCE.v.0004,2010-07-02,6950.0,7045.0,6950.0,7040.0,34726.0,50350.0,7000.0,0.816354614537227
R.CN.DCE.v.0004,2010-07-05,7040.0,7050.0,7015.0,7030.0,30740.0,48308.0,7030.0,0.816354614537227
R.CN.DCE.v.0004,2010-07-06,7000.0,7000.0,6930.0,6980.0,36998.0,49050.0,6960.0,0.816354614537227
R.CN.DCE.v.0004,2010-07-07,6960.0,6975.0,6920.0,6925.0,21428.0,50482.0,6945.0,0.816354614537227
R.CN.DCE.v.0004,2010-07-08,7005.0,7020.0,6880.0,6915.0,39764.0,50692.0,6940.0,0.816354614537227
R.CN.DCE.v.0004,2010-07-09,6920.0,6965.0,6915.0,6945.0,25212.0,48018.0,6940.0,0.816354614537227
