SYMBOL,CLOCK,OPEN,HIGH,LOW,CLOSE,VOLUME,INTEREST,SETTLE,ADJ
R.CN.DCE.y.0004,2010-01-04,8030.0,8092.0,7990.0,8050.0,922828.0,681238.0,8046.0,0.993472404102358
R.CN.DCE.y.0004,2010-01-05,8088.0,8090.0,8020.0,8056.0,789080.0,667422.0,8062.0,0.993472404102358
R.CN.DCE.y.0004,2010-01-06,8030.0,8140.0,8016.0,8090.0,1015520.0,698598.0,8096.0,0.993472404102358
R.CN.DCE.y.0004,2010-01-07,8100.0,8184.0,7774.0,7860.0,1455800.0,644090.0,7970.0,0.993472404102358
R.CN.DCE.y.0004,2010-01-08,7860.0,7878.0,7652.0,7744.0,1145050.0,649448.0,7762.0,0.993472404102358
R.CN.DCE.y.0004,2010-01-11,7844.0,7884.0,7794.0,7802.0,691840.0,649770.0,7842.0,0.993472404102358
R.CN.DCE.y.0004,2010-01-12,7742.0,7768.0,7694.0,7726.0,669838.0,666748.0,7730.0,0.993472404102358
R.CN.DCE.y.0004,2010-01-13,7560.0,7574.0,7450.0,7498.0,756186.0,632390.0,7516.0,0.993472404102358
R.CN.DCE.y.0004,2010-01-14,7568.0,7616.0,7540.0,7552.0,764352.0,672004.0,7572.0,0.993472404102358
R.CN.DCE.y.0004,2010-01-15,7520.0,7584.0,7466.0,7498.0,809754.0,700094.0,7528.0,0.993472404102358
R.CN.DCE.y.0004,2010-01-18,7420.0,7464.0,7382.0,7456.0,759174.0,695966.0,7426.0,0.993472404102358
R.CN.DCE.y.0004,2010-01-19,7484.0,7532.0,7448.0,7480.0,642806.0,709824.0,7486.0,0.993472404102358
R.CN.DCE.y.0004,2010-01-20,7488.0,7508.0,7350.0,7358.0,871050.0,719066.0,7414.0,0.993472404102358
R.CN.DCE.y.0004,2010-01-21,7350.0,7450.0,7306.0,7442.0,940496.0,745280.0,7376.0,0.993472404102358
R.CN.DCE.y.0004,2010-01-22,7370.0,7486.0,7288.0,7452.0,1153020.0,726924.0,7388.0,0.993472404102358
R.CN.DCE.y.0004,2010-01-25,7428.0,7468.0,7410.0,7424.0,886210.0,755720.0,7436.0,0.993472404102358
R.CN.DCE.y.0004,2010-01-26,7418.0,7438.0,7330.0,7334.0,797526.0,738286.0,7378.0,0.993472404102358
R.CN.DCE.y.0004,2010-01-27,7364.0,7416.0,7336.0,7406.0,926436.0,740150.0,7378.0,0.993472404102358
R.CN.DCE.y.0004,2010-01-28,7320.0,7352.0,7270.0,7326.0,858372.0,742188.0,7320.0,0.993472404102358
R.CN.DCE.y.0004,2010-01-29,7318.0,7376.0,7270.0,7270.0,714280.0,731446.0,7328.0,0.993472404102358
R.CN.DCE.y.0004,2010-02-01,7290.0,7304.0,7178.0,7182.0,649768.0,743420.0,7222.0,0.993472404102358
R.CN.DCE.y.0004,2010-02-02,7250.0,7278.0,7154.0,7174.0,558656.0,720766.0,7200.0,0.993472404102358
R.CN.DCE.y.0004,2010-02-03,7300.0,7320.0,7244.0,7316.0,590502.0,708662.0,7282.0,0.993472404102358
R.CN.DCE.y.0004,2010-02-04,7248.0,7288.0,7218.0,7270.0,526208.0,674464.0,7250.0,0.993472404102358
R.CN.DCE.y.0004,2010-02-05,7210.0,7320.0,7210.0,7282.0,655352.0,659320.0,7268.0,0.993472404102358
R.CN.DCE.y.0004,2010-02-08,7332.0,7380.0,7332.0,7368.0,406266.0,643320.0,7358.0,0.993472404102358
R.CN.DCE.y.0004,2010-02-09,7400.0,7406.0,7358.0,7386.0,327076.0,629342.0,7376.0,0.993472404102358
R.CN.DCE.y.0004,2010-02-10,7416.0,7420.0,7334.0,7366.0,395742.0,610322.0,7376.0,0.993472404102358
R.CN.DCE.y.0004,2010-02-11,7400.0,7474.0,7396.0,7432.0,326020.0,565142.0,7440.0,0.993472404102358
