SYMBOL,CLOCK,OPEN,HIGH,LOW,CLOSE,VOLUME,INTEREST,SETTLE,ADJ
R.CN.SHF.ag.0004,2012-05-11,6110.0,6115.0,6000.0,6002.0,206804.0,55020.0,6056.0,1.0
R.CN.SHF.ag.0004,2012-05-14,6040.0,6045.0,5960.0,5976.0,207668.0,57028.0,5999.0,1.0
R.CN.SHF.ag.0004,2012-05-15,5895.0,5910.0,5711.0,5842.0,445150.0,82238.0,5813.0,1.0
R.CN.SHF.ag.0004,2012-05-16,5750.0,5786.0,5643.0,5647.0,599202.0,108376.0,5704.0,1.0
R.CN.SHF.ag.0004,2012-05-17,5705.0,5787.0,5691.0,5763.0,558288.0,89738.0,5748.0,1.0
R.CN.SHF.ag.0004,2012-05-18,5808.0,5881.0,5768.0,5863.0,695576.0,92162.0,5827.0,1.0
R.CN.SHF.ag.0004,2012-05-21,5957.0,5964.0,5903.0,5940.0,405766.0,97686.0,5932.0,1.0
R.CN.SHF.ag.0004,2012-05-22,5920.0,5930.0,5882.0,5890.0,371088.0,90716.0,5903.0,1.0
R.CN.SHF.ag.0004,2012-05-23,5800.0,5818.0,5759.0,5791.0,300170.0,90202.0,5791.0,1.0
R.CN.SHF.ag.0004,2012-05-24,5785.0,5838.0,5766.0,5832.0,301270.0,85938.0,5804.0,1.0
R.CN.SHF.ag.0004,2012-05-25,5858.0,5912.0,5804.0,5904.0,420278.0,92544.0,5849.0,1.0
R.CN.SHF.ag.0004,2012-05-28,5940.0,5992.0,5916.0,5986.0,381418.0,94920.0,5955.0,1.0
R.CN.SHF.ag.0004,2012-05-29,5933.0,5982.0,5922.0,5962.0,349920.0,93104.0,5950.0,1.0
R.CN.SHF.ag.0004,2012-05-30,5817.0,5855.0,5798.0,5801.0,349610.0,94548.0,5826.0,1.0
R.CN.SHF.ag.0004,2012-05-31,5836.0,5878.0,5826.0,5851.0,365958.0,85856.0,5853.0,1.0
R.CN.SHF.ag.0004,2012-06-01,5800.0,5840.0,5771.0,5832.0,296984.0,86528.0,5811.0,1.0
R.CN.SHF.ag.0004,2012-06-04,5923.0,5998.0,5901.0,5949.0,393688.0,87274.0,5951.0,1.0
R.CN.SHF.ag.0004,2012-06-05,5954.0,5985.0,5921.0,5931.0,323394.0,87988.0,5952.0,1.0
R.CN.SHF.ag.0004,2012-06-06,6001.0,6092.0,5991.0,6088.0,343846.0,89946.0,6050.0,1.0
R.CN.SHF.ag.0004,2012-06-07,6145.0,6154.0,6110.0,6134.0,272726.0,91644.0,6125.0,1.0
R.CN.SHF.ag.0004,2012-06-08,6005.0,6023.0,5905.0,5935.0,316480.0,79718.0,5959.0,1.0
R.CN.SHF.ag.0004,2012-06-11,6054.0,6099.0,6031.0,6062.0,207094.0,77300.0,6068.0,1.0
R.CN.SHF.ag.0004,2012-06-12,5992.0,6038.0,5978.0,5989.0,243702.0,87952.0,6005.0,1.0
R.CN.SHF.ag.0004,2012-06-13,6050.0,6083.0,6040.0,6083.0,184636.0,80188.0,6062.0,1.0
R.CN.SHF.ag.0004,2012-06-14,6068.0,6128.0,6061.0,6080.0,189246.0,82052.0,6086.0,1.0
R.CN.SHF.ag.0004,2012-06-15,6050.0,6085.0,6032.0,6070.0,208546.0,80836.0,6062.0,1.0
R.CN.SHF.ag.0004,2012-06-18,6087.0,6095.0,6003.0,6010.0,309918.0,99022.0,6026.0,1.0
R.CN.SHF.ag.0004,2012-06-19,6058.0,6080.0,6045.0,6061.0,168258.0,76972.0,6063.0,1.0
R.CN.SHF.ag.0004,2012-06-20,5996.0,6029.0,5990.0,6010.0,175782.0,83302.0,6007.0,1.0
R.CN.SHF.ag.0004,2012-06-21,5900.0,5925.0,5893.0,5911.0,141540.0,75606.0,5909.0,1.0
R.CN.SHF.ag.0004,2012-06-25,5700.0,5742.0,5691.0,5716.0,162514.0,89926.0,5724.0,1.0
R.CN.SHF.ag.0004,2012-06-26,5830.0,5830.0,5783.0,5791.0,139496.0,83698.0,5809.0,1.0
R.CN.SHF.ag.0004,2012-06-27,5767.0,5771.0,5725.0,5745.0,134318.0,90242.0,5748.0,1.0
R.CN.SHF.ag.0004,2012-06-28,5778.0,5782.0,5733.0,5736.0,120340.0,88594.0,5747.0,1.0
R.CN.SHF.ag.0004,2012-06-29,5651.0,5764.0,5632.0,5751.0,234654.0,83390.0,5704.0,1.0
R.CN.SHF.ag.0004,2012-07-02,5831.0,5835.0,5785.0,5796.0,156980.0,73088.0,5804.0,1.0
R.CN.SHF.ag.0004,2012-07-03,5820.0,5915.0,5810.0,5908.0,186102.0,68056.0,5870.0,1.0
R.CN.SHF.ag.0004,2012-07-04,5952.0,5979.0,5932.0,5948.0,133860.0,61944.0,5952.0,1.0
R.CN.SHF.ag.0004,2012-07-05,5960.0,5995.0,5944.0,5994.0,118224.0,64576.0,5969.0,1.0
R.CN.SHF.ag.0004,2012-07-06,5929.0,5932.0,5864.0,5872.0,148200.0,64902.0,5891.0,1.0
R.CN.SHF.ag.0004,2012-07-09,5790.0,5832.0,5782.0,5808.0,141662.0,71908.0,5806.0,1.0
R.CN.SHF.ag.0004,2012-07-10,5813.0,5834.0,5795.0,5798.0,100886.0,69612.0,5812.0,1.0
R.CN.SHF.ag.0004,2012-07-11,5755.0,5780.0,5750.0,5775.0,95462.0,69574.0,5767.0,1.0
R.CN.SHF.ag.0004,2012-07-12,5774.0,5779.0,5728.0,5743.0,113558.0,77556.0,5745.0,1.0
R.CN.SHF.ag.0004,2012-07-13,5770.0,5830.0,5764.0,5828.0,96864.0,69344.0,5799.0,1.0
R.CN.SHF.ag.0004,2012-07-16,5810.0,5834.0,5787.0,5828.0,90630.0,63190.0,5811.0,1.0
R.CN.SHF.ag.0004,2012-07-17,5845.0,5877.0,5812.0,5830.0,104858.0,59076.0,5847.0,1.0
R.CN.SHF.ag.0004,2012-07-18,5835.0,5838.0,5780.0,5811.0,76044.0,57180.0,5805.0,1.0
R.CN.SHF.ag.0004,2012-07-19,5815.0,5828.0,5797.0,5822.0,64602.0,55478.0,5814.0,1.0
R.CN.SHF.ag.0004,2012-07-20,5809.0,5811.0,5787.0,5799.0,61744.0,54728.0,5799.0,1.0
R.CN.SHF.ag.0004,2012-07-23,5806.0,5808.0,5755.0,5761.0,60596.0,50946.0,5782.0,1.0
R.CN.SHF.ag.0004,2012-07-24,5796.0,5822.0,5792.0,5794.0,63916.0,53654.0,5805.0,0.994991364421416
R.CN.SHF.ag.0004,2012-07-25,5784.0,5817.0,5740.0,5740.0,81420.0,64072.0,5788.0,0.994991364421416
R.CN.SHF.ag.0004,2012-07-26,5840.0,5886.0,5820.0,5872.0,100676.0,55172.0,5859.0,0.994991364421416
R.CN.SHF.ag.0004,2012-07-27,5862.0,5932.0,5862.0,5927.0,83740.0,57758.0,5897.0,0.994991364421416
R.CN.SHF.ag.0004,2012-07-30,5923.0,5925.0,5887.0,5893.0,66076.0,53020.0,5905.0,0.994991364421416
R.CN.SHF.ag.0004,2012-07-31,5978.0,6044.0,5972.0,6024.0,124084.0,61994.0,6018.0,0.994991364421416
R.CN.SHF.ag.0004,2012-08-01,5965.0,5992.0,5949.0,5990.0,76542.0,60402.0,5972.0,0.994991364421416
R.CN.SHF.ag.0004,2012-08-02,5880.0,5910.0,5880.0,5896.0,67152.0,60746.0,5898.0,0.994991364421416
R.CN.SHF.ag.0004,2012-08-03,5866.0,5868.0,5842.0,5862.0,54240.0,62202.0,5852.0,0.994991364421416
R.CN.SHF.ag.0004,2012-08-06,5970.0,5972.0,5941.0,5952.0,48632.0,58854.0,5953.0,0.994991364421416
R.CN.SHF.ag.0004,2012-08-07,5966.0,5974.0,5956.0,5966.0,38914.0,58194.0,5965.0,0.994991364421416
R.CN.SHF.ag.0004,2012-08-08,5999.0,5999.0,5953.0,5955.0,56720.0,60102.0,5977.0,0.994991364421416
R.CN.SHF.ag.0004,2012-08-09,5988.0,6022.0,5980.0,6020.0,70034.0,69126.0,6005.0,0.994991364421416
R.CN.SHF.ag.0004,2012-08-10,6005.0,6006.0,5961.0,5976.0,56594.0,65498.0,5983.0,0.994991364421416
R.CN.SHF.ag.0004,2012-08-13,6004.0,6024.0,5986.0,5995.0,78452.0,68494.0,6002.0,0.994991364421416
R.CN.SHF.ag.0004,2012-08-14,5974.0,5980.0,5944.0,5976.0,62094.0,63982.0,5961.0,0.994991364421416
R.CN.SHF.ag.0004,2012-08-15,5961.0,5969.0,5950.0,5953.0,42428.0,62360.0,5959.0,0.994991364421416
R.CN.SHF.ag.0004,2012-08-16,5969.0,5978.0,5945.0,5952.0,40694.0,64478.0,5961.0,0.994991364421416
R.CN.SHF.ag.0004,2012-08-17,6016.0,6037.0,6003.0,6031.0,58038.0,70790.0,6018.0,0.994991364421416
R.CN.SHF.ag.0004,2012-08-20,6000.0,6034.0,5996.0,6019.0,53440.0,71480.0,6017.0,0.994991364421416
R.CN.SHF.ag.0004,2012-08-21,6100.0,6158.0,6094.0,6148.0,119104.0,91262.0,6129.0,0.994991364421416
R.CN.SHF.ag.0004,2012-08-22,6208.0,6266.0,6202.0,6260.0,112388.0,102880.0,6239.0,0.994991364421416
R.CN.SHF.ag.0004,2012-08-23,6337.0,6565.0,6333.0,6526.0,418584.0,151188.0,6477.0,0.994991364421416
R.CN.SHF.ag.0004,2012-08-24,6518.0,6548.0,6459.0,6487.0,313812.0,155740.0,6504.0,0.994991364421416
R.CN.SHF.ag.0004,2012-08-27,6588.0,6708.0,6585.0,6631.0,469970.0,161640.0,6650.0,0.994991364421416
R.CN.SHF.ag.0004,2012-08-28,6551.0,6575.0,6516.0,6566.0,226954.0,168502.0,6549.0,0.994991364421416
R.CN.SHF.ag.0004,2012-08-29,6569.0,6624.0,6560.0,6620.0,305838.0,176832.0,6589.0,0.994991364421416
R.CN.SHF.ag.0004,2012-08-30,6580.0,6587.0,6525.0,6573.0,251916.0,171226.0,6560.0,0.994991364421416
R.CN.SHF.ag.0004,2012-08-31,6500.0,6504.0,6463.0,6494.0,208992.0,156164.0,6485.0,0.994991364421416
R.CN.SHF.ag.0004,2012-09-03,6731.0,6849.0,6730.0,6820.0,309066.0,196858.0,6810.0,0.994991364421416
R.CN.SHF.ag.0004,2012-09-04,6900.0,6932.0,6837.0,6876.0,270772.0,190506.0,6885.0,0.994991364421416
R.CN.SHF.ag.0004,2012-09-05,6869.0,6904.0,6855.0,6879.0,198896.0,201866.0,6881.0,0.994991364421416
R.CN.SHF.ag.0004,2012-09-06,6900.0,7072.0,6889.0,7043.0,504852.0,261088.0,6997.0,0.994991364421416
R.CN.SHF.ag.0004,2012-09-07,6986.0,7006.0,6802.0,6874.0,566630.0,196494.0,6898.0,0.994991364421416
R.CN.SHF.ag.0004,2012-09-10,7182.0,7272.0,7175.0,7213.0,382854.0,208422.0,7219.0,0.994991364421416
R.CN.SHF.ag.0004,2012-09-11,7170.0,7195.0,7115.0,7188.0,361810.0,205490.0,7157.0,0.994991364421416
R.CN.SHF.ag.0004,2012-09-12,7200.0,7221.0,7166.0,7183.0,283694.0,212072.0,7188.0,0.994991364421416
R.CN.SHF.ag.0004,2012-09-13,7109.0,7123.0,7051.0,7056.0,261606.0,207530.0,7089.0,0.994991364421416
R.CN.SHF.ag.0004,2012-09-14,7450.0,7506.0,7356.0,7384.0,421404.0,201770.0,7419.0,0.994991364421416
R.CN.SHF.ag.0004,2012-09-17,7399.0,7405.0,7342.0,7352.0,225840.0,204484.0,7376.0,0.994991364421416
R.CN.SHF.ag.0004,2012-09-18,7275.0,7295.0,7220.0,7289.0,251114.0,197726.0,7253.0,0.994991364421416
R.CN.SHF.ag.0004,2012-09-19,7374.0,7438.0,7300.0,7435.0,388030.0,217028.0,7374.0,0.994991364421416
R.CN.SHF.ag.0004,2012-09-20,7367.0,7405.0,7283.0,7307.0,382430.0,211416.0,7342.0,0.994991364421416
R.CN.SHF.ag.0004,2012-09-21,7396.0,7419.0,7364.0,7409.0,305904.0,222722.0,7392.0,0.994991364421416
R.CN.SHF.ag.0004,2012-09-24,7254.0,7258.0,7098.0,7165.0,333096.0,190172.0,7154.0,0.994991364421416
R.CN.SHF.ag.0004,2012-09-25,7215.0,7220.0,7123.0,7159.0,223366.0,190490.0,7164.0,0.994991364421416
R.CN.SHF.ag.0004,2012-09-26,7120.0,7193.0,7118.0,7150.0,214708.0,175276.0,7158.0,0.994991364421416
R.CN.SHF.ag.0004,2012-09-27,7175.0,7237.0,7168.0,7234.0,264536.0,190514.0,7205.0,0.994991364421416
R.CN.SHF.ag.0004,2012-09-28,7370.0,7405.0,7310.0,7378.0,228456.0,194762.0,7352.0,0.994991364421416
R.CN.SHF.ag.0004,2012-10-08,7256.0,7264.0,7035.0,7107.0,325632.0,164834.0,7122.0,0.994991364421416
