SYMBOL,CLOCK,OPEN,HIGH,LOW,CLOSE,VOLUME,INTEREST,SETTLE,ADJ
R.CN.SHF.al.0004,2010-01-04,17440.0,17450.0,17185.0,17200.0,131892.0,127660.0,17300.0,0.837698920252234
R.CN.SHF.al.0004,2010-01-05,17250.0,17570.0,17240.0,17540.0,215870.0,146912.0,17425.0,0.837698920252234
R.CN.SHF.al.0004,2010-01-06,17520.0,18295.0,17520.0,18160.0,430170.0,164378.0,18035.0,0.837698920252234
R.CN.SHF.al.0004,2010-01-07,18400.0,18685.0,17200.0,17835.0,495942.0,159386.0,18040.0,0.837698920252234
R.CN.SHF.al.0004,2010-01-08,17770.0,17890.0,17320.0,17500.0,356244.0,145602.0,17575.0,0.837698920252234
R.CN.SHF.al.0004,2010-01-11,17770.0,18270.0,17750.0,18260.0,335398.0,163544.0,17985.0,0.837698920252234
R.CN.SHF.al.0004,2010-01-12,18180.0,18325.0,17960.0,18255.0,520554.0,175814.0,18160.0,0.837698920252234
R.CN.SHF.al.0004,2010-01-13,17500.0,17640.0,17250.0,17410.0,374130.0,149034.0,17470.0,0.837698920252234
R.CN.SHF.al.0004,2010-01-14,17810.0,17815.0,17550.0,17600.0,182448.0,148542.0,17650.0,0.837698920252234
R.CN.SHF.al.0004,2010-01-15,17680.0,17825.0,17465.0,17590.0,223298.0,141990.0,17650.0,0.837698920252234
R.CN.SHF.al.0004,2010-01-18,17400.0,17715.0,17350.0,17665.0,107274.0,139062.0,17585.0,0.837698920252234
R.CN.SHF.al.0004,2010-01-19,17640.0,17860.0,17610.0,17735.0,147694.0,123694.0,17720.0,0.837698920252234
R.CN.SHF.al.0004,2010-01-20,17730.0,17780.0,17405.0,17410.0,71252.0,115292.0,17570.0,0.837698920252234
R.CN.SHF.al.0004,2010-01-21,17300.0,17490.0,17290.0,17465.0,41894.0,112484.0,17400.0,0.837698920252234
R.CN.SHF.al.0004,2010-01-22,17275.0,17370.0,16930.0,17060.0,59878.0,104184.0,17150.0,0.837698920252234
R.CN.SHF.al.0004,2010-01-25,17195.0,17465.0,17110.0,17350.0,164152.0,110512.0,17300.0,0.830638975850225
R.CN.SHF.al.0004,2010-01-26,17360.0,17415.0,17100.0,17115.0,167954.0,111578.0,17265.0,0.830638975850225
R.CN.SHF.al.0004,2010-01-27,17200.0,17255.0,17090.0,17155.0,130144.0,112064.0,17180.0,0.830638975850225
R.CN.SHF.al.0004,2010-01-28,16720.0,16770.0,16405.0,16460.0,246752.0,115150.0,16570.0,0.830638975850225
R.CN.SHF.al.0004,2010-01-29,16170.0,16305.0,16020.0,16140.0,216634.0,108346.0,16185.0,0.830638975850225
R.CN.SHF.al.0004,2010-02-01,16210.0,16365.0,15935.0,16345.0,365148.0,117644.0,16185.0,0.830638975850225
R.CN.SHF.al.0004,2010-02-02,16410.0,16490.0,16245.0,16370.0,195952.0,107990.0,16345.0,0.830638975850225
R.CN.SHF.al.0004,2010-02-03,16525.0,16755.0,16420.0,16745.0,265786.0,112130.0,16610.0,0.830638975850225
R.CN.SHF.al.0004,2010-02-04,16400.0,16645.0,16300.0,16520.0,205216.0,107566.0,16485.0,0.830638975850225
R.CN.SHF.al.0004,2010-02-05,16150.0,16305.0,16130.0,16280.0,182194.0,105306.0,16225.0,0.830638975850225
R.CN.SHF.al.0004,2010-02-08,16300.0,16390.0,16200.0,16305.0,130992.0,104850.0,16280.0,0.830638975850225
