SYMBOL,CLOCK,OPEN,HIGH,LOW,CLOSE,VOLUME,INTEREST,SETTLE,ADJ
R.CN.SHF.au.0004,2010-01-04,245.38,247.43,244.58,245.96,57752.0,101232.0,246.01,1.00282208356286
R.CN.SHF.au.0004,2010-01-05,250.0,253.28,249.71,253.23,74798.0,106498.0,251.4,1.00282208356286
R.CN.SHF.au.0004,2010-01-06,251.01,253.14,250.59,251.1,73904.0,109054.0,252.17,1.00282208356286
R.CN.SHF.au.0004,2010-01-07,255.1,255.5,251.2,252.36,86698.0,100124.0,253.19,1.00282208356286
R.CN.SHF.au.0004,2010-01-08,251.22,251.22,249.0,249.56,53716.0,91082.0,249.93,1.00282208356286
R.CN.SHF.au.0004,2010-01-11,257.5,258.44,256.66,256.85,51302.0,93998.0,257.41,1.00282208356286
R.CN.SHF.au.0004,2010-01-12,256.85,257.5,255.38,257.15,38234.0,94330.0,256.53,1.00282208356286
R.CN.SHF.au.0004,2010-01-13,251.0,251.0,249.3,250.72,49252.0,83830.0,250.34,1.00282208356286
R.CN.SHF.au.0004,2010-01-14,254.28,254.38,252.41,252.97,27014.0,81238.0,253.12,1.00282208356286
R.CN.SHF.au.0004,2010-01-15,253.22,253.55,251.81,252.21,25270.0,78682.0,252.62,1.00282208356286
R.CN.SHF.au.0004,2010-01-18,250.5,252.05,249.91,251.81,25412.0,79576.0,250.98,1.00282208356286
R.CN.SHF.au.0004,2010-01-19,252.4,253.0,251.89,252.39,19448.0,81094.0,252.43,1.00282208356286
R.CN.SHF.au.0004,2010-01-20,253.49,253.99,251.2,251.38,32490.0,81338.0,252.46,1.00282208356286
R.CN.SHF.au.0004,2010-01-21,247.5,248.31,246.51,248.3,38986.0,79524.0,247.56,1.00282208356286
R.CN.SHF.au.0004,2010-01-22,243.05,243.99,242.66,243.32,35292.0,76678.0,243.37,1.00282208356286
R.CN.SHF.au.0004,2010-01-25,243.32,245.99,243.0,245.36,34950.0,77788.0,244.68,1.00282208356286
R.CN.SHF.au.0004,2010-01-26,245.77,246.28,242.72,243.1,37918.0,73382.0,244.28,1.00282208356286
R.CN.SHF.au.0004,2010-01-27,244.57,245.15,243.54,243.81,28192.0,74518.0,244.47,1.00282208356286
