SYMBOL,CLOCK,OPEN,HIGH,LOW,CLOSE,VOLUME,INTEREST,SETTLE,ADJ
R.CN.SHF.hc.0004,2014-03-24,3314.0,3330.0,3266.0,3330.0,86810.0,47616.0,3304.0,1.0
R.CN.SHF.hc.0004,2014-03-25,3326.0,3400.0,3320.0,3378.0,119854.0,61256.0,3358.0,1.0
R.CN.SHF.hc.0004,2014-03-26,3370.0,3382.0,3354.0,3376.0,37876.0,60560.0,3368.0,1.0
R.CN.SHF.hc.0004,2014-03-27,3368.0,3386.0,3350.0,3362.0,40230.0,61430.0,3364.0,1.0
R.CN.SHF.hc.0004,2014-03-28,3376.0,3386.0,3360.0,3382.0,34290.0,63080.0,3372.0,1.0
R.CN.SHF.hc.0004,2014-03-31,3396.0,3422.0,3382.0,3410.0,60970.0,65640.0,3402.0,1.0
R.CN.SHF.hc.0004,2014-04-01,3412.0,3418.0,3396.0,3414.0,17896.0,64136.0,3406.0,1.0
R.CN.SHF.hc.0004,2014-04-02,3410.0,3426.0,3388.0,3390.0,28570.0,68700.0,3404.0,1.0
R.CN.SHF.hc.0004,2014-04-03,3384.0,3414.0,3382.0,3410.0,20706.0,68410.0,3398.0,1.0
R.CN.SHF.hc.0004,2014-04-04,3412.0,3440.0,3402.0,3440.0,21360.0,70094.0,3422.0,1.0
R.CN.SHF.hc.0004,2014-04-08,3450.0,3488.0,3442.0,3480.0,40286.0,80872.0,3468.0,1.0
R.CN.SHF.hc.0004,2014-04-09,3488.0,3488.0,3444.0,3452.0,32902.0,81834.0,3462.0,1.0
R.CN.SHF.hc.0004,2014-04-10,3450.0,3470.0,3442.0,3446.0,19630.0,81232.0,3456.0,1.0
R.CN.SHF.hc.0004,2014-04-11,3430.0,3452.0,3430.0,3434.0,13100.0,76840.0,3440.0,1.0
R.CN.SHF.hc.0004,2014-04-14,3432.0,3464.0,3432.0,3438.0,12642.0,77020.0,3446.0,1.0
R.CN.SHF.hc.0004,2014-04-15,3442.0,3448.0,3418.0,3448.0,20724.0,75524.0,3430.0,1.0
R.CN.SHF.hc.0004,2014-04-16,3446.0,3446.0,3410.0,3418.0,18538.0,68152.0,3418.0,1.0
R.CN.SHF.hc.0004,2014-04-17,3428.0,3428.0,3410.0,3412.0,5590.0,67404.0,3418.0,1.0
R.CN.SHF.hc.0004,2014-04-18,3410.0,3412.0,3346.0,3354.0,51760.0,66498.0,3370.0,1.0
R.CN.SHF.hc.0004,2014-04-21,3340.0,3364.0,3340.0,3340.0,8292.0,64836.0,3350.0,1.0
R.CN.SHF.hc.0004,2014-04-22,3340.0,3366.0,3324.0,3354.0,23958.0,60950.0,3344.0,1.0
R.CN.SHF.hc.0004,2014-04-23,3358.0,3388.0,3336.0,3380.0,19844.0,58920.0,3358.0,1.0
R.CN.SHF.hc.0004,2014-04-24,3376.0,3396.0,3366.0,3390.0,12648.0,58086.0,3380.0,1.0
R.CN.SHF.hc.0004,2014-04-25,3398.0,3400.0,3372.0,3378.0,8566.0,58570.0,3382.0,1.0
R.CN.SHF.hc.0004,2014-04-28,3372.0,3372.0,3334.0,3336.0,17354.0,56630.0,3342.0,1.0
R.CN.SHF.hc.0004,2014-04-29,3334.0,3374.0,3334.0,3360.0,8736.0,55692.0,3358.0,1.0
R.CN.SHF.hc.0004,2014-04-30,3370.0,3370.0,3338.0,3344.0,9948.0,55210.0,3344.0,1.0
R.CN.SHF.hc.0004,2014-05-05,3334.0,3362.0,3224.0,3352.0,11568.0,53726.0,3340.0,1.0
R.CN.SHF.hc.0004,2014-05-06,3342.0,3364.0,3336.0,3344.0,4722.0,52980.0,3350.0,1.0
R.CN.SHF.hc.0004,2014-05-07,3338.0,3358.0,3330.0,3332.0,9532.0,52784.0,3340.0,1.0
R.CN.SHF.hc.0004,2014-05-08,3330.0,3338.0,3310.0,3312.0,13298.0,49644.0,3320.0,1.0
R.CN.SHF.hc.0004,2014-05-09,3312.0,3330.0,3302.0,3318.0,9612.0,49350.0,3318.0,1.0
R.CN.SHF.hc.0004,2014-05-12,3332.0,3336.0,3298.0,3336.0,11512.0,48264.0,3316.0,1.0
R.CN.SHF.hc.0004,2014-05-13,3336.0,3346.0,3320.0,3326.0,6694.0,47826.0,3332.0,1.0
R.CN.SHF.hc.0004,2014-05-14,3326.0,3330.0,3314.0,3324.0,7744.0,45016.0,3318.0,1.0
R.CN.SHF.hc.0004,2014-05-15,3324.0,3328.0,3298.0,3300.0,4666.0,44738.0,3312.0,1.0
R.CN.SHF.hc.0004,2014-05-16,3294.0,3300.0,3240.0,3272.0,11898.0,44178.0,3272.0,1.0
R.CN.SHF.hc.0004,2014-05-19,3262.0,3284.0,3250.0,3264.0,7402.0,43860.0,3268.0,1.0
R.CN.SHF.hc.0004,2014-05-20,3260.0,3276.0,3254.0,3262.0,3226.0,43792.0,3264.0,1.0
R.CN.SHF.hc.0004,2014-05-21,3264.0,3284.0,3254.0,3274.0,5076.0,44056.0,3266.0,1.0
R.CN.SHF.hc.0004,2014-05-22,3272.0,3314.0,3272.0,3280.0,5670.0,44030.0,3292.0,1.0
R.CN.SHF.hc.0004,2014-05-23,3286.0,3294.0,3276.0,3282.0,2478.0,43846.0,3284.0,1.0
R.CN.SHF.hc.0004,2014-05-26,3288.0,3330.0,3286.0,3326.0,6526.0,43958.0,3316.0,1.0
R.CN.SHF.hc.0004,2014-05-27,3332.0,3370.0,3320.0,3340.0,17214.0,47808.0,3348.0,1.0
R.CN.SHF.hc.0004,2014-05-28,3300.0,3342.0,3300.0,3312.0,6688.0,47400.0,3324.0,1.0
R.CN.SHF.hc.0004,2014-05-29,3308.0,3324.0,3300.0,3308.0,5696.0,47004.0,3310.0,1.0
R.CN.SHF.hc.0004,2014-05-30,3300.0,3300.0,3252.0,3264.0,11890.0,46412.0,3270.0,1.0
R.CN.SHF.hc.0004,2014-06-03,3256.0,3290.0,3246.0,3268.0,11494.0,45992.0,3270.0,1.0
R.CN.SHF.hc.0004,2014-06-04,3268.0,3276.0,3260.0,3262.0,7822.0,46136.0,3268.0,1.0
R.CN.SHF.hc.0004,2014-06-05,3268.0,3284.0,3252.0,3270.0,13050.0,44186.0,3264.0,1.0
R.CN.SHF.hc.0004,2014-06-06,3276.0,3282.0,3260.0,3282.0,5212.0,43436.0,3270.0,1.0
R.CN.SHF.hc.0004,2014-06-09,3278.0,3282.0,3254.0,3262.0,11062.0,39938.0,3266.0,1.0
R.CN.SHF.hc.0004,2014-06-10,3262.0,3272.0,3230.0,3268.0,8890.0,39432.0,3252.0,1.0
R.CN.SHF.hc.0004,2014-06-11,3270.0,3278.0,3254.0,3260.0,5292.0,39396.0,3262.0,1.0
R.CN.SHF.hc.0004,2014-06-12,3252.0,3256.0,3230.0,3246.0,12012.0,39652.0,3244.0,1.0
R.CN.SHF.hc.0004,2014-06-13,3238.0,3258.0,3230.0,3248.0,12994.0,40670.0,3246.0,1.0
R.CN.SHF.hc.0004,2014-06-16,3250.0,3250.0,3216.0,3226.0,18710.0,45438.0,3228.0,1.0
R.CN.SHF.hc.0004,2014-06-17,3218.0,3246.0,3208.0,3238.0,7882.0,44160.0,3230.0,1.0
R.CN.SHF.hc.0004,2014-06-18,3240.0,3276.0,3232.0,3264.0,19098.0,45192.0,3258.0,1.0
R.CN.SHF.hc.0004,2014-06-19,3266.0,3280.0,3260.0,3264.0,17156.0,47470.0,3272.0,1.0
R.CN.SHF.hc.0004,2014-06-20,3270.0,3286.0,3254.0,3278.0,19092.0,50848.0,3270.0,1.0
R.CN.SHF.hc.0004,2014-06-23,3282.0,3304.0,3278.0,3298.0,8742.0,49562.0,3292.0,1.0
R.CN.SHF.hc.0004,2014-06-24,3300.0,3300.0,3278.0,3282.0,6520.0,48822.0,3282.0,1.0
R.CN.SHF.hc.0004,2014-06-25,3290.0,3292.0,3272.0,3288.0,6804.0,49218.0,3284.0,1.0
R.CN.SHF.hc.0004,2014-06-26,3296.0,3320.0,3288.0,3320.0,11450.0,45718.0,3310.0,1.0
R.CN.SHF.hc.0004,2014-06-27,3322.0,3328.0,3302.0,3304.0,4814.0,46066.0,3314.0,1.0
R.CN.SHF.hc.0004,2014-06-30,3300.0,3308.0,3286.0,3286.0,4932.0,44760.0,3290.0,1.0
R.CN.SHF.hc.0004,2014-07-01,3288.0,3296.0,3276.0,3294.0,3924.0,44460.0,3282.0,1.0
R.CN.SHF.hc.0004,2014-07-02,3294.0,3312.0,3278.0,3308.0,7372.0,43246.0,3298.0,1.0
R.CN.SHF.hc.0004,2014-07-03,3312.0,3328.0,3306.0,3310.0,6234.0,43904.0,3316.0,1.0
R.CN.SHF.hc.0004,2014-07-04,3308.0,3314.0,3296.0,3306.0,5872.0,42924.0,3306.0,1.0
R.CN.SHF.hc.0004,2014-07-07,3312.0,3312.0,3284.0,3294.0,5172.0,41674.0,3296.0,1.0
R.CN.SHF.hc.0004,2014-07-08,3294.0,3314.0,3286.0,3312.0,6470.0,43144.0,3298.0,1.0
R.CN.SHF.hc.0004,2014-07-09,3310.0,3316.0,3292.0,3298.0,5230.0,43120.0,3308.0,1.0
R.CN.SHF.hc.0004,2014-07-10,3302.0,3340.0,3296.0,3328.0,9708.0,43068.0,3322.0,1.0
R.CN.SHF.hc.0004,2014-07-11,3338.0,3344.0,3320.0,3342.0,7836.0,44582.0,3332.0,1.0
R.CN.SHF.hc.0004,2014-07-14,3348.0,3366.0,3344.0,3364.0,12282.0,44654.0,3356.0,1.0
R.CN.SHF.hc.0004,2014-07-15,3362.0,3388.0,3356.0,3360.0,7740.0,45640.0,3364.0,1.0
R.CN.SHF.hc.0004,2014-07-16,3358.0,3362.0,3344.0,3344.0,5070.0,44050.0,3352.0,1.0
R.CN.SHF.hc.0004,2014-07-17,3300.0,3350.0,3300.0,3328.0,6182.0,41722.0,3330.0,1.0
R.CN.SHF.hc.0004,2014-07-18,3328.0,3328.0,3270.0,3276.0,12988.0,38676.0,3300.0,1.0
