SYMBOL,CLOCK,OPEN,HIGH,LOW,CLOSE,VOLUME,INTEREST,SETTLE,ADJ
R.CN.SHF.sn.0004,2015-03-30,119270.0,119530.0,115600.0,118080.0,2468.0,830.0,117720.0,1.0
R.CN.SHF.sn.0004,2015-03-31,117650.0,119800.0,115960.0,118160.0,4522.0,1176.0,117790.0,1.0
R.CN.SHF.sn.0004,2015-04-01,118020.0,118880.0,117070.0,117910.0,4374.0,1272.0,118280.0,1.0
R.CN.SHF.sn.0004,2015-04-02,117970.0,119080.0,117970.0,118620.0,2716.0,1038.0,118540.0,1.0
R.CN.SHF.sn.0004,2015-04-03,118810.0,119470.0,118560.0,118850.0,1390.0,1000.0,118950.0,1.0
R.CN.SHF.sn.0004,2015-04-07,118890.0,119090.0,118270.0,118860.0,848.0,904.0,118630.0,1.0
R.CN.SHF.sn.0004,2015-04-08,118710.0,118890.0,117150.0,117870.0,848.0,750.0,118200.0,1.0
R.CN.SHF.sn.0004,2015-04-09,117570.0,117980.0,116500.0,116790.0,816.0,802.0,117190.0,1.0
R.CN.SHF.sn.0004,2015-04-10,116500.0,116980.0,115320.0,115990.0,2418.0,916.0,115860.0,1.0
R.CN.SHF.sn.0004,2015-04-13,115960.0,116290.0,115270.0,115940.0,1628.0,1008.0,115750.0,1.0
R.CN.SHF.sn.0004,2015-04-14,115550.0,115650.0,112300.0,112300.0,5588.0,1894.0,113680.0,1.0
R.CN.SHF.sn.0004,2015-04-15,112400.0,114140.0,112320.0,113850.0,4132.0,1692.0,113530.0,1.0
R.CN.SHF.sn.0004,2015-04-16,113200.0,113700.0,111010.0,112880.0,3866.0,1962.0,112780.0,1.0
R.CN.SHF.sn.0004,2015-04-17,113010.0,113010.0,109300.0,110000.0,11322.0,3584.0,111110.0,1.0
R.CN.SHF.sn.0004,2015-04-20,112000.0,112960.0,111120.0,111440.0,10518.0,2656.0,111850.0,1.0
R.CN.SHF.sn.0004,2015-04-21,111840.0,111880.0,111100.0,111550.0,3434.0,2964.0,111470.0,1.0
R.CN.SHF.sn.0004,2015-04-22,112190.0,113430.0,112190.0,112940.0,5870.0,2738.0,112870.0,1.0
R.CN.SHF.sn.0004,2015-04-23,113400.0,113760.0,112960.0,113300.0,3310.0,2468.0,113430.0,1.0
R.CN.SHF.sn.0004,2015-04-24,113350.0,113950.0,112750.0,113940.0,2088.0,2526.0,113430.0,1.0
R.CN.SHF.sn.0004,2015-04-27,114400.0,117960.0,114400.0,117960.0,16994.0,3096.0,116530.0,1.0
R.CN.SHF.sn.0004,2015-04-28,117970.0,118550.0,116500.0,117400.0,31980.0,4452.0,117740.0,1.0
R.CN.SHF.sn.0004,2015-04-29,117140.0,117720.0,115110.0,115370.0,10628.0,4638.0,116820.0,1.0
R.CN.SHF.sn.0004,2015-04-30,116000.0,119900.0,115050.0,117640.0,17782.0,5578.0,117360.0,1.0
R.CN.SHF.sn.0004,2015-05-04,117360.0,119520.0,117360.0,118800.0,8824.0,6072.0,118830.0,1.0
R.CN.SHF.sn.0004,2015-05-05,119000.0,119780.0,118000.0,118680.0,12990.0,6392.0,118920.0,1.0
R.CN.SHF.sn.0004,2015-05-06,119650.0,123670.0,119500.0,123400.0,32668.0,8600.0,122030.0,1.0
R.CN.SHF.sn.0004,2015-05-07,123300.0,125910.0,121500.0,122030.0,51604.0,7606.0,123860.0,1.0
R.CN.SHF.sn.0004,2015-05-08,122700.0,122960.0,120020.0,121360.0,22070.0,7344.0,121310.0,1.0
R.CN.SHF.sn.0004,2015-05-11,120890.0,122690.0,120710.0,122400.0,13824.0,7580.0,121670.0,1.0
R.CN.SHF.sn.0004,2015-05-12,121100.0,121930.0,119690.0,119970.0,17242.0,7502.0,121020.0,1.0
R.CN.SHF.sn.0004,2015-05-13,120800.0,121100.0,120000.0,120700.0,10418.0,7156.0,120580.0,1.0
R.CN.SHF.sn.0004,2015-05-14,120700.0,122480.0,117800.0,119500.0,31286.0,7222.0,120460.0,1.0
R.CN.SHF.sn.0004,2015-05-15,119190.0,119680.0,118610.0,119100.0,11000.0,7396.0,119170.0,1.0
