SYMBOL,CLOCK,OPEN,HIGH,LOW,CLOSE,VOLUME,INTEREST,SETTLE,ADJ
R.CN.SHF.zn.0004,2010-01-04,21405.0,21725.0,21250.0,21435.0,379208.0,159712.0,21505.0,0.929704427773785
R.CN.SHF.zn.0004,2010-01-05,21470.0,21700.0,21255.0,21650.0,470848.0,168020.0,21500.0,0.929704427773785
R.CN.SHF.zn.0004,2010-01-06,21580.0,21935.0,21510.0,21740.0,415594.0,161544.0,21775.0,0.929704427773785
R.CN.SHF.zn.0004,2010-01-07,22150.0,22600.0,21350.0,21725.0,520498.0,146986.0,21980.0,0.929704427773785
R.CN.SHF.zn.0004,2010-01-08,21520.0,21705.0,20900.0,21210.0,614318.0,140680.0,21265.0,0.929704427773785
R.CN.SHF.zn.0004,2010-01-11,21510.0,21780.0,21350.0,21735.0,373446.0,135738.0,21605.0,0.929704427773785
R.CN.SHF.zn.0004,2010-01-12,21600.0,21600.0,21125.0,21490.0,448548.0,147190.0,21365.0,0.929704427773785
R.CN.SHF.zn.0004,2010-01-13,20515.0,20830.0,20325.0,20450.0,360390.0,134540.0,20600.0,0.929704427773785
R.CN.SHF.zn.0004,2010-01-14,20935.0,20965.0,20520.0,20610.0,360666.0,142024.0,20705.0,0.929704427773785
R.CN.SHF.zn.0004,2010-01-15,20550.0,20845.0,20200.0,20470.0,412092.0,133166.0,20545.0,0.929704427773785
R.CN.SHF.zn.0004,2010-01-18,20290.0,20575.0,20235.0,20550.0,282532.0,119920.0,20415.0,0.929704427773785
R.CN.SHF.zn.0004,2010-01-19,20685.0,20970.0,20560.0,20950.0,257556.0,97614.0,20790.0,0.929704427773785
R.CN.SHF.zn.0004,2010-01-20,21300.0,21420.0,20920.0,20950.0,549688.0,137176.0,21115.0,0.921130657926734
R.CN.SHF.zn.0004,2010-01-21,20770.0,20980.0,20530.0,20925.0,547954.0,143084.0,20735.0,0.921130657926734
R.CN.SHF.zn.0004,2010-01-22,20400.0,20530.0,19700.0,19930.0,627324.0,158540.0,20120.0,0.921130657926734
R.CN.SHF.zn.0004,2010-01-25,19900.0,20165.0,19720.0,20025.0,569736.0,171296.0,19955.0,0.921130657926734
R.CN.SHF.zn.0004,2010-01-26,20040.0,20130.0,19330.0,19390.0,810362.0,216286.0,19770.0,0.921130657926734
R.CN.SHF.zn.0004,2010-01-27,19550.0,19645.0,19335.0,19450.0,694706.0,195344.0,19490.0,0.921130657926734
R.CN.SHF.zn.0004,2010-01-28,18710.0,18895.0,18515.0,18515.0,421842.0,194452.0,18660.0,0.921130657926734
R.CN.SHF.zn.0004,2010-01-29,18230.0,18265.0,17530.0,17590.0,827258.0,188626.0,17990.0,0.921130657926734
R.CN.SHF.zn.0004,2010-02-01,17570.0,17830.0,17120.0,17430.0,1014014.0,200092.0,17425.0,0.921130657926734
R.CN.SHF.zn.0004,2010-02-02,17800.0,17830.0,17160.0,17305.0,811038.0,177090.0,17490.0,0.921130657926734
R.CN.SHF.zn.0004,2010-02-03,17510.0,18175.0,17395.0,18160.0,1037960.0,170240.0,17790.0,0.921130657926734
R.CN.SHF.zn.0004,2010-02-04,17550.0,17945.0,17340.0,17680.0,1127880.0,171416.0,17665.0,0.921130657926734
R.CN.SHF.zn.0004,2010-02-05,17080.0,17250.0,16910.0,17145.0,818788.0,162160.0,17100.0,0.921130657926734
R.CN.SHF.zn.0004,2010-02-08,17105.0,17500.0,17105.0,17180.0,733668.0,166092.0,17280.0,0.921130657926734
R.CN.SHF.zn.0004,2010-02-09,17100.0,17395.0,16935.0,17310.0,855268.0,172146.0,17225.0,0.921130657926734
R.CN.SHF.zn.0004,2010-02-10,17590.0,17795.0,17460.0,17685.0,749502.0,154572.0,17645.0,0.921130657926734
R.CN.SHF.zn.0004,2010-02-11,17750.0,18145.0,17700.0,18075.0,652988.0,143436.0,17990.0,0.921130657926734
R.CN.SHF.zn.0004,2010-02-12,18350.0,18415.0,18150.0,18345.0,346594.0,123522.0,18320.0,0.921130657926734
R.CN.SHF.zn.0004,2010-02-22,19480.0,19480.0,18800.0,18840.0,318244.0,110260.0,18970.0,0.921130657926734
R.CN.SHF.zn.0004,2010-02-23,18690.0,18850.0,18620.0,18775.0,278404.0,114214.0,18725.0,0.921130657926734
R.CN.SHF.zn.0004,2010-02-24,18380.0,18450.0,18320.0,18380.0,188724.0,107206.0,18390.0,0.921130657926734
R.CN.SHF.zn.0004,2010-02-25,18595.0,18925.0,18425.0,18435.0,555342.0,144408.0,18655.0,0.913181310285511
R.CN.SHF.zn.0004,2010-02-26,18405.0,18560.0,18350.0,18430.0,502646.0,162710.0,18455.0,0.913181310285511
R.CN.SHF.zn.0004,2010-03-01,19000.0,19180.0,18650.0,18775.0,540008.0,172476.0,18850.0,0.913181310285511
R.CN.SHF.zn.0004,2010-03-02,18735.0,18745.0,18050.0,18060.0,490752.0,184818.0,18420.0,0.913181310285511
R.CN.SHF.zn.0004,2010-03-03,18380.0,18380.0,18120.0,18255.0,547928.0,177258.0,18225.0,0.913181310285511
R.CN.SHF.zn.0004,2010-03-04,18415.0,18590.0,18260.0,18350.0,610622.0,167124.0,18410.0,0.913181310285511
R.CN.SHF.zn.0004,2010-03-05,18320.0,18650.0,18170.0,18590.0,585200.0,159588.0,18415.0,0.913181310285511
R.CN.SHF.zn.0004,2010-03-08,18870.0,19260.0,18780.0,19235.0,608786.0,174936.0,19055.0,0.913181310285511
R.CN.SHF.zn.0004,2010-03-09,19120.0,19175.0,18900.0,19100.0,607574.0,169384.0,19075.0,0.913181310285511
R.CN.SHF.zn.0004,2010-03-10,19100.0,19450.0,19075.0,19355.0,613210.0,174336.0,19330.0,0.913181310285511
R.CN.SHF.zn.0004,2010-03-11,19225.0,19300.0,18785.0,18870.0,670832.0,171092.0,19015.0,0.913181310285511
R.CN.SHF.zn.0004,2010-03-12,19000.0,19080.0,18790.0,19055.0,533276.0,170706.0,18930.0,0.913181310285511
R.CN.SHF.zn.0004,2010-03-15,18980.0,19015.0,18405.0,18495.0,617032.0,175154.0,18590.0,0.913181310285511
R.CN.SHF.zn.0004,2010-03-16,18300.0,18715.0,18120.0,18655.0,727168.0,186408.0,18460.0,0.913181310285511
R.CN.SHF.zn.0004,2010-03-17,18735.0,19050.0,18670.0,18995.0,504916.0,169210.0,18840.0,0.913181310285511
R.CN.SHF.zn.0004,2010-03-18,18975.0,19050.0,18700.0,18715.0,648724.0,168752.0,18865.0,0.913181310285511
R.CN.SHF.zn.0004,2010-03-19,18760.0,19035.0,18730.0,18965.0,463332.0,158596.0,18895.0,0.913181310285511
R.CN.SHF.zn.0004,2010-03-22,18555.0,18695.0,18480.0,18560.0,517548.0,172506.0,18590.0,0.913181310285511
R.CN.SHF.zn.0004,2010-03-23,18660.0,18810.0,18505.0,18515.0,468450.0,170758.0,18665.0,0.913181310285511
R.CN.SHF.zn.0004,2010-03-24,18425.0,18635.0,18280.0,18375.0,524348.0,188732.0,18465.0,0.913181310285511
R.CN.SHF.zn.0004,2010-03-25,18375.0,18440.0,18105.0,18400.0,594212.0,183744.0,18310.0,0.913181310285511
R.CN.SHF.zn.0004,2010-03-26,18380.0,18650.0,18300.0,18610.0,420116.0,155934.0,18510.0,0.913181310285511
R.CN.SHF.zn.0004,2010-03-29,18735.0,18960.0,18705.0,18930.0,273160.0,121760.0,18830.0,0.913181310285511
R.CN.SHF.zn.0004,2010-03-30,19200.0,19200.0,18920.0,19090.0,550350.0,171650.0,19090.0,0.904579916468065
R.CN.SHF.zn.0004,2010-03-31,19200.0,19200.0,18940.0,18975.0,408270.0,161776.0,19060.0,0.904579916468065
R.CN.SHF.zn.0004,2010-04-01,19000.0,19560.0,18975.0,19430.0,791790.0,219070.0,19385.0,0.904579916468065
R.CN.SHF.zn.0004,2010-04-02,19490.0,19680.0,19305.0,19495.0,595194.0,192444.0,19430.0,0.904579916468065
R.CN.SHF.zn.0004,2010-04-06,19540.0,19790.0,19505.0,19690.0,535474.0,209640.0,19680.0,0.904579916468065
R.CN.SHF.zn.0004,2010-04-07,19745.0,19840.0,19495.0,19700.0,626774.0,218988.0,19705.0,0.904579916468065
R.CN.SHF.zn.0004,2010-04-08,19500.0,19545.0,19205.0,19220.0,517940.0,223552.0,19365.0,0.904579916468065
R.CN.SHF.zn.0004,2010-04-09,19320.0,19445.0,19300.0,19400.0,393590.0,205644.0,19385.0,0.904579916468065
R.CN.SHF.zn.0004,2010-04-12,19550.0,19735.0,19450.0,19530.0,411782.0,211458.0,19590.0,0.904579916468065
R.CN.SHF.zn.0004,2010-04-13,19400.0,19490.0,19255.0,19350.0,443334.0,214654.0,19365.0,0.904579916468065
R.CN.SHF.zn.0004,2010-04-14,19500.0,19580.0,19410.0,19455.0,388272.0,214266.0,19485.0,0.904579916468065
R.CN.SHF.zn.0004,2010-04-15,19600.0,19615.0,19450.0,19465.0,388564.0,203340.0,19520.0,0.904579916468065
R.CN.SHF.zn.0004,2010-04-16,19590.0,19685.0,19455.0,19615.0,515830.0,203082.0,19595.0,0.904579916468065
R.CN.SHF.zn.0004,2010-04-19,19200.0,19200.0,18675.0,18685.0,447000.0,205168.0,18925.0,0.904579916468065
R.CN.SHF.zn.0004,2010-04-20,18900.0,18980.0,18800.0,18965.0,357864.0,198574.0,18920.0,0.904579916468065
R.CN.SHF.zn.0004,2010-04-21,19000.0,19060.0,18855.0,19030.0,330728.0,192924.0,18945.0,0.904579916468065
R.CN.SHF.zn.0004,2010-04-22,18935.0,19025.0,18820.0,18930.0,318610.0,191840.0,18930.0,0.904579916468065
R.CN.SHF.zn.0004,2010-04-23,18880.0,19075.0,18865.0,18990.0,299396.0,183754.0,18990.0,0.904579916468065
R.CN.SHF.zn.0004,2010-04-26,19200.0,19275.0,19160.0,19185.0,233998.0,164914.0,19200.0,0.904579916468065
R.CN.SHF.zn.0004,2010-04-27,19115.0,19125.0,18800.0,18910.0,265280.0,165216.0,18930.0,0.904579916468065
R.CN.SHF.zn.0004,2010-04-28,18325.0,18520.0,18080.0,18330.0,283746.0,166382.0,18355.0,0.904579916468065
R.CN.SHF.zn.0004,2010-04-29,18435.0,18540.0,18385.0,18420.0,140786.0,146896.0,18470.0,0.904579916468065
R.CN.SHF.zn.0004,2010-04-30,18300.0,18520.0,18100.0,18365.0,152592.0,137210.0,18325.0,0.904579916468065
R.CN.SHF.zn.0004,2010-05-04,18210.0,18230.0,17990.0,18060.0,89072.0,130202.0,18100.0,0.904579916468065
R.CN.SHF.zn.0004,2010-05-05,17520.0,17760.0,17520.0,17740.0,389616.0,161046.0,17680.0,0.895653140976604
R.CN.SHF.zn.0004,2010-05-06,17785.0,17930.0,17415.0,17440.0,490932.0,184074.0,17725.0,0.895653140976604
R.CN.SHF.zn.0004,2010-05-07,17225.0,17355.0,16835.0,16835.0,542598.0,194518.0,16970.0,0.895653140976604
R.CN.SHF.zn.0004,2010-05-10,17110.0,17180.0,16780.0,17160.0,815372.0,198396.0,17000.0,0.895653140976604
R.CN.SHF.zn.0004,2010-05-11,17100.0,17235.0,16540.0,16705.0,897280.0,227176.0,16965.0,0.895653140976604
R.CN.SHF.zn.0004,2010-05-12,16635.0,16990.0,16520.0,16795.0,1004798.0,216434.0,16780.0,0.895653140976604
R.CN.SHF.zn.0004,2010-05-13,16880.0,17125.0,16800.0,17105.0,712676.0,226356.0,16940.0,0.895653140976604
R.CN.SHF.zn.0004,2010-05-14,17000.0,17095.0,16805.0,16945.0,747042.0,214414.0,16975.0,0.895653140976604
R.CN.SHF.zn.0004,2010-05-17,16560.0,16620.0,16125.0,16125.0,429580.0,223112.0,16335.0,0.895653140976604
R.CN.SHF.zn.0004,2010-05-18,15525.0,15790.0,15230.0,15700.0,1107212.0,212788.0,15535.0,0.895653140976604
R.CN.SHF.zn.0004,2010-05-19,15180.0,15610.0,14830.0,15340.0,1548094.0,205012.0,15265.0,0.895653140976604
